E_1,Pu1_1,E_hybrid_1
-10.07,3.12434e-06,-20.95
-13.19,1.3937e-05,-21.15
-13.8,8.23001e-06,-29.91
-19.71,7.0629e-06,-33.72
-17.12,0.00265761,-21.53
-12.15,0.00676665,-22.26
-14.3,0.00481704,-21.07
-22.35,1.01789e-06,-35.3
-14.21,0.00983393,-20.74
-12.09,4.81941e-07,-30.97
-12.09,0.00676665,-16.81
-15.84,3.92944e-05,-29.89
-16.33,3.31539e-05,-24.5
-17.65,9.83634e-05,-27.61
-19.38,0.00489959,-23.46
-17.38,4.31492e-06,-29.01
-13.77,1.00915e-05,-31.96
-20.91,0.000605981,-34.2
-21.36,0.00031771,-28.8
-15.17,2.59168e-06,-25.44
-19.93,6.16518e-06,-33.0
-23.94,0.000648602,-32.67
-15.28,0.0012371,-31.78
-16.84,1.37022e-05,-31.1
-15.7,0.000120612,-22.71
-5.52,0.699885,-6.69
-10.47,0.0910888,-13.19
-20.27,1.92527e-07,-34.01
-20.67,0.0103482,-30.63
-20.99,0.000268062,-30.28
-18.95,0.000547244,-35.86
-14.22,4.06628e-07,-32.49
-16.34,7.75577e-07,-27.41
-18.45,0.000958762,-26.39
-12.06,0.0100025,-20.74
-12.28,5.56759e-06,-26.65
-16.76,1.11774e-07,-31.82
-22.63,0.000163766,-38.39
