E_1,Pu1_1,Pu2_1,E_hybrid_1
-20.57,0.00632201,0.0207698,-25.83
-17.03,0.0334244,0.473472,-19.47
-24.63,0.000880668,0.00788481,-31.62
-19.05,0.00843937,0.00176758,-25.59
-19.68,0.000795306,0.000795306,-28.08
-17.46,0.00367033,8.16138e-07,-29.01
-18.62,3.34408e-06,8.5861e-05,-31.55
-19.34,4.85993e-06,8.5861e-05,-32.05
-20.27,0.00037021,9.19224e-07,-33.1
-15.06,4.50272e-07,0.000150427,-28.84
-23.95,1.90874e-06,8.58821e-07,-39.92
-17.99,5.90804e-05,1.10815e-06,-31.79
-15.51,0.000469639,2.32096e-07,-29.01
-16.66,1.76801e-05,9.67061e-05,-28.54
-9.17,0.113606,0.037012,-12.39
-21.69,0.00156936,3.09829e-07,-34.31
-18.24,2.6361e-06,0.00011858,-31.12
-12.8,4.06528e-05,6.886e-07,-27.1
-18.83,5.20174e-06,4.3512e-05,-31.9
-13.91,1.00098e-08,0.000163766,-29.88
-14.75,0.00570923,0.00427684,-21.0
-13.62,0.0363883,0.00465609,-18.73
-14.56,0.000477687,0.0795111,-20.55
-17.78,2.75016e-05,8.66043e-06,-30.82
-18.84,1.89236e-05,6.65428e-05,-30.9
-16.43,0.000438779,4.03138e-06,-28.29
-16.51,0.000166573,0.00386229,-24.9
-24.06,6.76832e-05,0.0027966,-33.17
-15.04,0.00186002,0.0494079,-20.51
-16.66,0.00136988,0.00231982,-24.11
-18.06,4.6987e-08,5.20174e-06,-35.15
-17.3,0.000155627,0.000616367,-26.81
-19.92,0.000101764,0.011076,-27.98
-19.37,1.41759e-05,3.73507e-07,-34.65
-17.86,1.46659e-05,0.000334326,-29.12
-18.55,0.00261283,0.00427684,-25.26
-20.96,6.21702e-05,2.99403e-05,-32.79
-22.2,1.89236e-05,5.20174e-06,-35.76
-18.86,0.0105256,0.0267996,-23.67
-15.62,3.54856e-05,5.80992e-07,-30.1
-19.67,1.41759e-05,2.65826e-05,-32.44
-25.3,3.92944e-05,0.00213086,-34.89
-20.56,2.65826e-05,0.000181344,-31.83
-22.25,0.00167973,2.32096e-07,-35.0
-22.51,3.45968e-06,0.000184451,-34.97
-20.24,7.24435e-05,1.50464e-06,-33.74
-18.21,6.76832e-05,5.38156e-06,-31.0
-14.45,0.00216738,1.95826e-07,-27.15
-16.36,0.000194098,0.00457764,-24.56
-14.48,0.00102619,1.78376e-08,-29.03
-13.35,6.0613e-06,9.42839e-06,-27.23
-15.1,1.51729e-05,5.20174e-06,-28.79
-18.57,0.00252553,0.00141724,-25.95
-5.34,4.13495e-05,0.903071,-11.34
-8.51,1.92479e-05,2.56944e-05,-21.12
-18.58,5.42681e-05,0.000942608,-28.46
-16.05,3.86324e-05,1.08013e-05,-28.76
-16.44,0.00903293,0.00182868,-22.92
-12.62,7.82098e-06,2.68127e-06,-27.09
-11.22,0.0453835,0.00524419,-16.13
-14.54,0.000107086,1.38208e-06,-27.86
-13.17,8.0219e-05,5.38156e-06,-25.86
-13.98,0.000469639,2.06068e-07,-27.55
-21.92,0.000637674,0.0017378,-29.99
-11.93,3.42999e-05,3.0717e-06,-25.45
-21.61,4.46408e-06,0.0103482,-31.55
-9.44,0.000129095,0.00950534,-17.45
-16.88,0.011076,0.0019573,-23.2
-15.11,9.27181e-08,0.000438779,-29.19
-16.45,0.0190781,0.000181344,-23.85
-10.23,0.0566023,0.465494,-12.37
-18.44,0.000153005,0.0131275,-26.16
-18.52,5.56759e-06,0.00284453,-29.09
-19.77,0.00111719,0.000145401,-28.97
-21.28,0.00106167,0.000648602,-29.63
-15.55,0.00011858,6.06279e-08,-30.65
-21.69,6.43193e-05,0.00165143,-31.14
-19.97,1.56974e-05,1.94146e-06,-34.22
-15.92,8.29921e-05,9.67061e-05,-26.89
-17.45,0.00654056,0.000446298,-24.95
-13.93,0.00037021,3.15139e-07,-27.39
-12.56,3.15061e-05,1.94146e-06,-26.4
-16.1,9.67061e-05,1.89236e-05,-27.94
-23.4,8.80884e-06,0.00224231,-33.84
-13.76,0.000682523,0.00151692,-21.87
