,seedNumber_1,pumin5_8d,pumin1_4d,E_diff_12,E_3,E_1,E_hybrid_1,Pu1_1,seedNumber_3,pumin1_4u,Y
seedNumber_1,1.0,0.09623428591953673,0.03491737846333412,0.16405208649230177,-0.2626430102273676,-0.6240142439647184,-0.29935249676507536,-0.04559515346258491,0.2859694579227596,-0.08193679580556162,0.2812102971473875
pumin5_8d,0.09623428591953673,1.0,0.3216911717758553,-0.028436136325464854,-0.0386641411587233,-0.017241389573871627,0.06732577447285357,0.24276565006981965,0.06383524035893436,-0.011306545156973165,0.19767541461945057
pumin1_4d,0.03491737846333412,0.3216911717758553,1.0,-0.046253494990181804,-0.07414697701125132,0.04532681447681755,0.18564276721932144,0.22130906088701063,0.13497054272972225,-0.06493947194507915,0.24414541824859148
E_diff_12,0.16405208649230177,-0.028436136325464854,-0.046253494990181804,1.0,-0.0966773746248759,-0.23023533867567164,-0.014052213876168963,0.08661912765957915,0.07768539514525963,0.012536097192864743,-0.10981704589890479
E_3,-0.2626430102273676,-0.0386641411587233,-0.07414697701125132,-0.0966773746248759,1.0,0.1709085675316306,-0.17013407670822878,-0.032640808326415346,-0.8201778497047887,0.010247719450568075,-0.12035727025896815
E_1,-0.6240142439647184,-0.017241389573871627,0.04532681447681755,-0.23023533867567164,0.1709085675316306,1.0,0.5664224481775146,0.0651132115837661,-0.14272142638705135,0.10544529052305465,-0.15963444349869002
E_hybrid_1,-0.29935249676507536,0.06732577447285357,0.18564276721932144,-0.014052213876168963,-0.17013407670822878,0.5664224481775146,1.0,0.3776704478942058,0.23058173205199634,0.2219389077356283,0.0251324758250097
Pu1_1,-0.04559515346258491,0.24276565006981965,0.22130906088701063,0.08661912765957915,-0.032640808326415346,0.0651132115837661,0.3776704478942058,1.0,0.1459664375372138,0.20607991338277393,0.016364764345554818
seedNumber_3,0.2859694579227596,0.06383524035893436,0.13497054272972225,0.07768539514525963,-0.8201778497047887,-0.14272142638705135,0.23058173205199634,0.1459664375372138,1.0,0.025905846239052066,0.1438890391065893
pumin1_4u,-0.08193679580556162,-0.011306545156973165,-0.06493947194507915,0.012536097192864743,0.010247719450568075,0.10544529052305465,0.2219389077356283,0.20607991338277393,0.025905846239052066,1.0,-0.07269938212328188
Y,0.2812102971473875,0.19767541461945057,0.24414541824859148,-0.10981704589890479,-0.12035727025896815,-0.15963444349869002,0.0251324758250097,0.016364764345554818,0.1438890391065893,-0.07269938212328188,1.0
