Feature,Model,MAE,MSE,RMSE,R2
E_1_Qtransformed,LinearRegression,0.07291571783457158,0.014388494471930201,0.11995205071998645,-0.015220419832352006
E_1_Qtransformed,DecisionTree,0.09934782608695653,0.022988043478260875,0.15161808427183374,-0.6219856216821833
E_1_Qtransformed,RandomForest,0.09187861283643894,0.018752985930765066,0.13694154201981612,-0.32316930634282803
E_1_Qtransformed,GradientBoosting,0.08458922793619511,0.01950851136729857,0.13967287269652104,-0.37647751397830476
E_1_Qtransformed,SVR,0.09129780695920449,0.01563407864447671,0.12503630930444448,-0.10310609050179775
E_1_Qtransformed,KNN,0.07434782608695653,0.016015826086956522,0.12655364904638872,-0.13004134766719133
E_1_Qtransformed,MLP,0.07732882244774286,0.01466282075927737,0.12109013485531087,-0.034576277330504945
E_3_BoxCox,LinearRegression,0.07599507776873948,0.014084996842896146,0.11868022936823196,0.006193703164822373
E_3_BoxCox,DecisionTree,0.0662471395881007,0.011303522823076,0.1063180268020245,0.2024483723147753
E_3_BoxCox,RandomForest,0.08120327034779484,0.014706219739918442,0.1212692035923319,-0.037638413638975576
E_3_BoxCox,GradientBoosting,0.07374099090989981,0.013426850335605664,0.11587428677495998,0.052631068432337114
E_3_BoxCox,SVR,0.08786906288946417,0.01513902082947135,0.12304072833607313,-0.06817590348525404
E_3_BoxCox,KNN,0.09817391304347828,0.020480173913043485,0.1431089581858644,-0.4450358791047566
E_3_BoxCox,MLP,0.0747593633400144,0.01418777588226404,0.11911245057618469,-0.0010581590574967326
E_diff_12_Qtransformed,LinearRegression,0.07776817949832183,0.013640905357901018,0.11679428649510651,0.03752781839976016
E_diff_12_Qtransformed,DecisionTree,0.09847826086956521,0.02038804347826087,0.14278670623787382,-0.43853535892442697
E_diff_12_Qtransformed,RandomForest,0.0799936956521739,0.013411659647463764,0.11580872008386832,0.05370288986737659
E_diff_12_Qtransformed,GradientBoosting,0.08389219577897374,0.015309812138968266,0.12373282563236106,-0.08022656140985052
E_diff_12_Qtransformed,SVR,0.09044736868262512,0.014239455364108118,0.11932918907001806,-0.004704549258835566
E_diff_12_Qtransformed,KNN,0.07443478260869565,0.013670956521739133,0.11692286569246894,0.035407474591191535
E_diff_12_Qtransformed,MLP,0.07071155739511636,0.012446867321558383,0.11156552927117938,0.12177650744199531
E_hybrid_1_Qtransformed,LinearRegression,0.07823723423301095,0.014210423524022462,0.11920748099017302,-0.002656126684968285
E_hybrid_1_Qtransformed,DecisionTree,0.10173913043478262,0.02811304347826087,0.16766944706254885,-0.9835943126950673
E_hybrid_1_Qtransformed,RandomForest,0.07291471014492756,0.013055226888526584,0.11425947176723067,0.07885199882218341
E_hybrid_1_Qtransformed,GradientBoosting,0.08294143943924313,0.017683123124116348,0.13297790464628456,-0.24768214749880602
E_hybrid_1_Qtransformed,SVR,0.08819563471790681,0.01467593112309802,0.12114425749121589,-0.03550131567194659
E_hybrid_1_Qtransformed,KNN,0.07052173913043479,0.011096521739130435,0.10534002913959363,0.21705391202283464
E_hybrid_1_Qtransformed,MLP,0.10266430537835972,0.02684004570921209,0.16382931883277818,-0.8937743991481306
Pu1_1_BoxCox,LinearRegression,0.07842273680129272,0.01420823035302667,0.11919828166977353,-0.00250138137902578
Pu1_1_BoxCox,DecisionTree,0.07246376811594202,0.01440193236714976,0.12000805125969574,-0.016168568066559308
Pu1_1_BoxCox,RandomForest,0.07514195652173913,0.014946685295289861,0.12225663701938583,-0.054605132607081996
Pu1_1_BoxCox,GradientBoosting,0.07102425710317611,0.01397484367035354,0.11821524296956608,0.013965867951953648
Pu1_1_BoxCox,SVR,0.08721326668945728,0.01460854498510789,0.12086581396370064,-0.030746698471746603
Pu1_1_BoxCox,KNN,0.07365217391304349,0.015133043478260869,0.12301643580538688,-0.06775415477365465
Pu1_1_BoxCox,MLP,0.0792640279477238,0.014674070412761172,0.1211365775179453,-0.03537002805648082
Pu2_1_log,LinearRegression,0.07506999329156594,0.013933747132165879,0.11804129418201868,0.016865549001554014
Pu2_1_log,DecisionTree,0.10188405797101449,0.024281642512077296,0.15582567988645935,-0.7132591150117227
Pu2_1_log,RandomForest,0.08559428916494136,0.018297607274124744,0.13526864852627435,-0.2910387931832352
Pu2_1_log,GradientBoosting,0.07674771171841153,0.018035727536390437,0.134297161311736,-0.27256113676081584
Pu2_1_log,SVR,0.09215602336559556,0.015993103078988442,0.12646384099412938,-0.12843806236627175
Pu2_1_log,KNN,0.07486956521739133,0.014887826086956522,0.12201567967665682,-0.05045215674767256
Pu2_1_log,MLP,0.07269892236314571,0.01564531287842724,0.12508122512362613,-0.10389875325953124
pumin1_4d_Qtransformed,LinearRegression,0.07680998843557785,0.013189616327592031,0.11484605490652272,0.06936977654971266
pumin1_4d_Qtransformed,DecisionTree,0.13478260869565215,0.042721739130434776,0.20669237801727178,-2.014351641902526
pumin1_4d_Qtransformed,RandomForest,0.1127391304347826,0.0266259547826087,0.1631746143939329,-0.8786686157868062
pumin1_4d_Qtransformed,GradientBoosting,0.10178726015267259,0.02578729594994824,0.16058423319226656,-0.8194946991653931
pumin1_4d_Qtransformed,SVR,0.08667272145305388,0.014336294664147441,0.11973426687522433,-0.011537316580947365
pumin1_4d_Qtransformed,KNN,0.0907826086956522,0.015664,0.12515590277729613,-0.10521727532211167
pumin1_4d_Qtransformed,MLP,0.09697228456638278,0.015411002789206828,0.12414106004544519,-0.08736635040019358
pumin1_4u_Qtransformed,LinearRegression,0.07741183709574347,0.014170143879800437,0.11903841346305165,0.00018591612900054066
pumin1_4u_Qtransformed,DecisionTree,0.1326086956521739,0.03374347826086956,0.18369397992549882,-1.380865366660442
pumin1_4u_Qtransformed,RandomForest,0.12439130434782611,0.02851835739130437,0.16887379130967708,-1.0121923680209153
pumin1_4u_Qtransformed,GradientBoosting,0.10809388973756874,0.023854167960227768,0.15444794579478152,-0.683097453912088
pumin1_4u_Qtransformed,SVR,0.08502328748719826,0.014700084342485067,0.12124390435186862,-0.037205513534638746
pumin1_4u_Qtransformed,KNN,0.09391304347826089,0.01911582608695652,0.13825999452826737,-0.34877050710913093
pumin1_4u_Qtransformed,MLP,0.07890375629658601,0.014530914011086266,0.12054424088726208,-0.025269228247743802
pumin5_8d_Qtransformed,LinearRegression,0.07654055759982607,0.013875667116668471,0.11779502161241141,0.02096354673385159
pumin5_8d_Qtransformed,DecisionTree,0.11608695652173913,0.03211739130434782,0.17921325649724637,-1.2661322591831832
pumin5_8d_Qtransformed,RandomForest,0.10640434782608693,0.02356838739130434,0.15351999020096482,-0.662933407581294
pumin5_8d_Qtransformed,GradientBoosting,0.09367319406927699,0.02055780927447681,0.1433799472537105,-0.45051365889484773
pumin5_8d_Qtransformed,SVR,0.0864424091251304,0.014416766061985302,0.12006983826917275,-0.017215200841655065
pumin5_8d_Qtransformed,KNN,0.09121739130434783,0.018891652173913042,0.13744690674552498,-0.3329532904740309
pumin5_8d_Qtransformed,MLP,0.08418373460216794,0.014226128027554385,0.11927333326252933,-0.0037642018001267097
pumin5_8u_Qtransformed,LinearRegression,0.07901394006310775,0.014401721350582762,0.12000717207976681,-0.016153679203227744
pumin5_8u_Qtransformed,DecisionTree,0.1143478260869565,0.029665217391304354,0.17223593524959985,-1.0931122789233605
pumin5_8u_Qtransformed,RandomForest,0.10098695652173913,0.022575536956521747,0.15025157888195967,-0.5928800717582099
pumin5_8u_Qtransformed,GradientBoosting,0.10164994857150238,0.0244888235126418,0.15648905237313504,-0.7278773492394046
pumin5_8u_Qtransformed,SVR,0.08769226403785983,0.015026958767505316,0.12258449644023227,-0.06026905167262142
