Model,Feature Set,E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
LogisticRegression,All Features,0.0795671725362281,0.015378268617912961,0.08699407940328163,0.15090518596635114,0.19199541939871315,0.03445235269131466,0.14693084745883778,0.03420289580296244,0.026973239667928223,0.03590341342940488,0.06613993802568044,0.07613265113954074,0.03877112273718759
RandomForest,All Features,[0.01696526 0.01696526],[0.03582926 0.03582926],[0.02080714 0.02080714],[0.048358 0.048358],[0.03331741 0.03331741],[0.02437668 0.02437668],[0.03968143 0.03968143],[0.00654234 0.00654234],[0.00462715 0.00462715],[0.03286622 0.03286622],[0.05298353 0.05298353],[0.04697668 0.04697668],[0.01101692 0.01101692]
GradientBoosting,All Features,0.11575467454292383,0.3206901596108031,0.3909353044277828,0.8078309944601856,0.6359805920038638,0.4204831662443148,0.5875557207369052,0.027221645499468865,0.06468437579317284,0.7372914100567906,0.7798480221320123,0.5682652985976828,0.22654329883158528
SVM,All Features,0.04297853947548019,0.02146269075354798,0.04293703208054404,0.1361456672331624,0.11317978888927101,0.03578901871968583,0.07690111179192202,0.030341274418541276,0.025702948977232448,0.06473537726609199,0.05302323079668443,0.12137575602779323,0.052169845606118995
LogisticRegression,Without E_1,0.015806032975171407,0.0928928311361081,0.15532832118887913,0.20336627415171177,0.035934584279246,0.1470802634512073,0.0393704906990572,0.028766783035428733,0.03185044908437186,0.07211896719568558,0.08471908335778164,0.03919440234321915,
RandomForest,Without E_1,[0.04143093 0.04143093],[0.0182875 0.0182875],[0.05729804 0.05729804],[0.04120569 0.04120569],[0.02753758 0.02753758],[0.03656388 0.03656388],[0.00790107 0.00790107],[0.00579037 0.00579037],[0.03611334 0.03611334],[0.04497286 0.04497286],[0.04224435 0.04224435],[0.01381123 0.01381123],
GradientBoosting,Without E_1,0.3139504929371326,0.41376539283645936,0.8526094902646729,0.6450835481890173,0.40251903531906186,0.6339972524972893,0.06716908357068388,0.06002461966909349,0.8039436881006434,0.7806679355556658,0.5716006181035829,0.1951244237538773,
SVM,Without E_1,0.021573797095576122,0.051606754852977076,0.13472094511755348,0.12140193537017512,0.04974163020582275,0.08721214247563307,0.043964005392390475,0.02610221258945476,0.06862928817153649,0.05184799415849639,0.1218971366524971,0.06049610057427361,
LogisticRegression,Without Pu1_1,0.07809609934837423,0.08778156243223086,0.1569793142869536,0.19209739797076794,0.03648952633679151,0.14501132854824933,0.038019505922000436,0.02824358294856032,0.0372002118451508,0.06938952961956645,0.08203731988673037,0.03651008065012548,
RandomForest,Without Pu1_1,[0.02320036 0.02320036],[0.01882481 0.01882481],[0.05854351 0.05854351],[0.04647656 0.04647656],[0.03203396 0.03203396],[0.04064877 0.04064877],[0.00734672 0.00734672],[0.00529151 0.00529151],[0.03906367 0.03906367],[0.05294279 0.05294279],[0.04968662 0.04968662],[0.01321655 0.01321655],
