Model,Feature Set,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,SHAP Values
LogisticRegression,All Features,0.5444444444444445,0.1065900660491304,0.5188034188034187,0.10803094228598263,0.625,0.23765832929119374,0.5592314118629907,0.16032927942543745,"[0.07956717 0.01537827 0.08699408 0.15090519 0.19199542 0.03445235
 0.14693085 0.0342029  0.02697324 0.03590341 0.06613994 0.07613265
 0.03877112]"
RandomForest,All Features,0.6509803921568629,0.053194744965688386,0.7024242424242424,0.10378334429377742,0.5833333333333334,0.1111111111111111,0.6227260458839405,0.048958929386105875,"[[0.01696526 0.01696526]
 [0.03582926 0.03582926]
 [0.02080714 0.02080714]
 [0.048358   0.048358  ]
 [0.03331741 0.03331741]
 [0.02437668 0.02437668]
 [0.03968143 0.03968143]
 [0.00654234 0.00654234]
 [0.00462715 0.00462715]
 [0.03286622 0.03286622]
 [0.05298353 0.05298353]
 [0.04697668 0.04697668]
 [0.01101692 0.01101692]]"
GradientBoosting,All Features,0.5581699346405229,0.1084731055462732,0.5746464646464646,0.12184950264890763,0.586111111111111,0.16583123951777,0.5660834590246354,0.09532047349898429,"[0.11575467 0.32069016 0.3909353  0.80783099 0.63598059 0.42048317
 0.58755572 0.02722165 0.06468438 0.73729141 0.77984802 0.5682653
 0.2265433 ]"
SVM,All Features,0.6725490196078432,0.129114334377681,0.6981746031746032,0.1617497701952811,0.6472222222222221,0.08940820521906155,0.6684726522187822,0.11934149037123383,"[0.04297854 0.02146269 0.04293703 0.13614567 0.11317979 0.03578902
 0.07690111 0.03034127 0.02570295 0.06473538 0.05302323 0.12137576
 0.05216985]"
LogisticRegression,Without E_1,0.5908496732026144,0.15197167716950188,0.5632323232323232,0.1431959891799087,0.625,0.23765832929119374,0.5890726817042606,0.18824881862729784,"[0.01580603 0.09289283 0.15532832 0.20336627 0.03593458 0.14708026
 0.03937049 0.02876678 0.03185045 0.07211897 0.08471908 0.0391944 ]"
RandomForest,Without E_1,0.5941176470588234,0.09913117380207478,0.6238095238095239,0.13075743064519985,0.538888888888889,0.08117577331223588,0.5730859010270775,0.08807621058883103,"[[0.04143093 0.04143093]
 [0.0182875  0.0182875 ]
 [0.05729804 0.05729804]
 [0.04120569 0.04120569]
 [0.02753758 0.02753758]
 [0.03656388 0.03656388]
 [0.00790107 0.00790107]
 [0.00579037 0.00579037]
 [0.03611334 0.03611334]
 [0.04497286 0.04497286]
 [0.04224435 0.04224435]
 [0.01381123 0.01381123]]"
GradientBoosting,Without E_1,0.5816993464052288,0.08420979559951064,0.60004329004329,0.10398971251986522,0.5638888888888889,0.18913382811721335,0.563076923076923,0.10336355096763583,"[0.31395049 0.41376539 0.85260949 0.64508355 0.40251904 0.63399725
 0.06716908 0.06002462 0.80394369 0.78066794 0.57160062 0.19512442]"
SVM,Without E_1,0.638562091503268,0.06185368974808355,0.6426190476190476,0.062135102599550684,0.6277777777777778,0.08888888888888888,0.6329824561403509,0.06717591224435901,"[0.0215738  0.05160675 0.13472095 0.12140194 0.04974163 0.08721214
 0.04396401 0.02610221 0.06862929 0.05184799 0.12189714 0.0604961 ]"
LogisticRegression,Without Pu1_1,0.5326797385620915,0.10432977746005184,0.5111111111111111,0.1077262190536962,0.6,0.21559564346591392,0.5458980785296574,0.15346546459739108,"[0.0780961  0.08778156 0.15697931 0.1920974  0.03648953 0.14501133
 0.03801951 0.02824358 0.03720021 0.06938953 0.08203732 0.03651008]"
RandomForest,Without Pu1_1,0.5699346405228758,0.13624903760308896,0.6261111111111111,0.2045440578578079,0.49444444444444446,0.15555555555555556,0.5340802987861811,0.12614513853180886,"[[0.02320036 0.02320036]
 [0.01882481 0.01882481]
 [0.05854351 0.05854351]
 [0.04647656 0.04647656]
 [0.03203396 0.03203396]
 [0.04064877 0.04064877]
 [0.00734672 0.00734672]
 [0.00529151 0.00529151]
 [0.03906367 0.03906367]
 [0.05294279 0.05294279]
 [0.04968662 0.04968662]
 [0.01321655 0.01321655]]"
GradientBoosting,Without Pu1_1,0.5235294117647059,0.1122281413431701,0.5454700854700855,0.13214725580481562,0.586111111111111,0.16583123951777,0.5484737484737485,0.09013073406141947,"[0.14387677 0.50625789 0.98649071 0.66362941 0.43791527 0.5790869
 0.04915603 0.06573784 0.74445715 0.8949799  0.65132843 0.24688376]"
SVM,Without Pu1_1,0.696078431372549,0.12767702428313493,0.7186507936507937,0.15652435600788633,0.6722222222222222,0.09686442096757053,0.692156862745098,0.12140247975845991,"[0.04644462 0.04390129 0.14290702 0.10498648 0.03856333 0.0719435
 0.03159881 0.02883977 0.07159931 0.06398394 0.1178639  0.0471489 ]"
