Model,Feature Set,E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
LogisticRegression,All Features,0.07538927027051988,0.03039367451785215,0.03091290204305367,0.13858157349458983,0.1919702195148995,0.022097138594486657,0.06906780011177724,0.055727271873105035,0.12927117386236592,0.06497458200303449,0.0325229351396903,0.1081828175414268,0.08509174792653922
RandomForest,All Features,[0.02517459 0.02517459],[0.02463036 0.02463036],[0.02440341 0.02440341],[0.01562634 0.01562634],[0.03435659 0.03435659],[0.01982126 0.01982126],[0.02716181 0.02716181],[0.00593889 0.00593889],[0.03346341 0.03346341],[0.02504683 0.02504683],[0.0218491 0.0218491],[0.05083485 0.05083485],[0.02973463 0.02973463]
GradientBoosting,All Features,0.2536757478570074,0.30663931200629857,0.23246885933665098,0.1682560633841849,0.3549200843475739,0.17524989150907466,0.21778616642048693,0.050372580085441786,0.5802759275534315,0.24705969692748844,0.2007380405657846,0.48643400795730385,0.4057790661200694
SVM,All Features,0.06294284380362783,0.026166801203295204,0.012590406571778606,0.05599327301473207,0.12435272634443202,0.0345400108024116,0.058937548486679,0.030176482016920147,0.13445219211875042,0.05599264795651154,0.03271305254674192,0.10374227010167625,0.07002195912064849
LogisticRegression,Without E_1,0.025240560118894355,0.029415254921206634,0.1060803864677529,0.2215817972118963,0.03925474700910915,0.070702883220961,0.05621150468183757,0.12723399077753272,0.06649467631229941,0.03513940099966721,0.11067074256336613,0.08672810197150098,
RandomForest,Without E_1,[0.02322369 0.02322369],[0.03102709 0.03102709],[0.0152872 0.0152872],[0.0412726 0.0412726],[0.0186587 0.0186587],[0.02883203 0.02883203],[0.00602091 0.00602091],[0.03925234 0.03925234],[0.02627868 0.02627868],[0.02576754 0.02576754],[0.05314393 0.05314393],[0.03135166 0.03135166],
GradientBoosting,Without E_1,0.3184326358971712,0.3124643621744831,0.16739162993860324,0.40139215763536606,0.22925343711917487,0.21862905396976395,0.050935370892838706,0.524461208302219,0.25305990074084966,0.20711478338927175,0.5066348960637185,0.38260052744071466,
SVM,Without E_1,0.025844936854467405,0.01308257057247689,0.05100119799564205,0.14626399830382664,0.039159175494454766,0.06292335200789588,0.030174433201423302,0.1301472975898717,0.06438164065853538,0.038019208495283195,0.1035931559174521,0.06486994985904489,
LogisticRegression,Without Pu1_1,0.07088676439812502,0.03533150172095918,0.12831261429084745,0.1972884532731721,0.019078149010591502,0.07110549431640165,0.057939119966645435,0.130980475515776,0.07256274372063369,0.03053933822551496,0.10394865814330087,0.0775461877178378,
RandomForest,Without Pu1_1,[0.02439569 0.02439569],[0.02612771 0.02612771],[0.01822859 0.01822859],[0.03623774 0.03623774],[0.02262161 0.02262161],[0.02999777 0.02999777],[0.00855118 0.00855118],[0.03764547 0.03764547],[0.0257056 0.0257056],[0.0240468 0.0240468],[0.04905221 0.04905221],[0.03367481 0.03367481],
GradientBoosting,Without Pu1_1,0.23359354695369694,0.24843592234981612,0.22409973317329035,0.35118485201862004,0.17266439653341772,0.25318685007192776,0.05180604303708288,0.5271052187679397,0.2942158681185257,0.24394336810530323,0.46160059016909327,0.30785446450791165,
SVM,Without Pu1_1,0.06114859394347967,0.0186774683537421,0.05128809492201976,0.11811312061556323,0.03337718782763692,0.05853016116460215,0.032440671832449156,0.14399393387610798,0.05909095456604189,0.03691385614384453,0.1044318153835572,0.0736438792410496,
LogisticRegression,Without Pu2_1,0.06611989685703583,0.042857063709459166,0.10553846916302026,0.20417225122297614,0.017163053138588475,0.06322974335224738,0.055738841247301184,0.1305594603131232,0.06465833587862019,0.03667775784705158,0.11218740884264167,0.09693941531293176,
RandomForest,Without Pu2_1,[0.02592195 0.02592195],[0.02570382 0.02570382],[0.01699453 0.01699453],[0.0377068 0.0377068],[0.02041855 0.02041855],[0.02659503 0.02659503],[0.0083707 0.0083707],[0.03732612 0.03732612],[0.0239496 0.0239496],[0.02642883 0.02642883],[0.05678405 0.05678405],[0.03317082 0.03317082],
GradientBoosting,Without Pu2_1,0.23145019173786724,0.3011667586574839,0.164633107546836,0.3988182733107289,0.2119109030777293,0.208379568220528,0.04728947560600373,0.5529239990007377,0.2433984049985478,0.24469616652283577,0.5225616484682896,0.37242718969050925,
SVM,Without Pu2_1,0.058645635999038104,0.0373940022878294,0.04893551851224276,0.12635594763274188,0.03219521765716864,0.05953328680494108,0.03224612172132158,0.13838236021070144,0.05145738788799237,0.030446754840695013,0.10628880064564539,0.07256780285889333,
LogisticRegression,Without E_hybrid_1,0.04099942055260987,0.01654147494946418,0.02624475228395462,0.21111029439254994,0.00950165001056548,0.07995782502273939,0.06178121614308292,0.16368380696454227,0.06649275748845458,0.039007744019003476,0.11110197175964331,0.09220045876685366,
RandomForest,Without E_hybrid_1,[0.02214451 0.02214451],[0.02498192 0.02498192],[0.02115888 0.02115888],[0.04117493 0.04117493],[0.02085693 0.02085693],[0.02372576 0.02372576],[0.00815082 0.00815082],[0.04213932 0.04213932],[0.02653518 0.02653518],[0.02436162 0.02436162],[0.04888316 0.04888316],[0.03217327 0.03217327],
GradientBoosting,Without E_hybrid_1,0.19925562830360666,0.3089037120681231,0.25054825374486345,0.3913080568152755,0.19818922781580173,0.20709083264076034,0.05171995471545807,0.5368479567621645,0.24442043019199863,0.23116303625578513,0.4876537077319325,0.35878435367865336,
SVM,Without E_hybrid_1,0.05692126467248578,0.021311766085066974,0.011960827449921177,0.1308316975543986,0.038725137380827,0.06424020117745347,0.03880284447621393,0.1449390018488054,0.06007355433546733,0.033339614285582644,0.10073353246434172,0.07447898221019497,
LogisticRegression,Without seedNumber_1,0.16583151044318545,0.0440950186165958,0.0365645677742813,0.1459439642434683,0.04923416359317519,0.09780764234275414,0.056332212458273065,0.1354418100952091,0.06712229379723772,0.03396546983752922,0.10435251116264346,0.10589094699626629,
RandomForest,Without seedNumber_1,[0.02829537 0.02829537],[0.02489245 0.02489245],[0.02850231 0.02850231],[0.01495983 0.01495983],[0.02172079 0.02172079],[0.03231646 0.03231646],[0.01028717 0.01028717],[0.04000681 0.04000681],[0.02754483 0.02754483],[0.02430137 0.02430137],[0.04698758 0.04698758],[0.03614287 0.03614287],
GradientBoosting,Without seedNumber_1,0.3160695830130134,0.29879571693808915,0.31955144852217043,0.17645209340959833,0.2159850303624947,0.31707708026693265,0.07888944252113768,0.5529206082766318,0.23502850870781203,0.2150019646553905,0.43112369958491586,0.41860136514456575,
SVM,Without seedNumber_1,0.08039351444853413,0.027861017828541702,0.015634056779572154,0.0552192706633617,0.04609484383709835,0.08234556766917718,0.045140433605546385,0.1455708130851376,0.06454035828382423,0.03290669928382818,0.11323883059858968,0.08886814899828518,
LogisticRegression,Without seedEbest_1,0.08292885352327715,0.02852352092450684,0.030904366598271137,0.13453464047735433,0.1963065379744296,0.0682493178528443,0.05650965997194181,0.1351626217874759,0.06328127348335184,0.03043722687659558,0.10934747674940042,0.08658639280741035,
RandomForest,Without seedEbest_1,[0.02464042 0.02464042],[0.02447589 0.02447589],[0.02564023 0.02564023],[0.01386985 0.01386985],[0.04094047 0.04094047],[0.0299497 0.0299497],[0.00847625 0.00847625],[0.03713207 0.03713207],[0.02429814 0.02429814],[0.02091187 0.02091187],[0.05488608 0.05488608],[0.03523814 0.03523814],
GradientBoosting,Without seedEbest_1,0.2470203311456601,0.3075606893909809,0.274086885310227,0.15893620252831958,0.37534636320713516,0.2528939025629316,0.041320355445970215,0.515039792397499,0.2566206121957992,0.24207005057876932,0.48488748063565834,0.38659669945848296,
SVM,Without seedEbest_1,0.05837676462192889,0.024940267090394885,0.010610948547331394,0.057400259244865935,0.13291246023589146,0.06041665442672064,0.03224568524963706,0.14577930632806885,0.0520826817160588,0.04154386980513627,0.10271231327809068,0.08415280335655781,
LogisticRegression,Without E_3,0.08010976721672766,0.030563434619915543,0.029772289654669805,0.14358737393021814,0.20737736410745167,0.020511247350205413,0.015094683554939998,0.12435606907819277,0.06495337937296831,0.035030560909351686,0.11238096108007538,0.08537196258284221,
RandomForest,Without E_3,[0.02089382 0.02089382],[0.0254467 0.0254467],[0.02794893 0.02794893],[0.01509076 0.01509076],[0.04288371 0.04288371],[0.02295479 0.02295479],[0.00871607 0.00871607],[0.03834952 0.03834952],[0.02813069 0.02813069],[0.02109852 0.02109852],[0.05176146 0.05176146],[0.03599714 0.03599714],
