Model,Feature Set,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
LogisticRegression,All Features,0.593387314439946,0.104184584612902,0.591361737677527,0.112174976081631,0.572631578947368,0.135393138448956,0.580833525513734,0.124497327668459
RandomForest,All Features,0.588394062078273,0.0680568822027672,0.591749226006192,0.0700951560745639,0.562105263157895,0.0869552691707932,0.575806182121972,0.0769698373598579
GradientBoosting,All Features,0.583130904183536,0.121713929313117,0.573054845126456,0.106579044399556,0.583157894736842,0.173169892401506,0.576199056199056,0.136655362939474
SVM,All Features,0.609041835357625,0.115002880468687,0.59071773636991,0.105970985944031,0.666842105263158,0.164557662771234,0.624582866046281,0.130086387095808
LogisticRegression,Without E_1,0.593387314439946,0.0769699409769467,0.593508771929825,0.0795021443173822,0.572631578947368,0.108088401288366,0.581745288989871,0.0943536785111984
RandomForest,Without E_1,0.60391363022942,0.0813486500646232,0.614396284829721,0.0957957975102016,0.561578947368421,0.0824755482945218,0.586265664160401,0.0865612801635372
GradientBoosting,Without E_1,0.582591093117409,0.123196132811807,0.574528349860158,0.134884505763581,0.55,0.180872002920417,0.559332390205743,0.15692514990423
SVM,Without E_1,0.583265856950068,0.124436110760522,0.569441786283892,0.114331998696269,0.646315789473684,0.156073709413479,0.604333561175666,0.131183422358616
LogisticRegression,Without Pu1_1,0.583130904183536,0.096156474145492,0.574887218045113,0.0994752470623255,0.583157894736842,0.141476190453991,0.577566939089253,0.121363206447751
RandomForest,Without Pu1_1,0.598515519568151,0.111490099102034,0.600836940836941,0.114219490119455,0.604210526315789,0.117706616829426,0.600735570735571,0.109570137892684
GradientBoosting,Without Pu1_1,0.530499325236167,0.0897353704393145,0.520534759358289,0.0937459846910052,0.519473684210526,0.145929061049284,0.518329383035265,0.120906327141098
SVM,Without Pu1_1,0.634952766531714,0.11758096193082,0.615040565841481,0.105053850915088,0.697894736842105,0.146523895926782,0.6533162173727,0.123790645413418
LogisticRegression,Without Pu2_1,0.588529014844804,0.0668532632063881,0.595468618069237,0.0731318785937967,0.562105263157895,0.0731105488597277,0.577059314954052,0.0687084116757158
RandomForest,Without Pu2_1,0.608906882591093,0.0798135807634112,0.61531475748194,0.0849037012411856,0.562105263157895,0.109514162556968,0.586716413960996,0.0982833758889199
GradientBoosting,Without Pu2_1,0.608906882591093,0.12869895658467,0.603492063492064,0.118720821294831,0.604736842105263,0.159816376627138,0.603163001057738,0.138035718518348
SVM,Without Pu2_1,0.614304993252362,0.111649744098256,0.600141262246525,0.101351859939823,0.666842105263158,0.139007164166998,0.63070324705695,0.116715559979868
LogisticRegression,Without E_hybrid_1,0.598650472334683,0.0952210119170664,0.595882352941177,0.0864845927034781,0.615263157894737,0.105057694214053,0.604496560350219,0.0940681887574019
RandomForest,Without E_hybrid_1,0.598650472334683,0.107517979439505,0.601028551771586,0.10855341590551,0.562631578947368,0.134847816141032,0.580261902769643,0.122685101341177
GradientBoosting,Without E_hybrid_1,0.593252361673414,0.108660360766161,0.587150228512458,0.103780765768842,0.572631578947368,0.158049047403145,0.578083935328517,0.131772455471327
SVM,Without E_hybrid_1,0.635087719298246,0.0906772131953021,0.61804347826087,0.0751831761559434,0.687894736842105,0.136025905956964,0.649246355990542,0.0999877139237556
LogisticRegression,Without seedNumber_1,0.588259109311741,0.0799125516209966,0.593035619351409,0.0848725314650505,0.572105263157895,0.0933761938258741,0.580574648066908,0.0827381584839203
RandomForest,Without seedNumber_1,0.577867746288799,0.0743154877482113,0.570601503759398,0.0777126504169296,0.572631578947368,0.131237451583231,0.569449566265998,0.106636725558176
GradientBoosting,Without seedNumber_1,0.55668016194332,0.110932487490214,0.54804347826087,0.114021134688441,0.540526315789474,0.166698427260036,0.541584332035768,0.139198669493108
SVM,Without seedNumber_1,0.551821862348178,0.0911389897993894,0.551176470588235,0.101776605900622,0.541578947368421,0.117173546029796,0.544315564875106,0.106524013599503
