E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d,Y
-19.76,0.0011338,0.00744624,-26.96,9,-6.32,-8.26,4,0,0.1689092,0.583754,0.5533965,0.07412727,0.4
-20.68,1.26659e-5,0.0119203,-30.36,10,-5.6,-11.04,4,0,0.04529022,0.4543846,0.03574447,0.3755389,0
-13.78,6.08579e-8,7.912e-6,-31.26,3,-2.67,-11.52,4,0,0.2390679,0.365754,0.0206013,0.1436818,0
-17.08,6.28651e-8,6.74599e-4,-31.8,10,-6.48,-6.46,4,0,0.05561546,0.03574447,0.1475453,0.1526598,0
-11.92,5.54465e-5,8.45444e-5,-23.74,5,-3.51,0,0,0,0.08484142,0.4775747,0.05611193,0.1311973,0.01
-18.86,2.13176e-4,8.85116e-7,-32.66,10,-4.45,-5.18,2,0,0.09943558,0.2089775,0.05901272,0.2300562,0.4
-17.04,5.61948e-7,9.02135e-5,-31.65,9,-6.92,-1.32,1,0,0.05575178,0.3414455,0.3612059,0.6924177,0
-13.83,6.09437e-7,4.0138e-4,-27.47,6,-6.34,-13.8,4,0,0.06251929,0.02398344,0.2124849,0.2508912,0.4
-16.07,1.51195e-6,3.94363e-5,-30.58,10,-5.38,-11.5,6,0,0.2363648,0.2766214,0.3676373,0.008381994,0.4
-21.61,0.00206661,5.10539e-6,-32.93,10,-9.09,-6.74,4,0,0.08910715,0.07417066,0.5918472,0.1864162,0
-20.44,9.02135e-5,3.0917e-5,-32.58,10,-6.19,-15.04,4,0,0.1864162,0.5918472,0.1332834,0.1036355,0
-18.33,3.03766e-6,0.176205,-27.23,10,-10.77,-11.3,4,0,0.08036255,0.2136021,0.3461001,0.6420964,0.4
-11.5,1.51408e-5,1.61561e-5,-25.14,9,-3.76,-9.6,2,0,0.08619068,0.07428812,0.02163355,0.03125574,0.4
-15.8,5.53684e-6,0.0131391,-25.93,10,-5.35,-9.26,4,0,0.6272847,0.08246332,0.2366594,0.02394555,0
-18.14,4.49023e-5,6.73648e-5,-30.23,9,-6.88,-12.88,2,0,0.2296085,0.3649332,0.1762733,0.07014096,0
-19.08,5.01615e-7,0.922077,-28.07,8,-6.63,-2.2,1,0,0.05575747,0.04002592,0.9015774,0.04196638,0
-25.05,0.0011338,0.106555,-30.61,10,-7.3,-10.74,4,0,0.1965861,0.4153685,0.380491,0.2050419,0
-16.18,1.07386e-7,8.87615e-5,-31.82,10,-5.44,-13.7,4,0,0.06421321,0.0445494,0.2205746,0.2543226,0
-12.85,3.93808e-6,1.32977e-5,-27.44,5,-6.16,-10.16,6,-0.3600000000000012,0.2384211,0.2015969,0.1235724,0.2668023,0
-19.97,1.64203e-5,0.025973,-29.01,10,-6.07,-11.36,4,0,0.2065447,0.14248,0.07390489,0.2811746,0.01
-13.41,5.72753e-5,9.15599e-6,-26.58,3,-0.99,-10.86,4,-0.0600000000000005,0.1293603,0.3193511,0.03497824,0.1065776,0
-20.02,0.00115234,0.00664678,-27.28,10,-7.84,-10.04,4,0,0.1559203,0.0960511,0.1169967,0.34704429999999997,0
-14.55,8.0301e-7,0.00151836,-27.2,9,-5.2,-11.6,4,0,0.03497824,0.6176311,0.02948893,0.003583325,0.01
-8.91,1.12425e-9,2.16358e-5,-28.23,3,-2.52,-6.9,4,-1.1500000000000004,0.264799,0.003513222,0.07659396,0.1770678,0
-14.5,5.3525e-7,1.91772e-10,-37.19,6,-1.69,-4.44,2,0,0.1878484,0.2763666,0.0327634,0.04604711,0
-18.64,0.00146988,0.031556,-24.79,10,-7.2,-10.72,4,0,0.34704429999999997,0.1169967,0.04652902,0.07868727,0.01
-14.25,2.54831e-4,1.83953e-5,-26.07,5,-7.68,0,0,0,0.3254956,0.08015681,0.6389159,0.1113537,0.01
-15.23,4.85598e-7,3.93808e-6,-31.86,9,-4.61,0,0,0,0.01981313,0.05617346,0.03227146,0.02615458,0.01
-19.16,4.4242e-4,9.95779e-4,-28.18,10,-6.95,-7.94,4,0,0.45403520000000003,0.3459826,0.2878867,0.3028493,0.4
-16.08,1.05806e-6,5.72753e-5,-30.58,10,-5.24,0,0,0,0.5964224,0.4041602,0.09166119,0.3048572,0
-14.05,6.19406e-7,2.99299e-5,-29.28,6,-3.71,-6.58,4,0,0.6083863,0.1124661,0.04529022,0.03574447,0
-19.24,2.98035e-8,0.00259364,-33.59,8,-5.86,-7.48,2,0,0.3100575,0.0374863,0.1475453,0.2295315,0
-18.25,4.34686e-5,0.0184733,-26.9,10,-5.91,-9.68,4,0,0.2807053,0.1773549,0.2473491,0.1843283,0.4
-11.09,2.33982e-7,1.09605e-4,-26.12,7,-3.82,-2.1,2,0,0.03387323,0.1147525,0.06026448,0.1151712,0.4
-19.29,1.77829e-6,1.04398e-4,-33.1,10,-5.36,-10.9,4,0,0.1515294,0.1036355,0.3850397,0.03820165,0.4
-22.21,1.09605e-4,0.00181504,-31.72,10,-6.15,-7.62,4,0,0.5537619,0.04670525,0.6583666,0.03983391,0.4
-17.22,3.34825e-6,2.23494e-5,-31.59,10,-6.91,-5.74,2,0,0.01875886,0.2257704,0.2181688,0.3388487,0.4
-14.79,2.41699e-7,1.00922e-5,-31.27,7,-7.27,0,0,0,0.5803214,0.1615425,0.01483183,0.6047108,0.4
-15.78,2.58634e-5,5.90811e-6,-29.71,5,-3.07,-9.16,4,0,0.2296085,0.5889871,0.07014096,0.1901747,0
-14.58,0.0140202,0.310919,-17.93,5,-6.48,-3.68,2,-2.1500000000000004,0.03482188,0.01429475,0.03342268,0.0669025,0
-12.22,2.48617e-10,8.87615e-5,-31.6,7,-6.24,-5.24,2,-0.2400000000000002,0.1621554,0.01429475,0.04920822,0.00978276,0
-17.86,2.79307e-8,0.0644363,-30.27,9,-5.86,-13.12,4,0,0.1171039,0.133501,0.05902667,0.04002592,0.01
-17.17,4.00249e-6,0.0159634,-27.38,8,-6.29,-8.82,4,0,0.07002911,0.05575747,0.04196638,0.07768738,0
-16.74,3.81233e-6,0.13814,-25.65,10,-6.88,-12.12,4,0,0.4153685,0.09632197,0.1965861,0.380491,0
-23.06,0.00133353,0.24774,-28,9,-7.96,-11.82,4,0,0.1965861,0.454181,0.2296412,0.2050419,0
-21.44,8.46637e-4,0.36569,-26.42,8,-7.18,-12.24,4,0,0.387433,0.1965861,0.2050419,0.2571731,0
-16.66,1.20642e-5,2.85079e-5,-30.09,5,-7.25,-3.6,2,0,0.1867301,0.2050419,0.1051997,0.0445494,0
-15.12,6.48471e-9,2.46346e-5,-33.28,7,-3.68,-9.12,4,0,0.1049329,0.0445494,0.2543226,0.2894155,0
-13.91,1.34962e-6,4.2769e-5,-28.44,7,-6.44,-12.2,4,0,0.2894155,0.2543226,0.2015969,0.2384211,0
-15.94,1.30837e-5,0.00127017,-26.98,9,-6.1,-10.48,4,0,0.14248,0.1235724,0.06978984,0.07390489,0.01
-17.52,4.214e-4,5.18891e-6,-29.81,7,-4.99,-12.6,4,0,0.4544913,0.1770678,0.176,0.1878484,0.01
-13.64,7.88972e-8,2.58999e-4,-28.81,10,-5.72,-7.82,4,0,0.03250184,0.02133583,0.01468688,0.2773454,0.01
-15.12,5.18159e-7,0.0091948,-26.93,9,-7.86,-8.72,4,-1.459999999999999,0.1113537,0.6389159,0.01981313,0.2647034,0.01
