Model,Feature Set,E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
LogisticRegression,All Features,0.03250823988777654,0.03689010064612176,0.016373532375438857,0.14347436553256077,0.1413542061659579,0.008994275597882368,0.05662813410333685,0.06788917229057694,0.1257911515542985,0.08328446635679468,0.03514454158718676,0.1305092650831232,0.10624363393185968
RandomForest,All Features,[0.01243801 0.01243801],[0.01318661 0.01318661],[0.0573626 0.0573626],[0.02291777 0.02291777],[0.04229836 0.04229836],[0.01236846 0.01236846],[0.02082177 0.02082177],[0.00320949 0.00320949],[0.06872311 0.06872311],[0.0335939 0.0335939],[0.01764927 0.01764927],[0.06190253 0.06190253],[0.05510576 0.05510576]
GradientBoosting,All Features,0.14526789208029867,0.19793519612076343,0.6162720448103821,0.2944611560471681,0.5756783975866581,0.1882288089222125,0.21979441229551874,0.05986839100343226,1.2103703643779866,0.38001078122828913,0.22279085077933786,0.6175771076553015,0.8328085267146612
SVM,All Features,0.037126632508675594,0.0306682893937531,0.015164075948909447,0.06551096356355851,0.07665316738582585,0.01703197856246817,0.053893454104536755,0.03315237772665406,0.15971798522435182,0.04412787195782393,0.06267095245595489,0.10947979813210698,0.09841517832811544
LogisticRegression,Without E_1,0.03394611304498594,0.01630618325029751,0.12640452070306593,0.14998932340199225,0.008107437741610334,0.06280385591566705,0.07045020904252938,0.1275735866535741,0.08317679965292231,0.03424296733278987,0.13157532190839155,0.10515750713682621,
RandomForest,Without E_1,[0.01375571 0.01375571],[0.06120164 0.06120164],[0.02251367 0.02251367],[0.04788959 0.04788959],[0.01404974 0.01404974],[0.02332901 0.02332901],[0.00360604 0.00360604],[0.07211488 0.07211488],[0.03230679 0.03230679],[0.01915555 0.01915555],[0.058784 0.058784],[0.05640224 0.05640224],
GradientBoosting,Without E_1,0.19133901240166964,0.591689478705642,0.30633024591659963,0.6100811657597673,0.21210187017358276,0.23797884667109964,0.05829420042673154,1.2313468631321056,0.3694689897728115,0.22192603930886984,0.61352127025034,0.8086325571811317,
SVM,Without E_1,0.031724970609668515,0.015232264560739442,0.05382591492689248,0.09233778446603862,0.02144087098849075,0.056917524375865,0.043158598789867886,0.16740385885259115,0.04666085900614666,0.06287887484454172,0.10733850742008624,0.1027815047670398,
LogisticRegression,Without Pu1_1,0.03639981184186075,0.01937256935844198,0.11823879008632672,0.14658455283075617,0.010902498892361338,0.06394787171812984,0.07216428061619971,0.1304297480476275,0.09698360367374408,0.04534539850863432,0.13105069702604735,0.09539506389770716,
RandomForest,Without Pu1_1,[0.01344169 0.01344169],[0.06067877 0.06067877],[0.02563564 0.02563564],[0.04038343 0.04038343],[0.01519124 0.01519124],[0.02045983 0.02045983],[0.00408955 0.00408955],[0.07135188 0.07135188],[0.03294219 0.03294219],[0.01802894 0.01802894],[0.06114574 0.06114574],[0.0525721 0.0525721],
GradientBoosting,Without Pu1_1,0.15061996755580384,0.5616059838043634,0.28989067651949957,0.5484406303753353,0.19126832874468946,0.24816170724291595,0.06051502030097274,1.1679731852214015,0.37826208976418474,0.24784264078226972,0.6412559138482914,0.8114262563134549,
SVM,Without Pu1_1,0.03621438135528697,0.013525149221847799,0.054522410968798826,0.07776661883000889,0.01790205528853676,0.05654159386452706,0.035542861827150385,0.17651289438724152,0.03935232712712365,0.07241553083286772,0.10339389757890313,0.0963711626252012,
LogisticRegression,Without Pu2_1,0.03244448349925927,0.03880140334777059,0.15079609848728445,0.14174477731071966,0.011177936543650853,0.06099943109335661,0.06973450870899406,0.13125440247466774,0.08161451879847195,0.03276702156853473,0.12904376931214107,0.10716872305589012,
RandomForest,Without Pu2_1,[0.01555772 0.01555772],[0.01516965 0.01516965],[0.03250219 0.03250219],[0.04832112 0.04832112],[0.01400972 0.01400972],[0.03243269 0.03243269],[0.00392224 0.00392224],[0.07826084 0.07826084],[0.03516566 0.03516566],[0.0189425 0.0189425],[0.06723314 0.06723314],[0.05490723 0.05490723],
GradientBoosting,Without Pu2_1,0.1960473482525696,0.22066264504750963,0.39098478552606164,0.6069947299316556,0.22241434569720578,0.2880800781155309,0.04562798869231159,1.403669632173766,0.35674626640745644,0.2481758085407218,0.5675523514840368,0.8406751294164294,
SVM,Without Pu2_1,0.03950848768225403,0.03065975771377505,0.07338354008831163,0.0801380364888409,0.01850630076532176,0.05945482644811508,0.035151391875229754,0.16756622262850057,0.045294554365509256,0.06619579337421075,0.10498478975533936,0.09337575116499679,
LogisticRegression,Without E_hybrid_1,0.05659871259657552,0.026267098985382837,0.021719974796586442,0.15310271802234032,0.013202293208518845,0.07917120949742128,0.06097495973957219,0.1587085146491575,0.08453622833109752,0.03434627709473069,0.14494494787930712,0.10424229515664647,
RandomForest,Without E_hybrid_1,[0.0126118 0.0126118],[0.01449128 0.01449128],[0.06347233 0.06347233],[0.0431506 0.0431506],[0.01427012 0.01427012],[0.02482515 0.02482515],[0.00406136 0.00406136],[0.07356456 0.07356456],[0.03250337 0.03250337],[0.01927257 0.01927257],[0.05972201 0.05972201],[0.05929842 0.05929842],
GradientBoosting,Without E_hybrid_1,0.1528124262156994,0.20015709690766878,0.5549917920606291,0.5661076467301884,0.2284549731230725,0.24247196664112333,0.05189254909696635,1.2110953376546552,0.35361244465586006,0.24089226603352526,0.6527624608515643,0.7666107581902064,
