Model,Feature Set,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,SHAP Values
LogisticRegression,All Features,0.700919540229885,0.12799127992492787,0.6953619909502262,0.12159849495932222,0.7161904761904763,0.15420338779435502,0.7025345622119816,0.131893877107024,"[0.03250824 0.0368901  0.01637353 0.14347437 0.14135421 0.00899428
 0.05662813 0.06788917 0.12579115 0.08328447 0.03514454 0.13050927
 0.10624363]"
RandomForest,All Features,0.7158620689655172,0.07199257165773089,0.7708180708180709,0.11530519066772621,0.6342857142857143,0.07218017265331966,0.6908410873928114,0.07257555669050193,"[[0.01243801 0.01243801]
 [0.01318661 0.01318661]
 [0.0573626  0.0573626 ]
 [0.02291777 0.02291777]
 [0.04229836 0.04229836]
 [0.01236846 0.01236846]
 [0.02082177 0.02082177]
 [0.00320949 0.00320949]
 [0.06872311 0.06872311]
 [0.0335939  0.0335939 ]
 [0.01764927 0.01764927]
 [0.06190253 0.06190253]
 [0.05510576 0.05510576]]"
GradientBoosting,All Features,0.6749425287356321,0.07609646824821786,0.6668907563025209,0.08252832940497146,0.700952380952381,0.09760859409766827,0.6816614420062697,0.08157761387912622,"[0.14526789 0.1979352  0.61627204 0.29446116 0.5756784  0.18822881
 0.21979441 0.05986839 1.21037036 0.38001078 0.22279085 0.61757711
 0.83280853]"
SVM,All Features,0.7151724137931035,0.09032581473479384,0.778525641025641,0.13195789578134423,0.6352380952380952,0.09895600158369933,0.6904163791120312,0.09129287111734946,"[0.03712663 0.03066829 0.01516408 0.06551096 0.07665317 0.01703198
 0.05389345 0.03315238 0.15971799 0.04412787 0.06267095 0.1094798
 0.09841518]"
LogisticRegression,Without E_1,0.7078160919540231,0.12435995470936415,0.7027149321266968,0.11587521025513504,0.7161904761904763,0.15420338779435502,0.7068356374807988,0.13029373849331985,"[0.03394611 0.01630618 0.12640452 0.14998932 0.00810744 0.06280386
 0.07045021 0.12757359 0.0831768  0.03424297 0.13157532 0.10515751]"
RandomForest,Without E_1,0.6889655172413793,0.07916061161315283,0.7263492063492063,0.12118753959498649,0.6342857142857143,0.0835927933618731,0.6710673234811166,0.077883239550719,"[[0.01375571 0.01375571]
 [0.06120164 0.06120164]
 [0.02251367 0.02251367]
 [0.04788959 0.04788959]
 [0.01404974 0.01404974]
 [0.02332901 0.02332901]
 [0.00360604 0.00360604]
 [0.07211488 0.07211488]
 [0.03230679 0.03230679]
 [0.01915555 0.01915555]
 [0.058784   0.058784  ]
 [0.05640224 0.05640224]]"
GradientBoosting,Without E_1,0.6885057471264368,0.07173371583558827,0.681547619047619,0.07928070912272586,0.7152380952380952,0.08150511579175113,0.696155324097482,0.07197373501980106,"[0.19133901 0.59168948 0.30633025 0.61008117 0.21210187 0.23797885
 0.0582942  1.23134686 0.36946899 0.22192604 0.61352127 0.80863256]"
SVM,Without E_1,0.7218390804597701,0.106630493271808,0.7768835739423975,0.14623367071147308,0.6619047619047619,0.09476070829586858,0.7065139985050997,0.09784734617306787,"[0.03172497 0.01523226 0.05382591 0.09233778 0.02144087 0.05691752
 0.0431586  0.16740386 0.04666086 0.06287887 0.10733851 0.1027815 ]"
LogisticRegression,Without Pu1_1,0.7080459770114943,0.10113113732272117,0.7054298642533936,0.09199372983483647,0.7161904761904763,0.12910295773585176,0.7079731447640235,0.10333290071441743,"[0.03639981 0.01937257 0.11823879 0.14658455 0.0109025  0.06394787
 0.07216428 0.13042975 0.0969836  0.0453454  0.1310507  0.09539506]"
RandomForest,Without Pu1_1,0.6682758620689655,0.07204100357662382,0.7083333333333333,0.11254628677422757,0.6076190476190477,0.05264866651842,0.6488585671322045,0.06047595164978946,"[[0.01344169 0.01344169]
 [0.06067877 0.06067877]
 [0.02563564 0.02563564]
 [0.04038343 0.04038343]
 [0.01519124 0.01519124]
 [0.02045983 0.02045983]
 [0.00408955 0.00408955]
 [0.07135188 0.07135188]
 [0.03294219 0.03294219]
 [0.01802894 0.01802894]
 [0.06114574 0.06114574]
 [0.0525721  0.0525721 ]]"
GradientBoosting,Without Pu1_1,0.6954022988505747,0.06339161221231876,0.6959475328592976,0.07399454184025556,0.7019047619047619,0.07137140569598169,0.6969622331691296,0.06366578728424623,"[0.15061997 0.56160598 0.28989068 0.54844063 0.19126833 0.24816171
 0.06051502 1.16797319 0.37826209 0.24784264 0.64125591 0.81142626]"
SVM,Without Pu1_1,0.7291954022988506,0.09020931019536826,0.7827797202797203,0.13648753909157751,0.6619047619047619,0.04322592654441986,0.7135286935286935,0.07998165720317489,"[0.03621438 0.01352515 0.05452241 0.07776662 0.01790206 0.05654159
 0.03554286 0.17651289 0.03935233 0.07241553 0.1033939  0.09637116]"
LogisticRegression,Without Pu2_1,0.7011494252873564,0.1143709928513921,0.6982704876822524,0.11540037462852054,0.7171428571428572,0.1408622620532139,0.7036904761904762,0.11880236642244842,"[0.03244448 0.0388014  0.1507961  0.14174478 0.01117794 0.06099943
 0.06973451 0.1312544  0.08161452 0.03276702 0.12904377 0.10716872]"
RandomForest,Without Pu2_1,0.7020689655172414,0.0609884667541717,0.7417729329494035,0.1047258698845438,0.6495238095238095,0.04401607622206227,0.6876403166725746,0.04820139726981014,"[[0.01555772 0.01555772]
 [0.01516965 0.01516965]
 [0.03250219 0.03250219]
 [0.04832112 0.04832112]
 [0.01400972 0.01400972]
 [0.03243269 0.03243269]
 [0.00392224 0.00392224]
 [0.07826084 0.07826084]
 [0.03516566 0.03516566]
 [0.0189425  0.0189425 ]
 [0.06723314 0.06723314]
 [0.05490723 0.05490723]]"
GradientBoosting,Without Pu2_1,0.6411494252873563,0.05937268398108662,0.6446380090497736,0.06210138863629691,0.6342857142857142,0.0936244245900534,0.6364670327406701,0.066501854103376,"[0.19604735 0.22066265 0.39098479 0.60699473 0.22241435 0.28808008
 0.04562799 1.40366963 0.35674627 0.24817581 0.56755235 0.84067513]"
SVM,Without Pu2_1,0.7154022988505747,0.07555703215238174,0.766108597285068,0.11438619682971175,0.6495238095238095,0.07411457698416656,0.6967147977470558,0.070229448366599,"[0.03950849 0.03065976 0.07338354 0.08013804 0.0185063  0.05945483
 0.03515139 0.16756622 0.04529455 0.06619579 0.10498479 0.09337575]"
LogisticRegression,Without E_hybrid_1,0.6673563218390804,0.10637395429799756,0.6657212885154061,0.11041610789568507,0.6885714285714285,0.09231711097944864,0.6758908045977011,0.09845216759289221,"[0.05659871 0.0262671  0.02171997 0.15310272 0.01320229 0.07917121
 0.06097496 0.15870851 0.08453623 0.03434628 0.14494495 0.1042423 ]"
RandomForest,Without E_hybrid_1,0.6951724137931035,0.07484303387697588,0.7371794871794871,0.11770320043441866,0.6342857142857142,0.05858497713992265,0.6772019704433496,0.06665325853826004,"[[0.0126118  0.0126118 ]
 [0.01449128 0.01449128]
 [0.06347233 0.06347233]
 [0.0431506  0.0431506 ]
 [0.01427012 0.01427012]
 [0.02482515 0.02482515]
 [0.00406136 0.00406136]
 [0.07356456 0.07356456]
 [0.03250337 0.03250337]
 [0.01927257 0.01927257]
 [0.05972201 0.05972201]
 [0.05929842 0.05929842]]"
GradientBoosting,Without E_hybrid_1,0.6885057471264368,0.07476744232635868,0.69003663003663,0.08390898066548917,0.6876190476190475,0.0968248763972483,0.6867353336318855,0.08110347644562133,"[0.15281243 0.2001571  0.55499179 0.56610765 0.22845497 0.24247197
 0.05189255 1.21109534 0.35361244 0.24089227 0.65276246 0.76661076]"
SVM,Without E_hybrid_1,0.7082758620689654,0.08583490622680996,0.7387878787878789,0.11850465712467537,0.6904761904761905,0.08718318088644424,0.7051068231595614,0.07288069110564313,"[0.03571829 0.03457248 0.0144263  0.08203809 0.02146412 0.06673219
 0.02874311 0.18066065 0.03913631 0.06005321 0.11708439 0.10281411]"
LogisticRegression,Without seedNumber_1,0.6882758620689655,0.07846256869501603,0.6763958916900094,0.0625072299685285,0.7152380952380952,0.11727828021990205,0.6934038662486939,0.08327512519158697,"[0.10006012 0.03997627 0.01723991 0.15458626 0.01439562 0.06146004
 0.02973341 0.13070008 0.09568547 0.03939344 0.13918782 0.12074487]"
RandomForest,Without seedNumber_1,0.6956321839080459,0.06264694708332677,0.7201931401931402,0.08599530373644097,0.6476190476190476,0.07075876427050175,0.6797094859163826,0.06684917579574458,"[[0.01618422 0.01618422]
 [0.01482799 0.01482799]
 [0.0624879  0.0624879 ]
 [0.02166099 0.02166099]
 [0.01431569 0.01431569]
 [0.02256946 0.02256946]
 [0.00358535 0.00358535]
 [0.07005639 0.07005639]
 [0.03795126 0.03795126]
 [0.01954125 0.01954125]
 [0.0610873  0.0610873 ]
 [0.05629783 0.05629783]]"
GradientBoosting,Without seedNumber_1,0.6544827586206896,0.06346493201331853,0.6599511599511599,0.08010549710210228,0.6466666666666667,0.07774602526460399,0.6511585477102718,0.06861692229257735,"[0.21884413 0.21621332 0.65134396 0.28231207 0.23883729 0.26479437
 0.03118103 1.06215726 0.39610164 0.178242   0.60207464 0.79098808]"
SVM,Without seedNumber_1,0.7085057471264368,0.08222561436729442,0.7620104895104894,0.12232650780677541,0.6352380952380952,0.06677542149698323,0.6875604395604397,0.07514177398304597,"[0.05685333 0.03222641 0.01620901 0.0590759  0.02855154 0.06128797
 0.02240653 0.16832415 0.05217717 0.06279801 0.11031445 0.11118781]"
LogisticRegression,Without seedEbest_1,0.6942528735632184,0.12699354946828223,0.6916855203619909,0.12150269181150809,0.7028571428571428,0.14918067999391446,0.6944700460829493,0.1299637215636669,"[0.03257673 0.03694465 0.01750266 0.14288018 0.14013127 0.05527131
 0.06823814 0.12541149 0.08379463 0.03454358 0.13097371 0.10584942]"
RandomForest,Without seedEbest_1,0.6949425287356321,0.08346315690120672,0.721474358974359,0.11790516196899484,0.6619047619047619,0.043225926544419854,0.6877248677248677,0.07349768187543522,"[[0.01315158 0.01315158]
 [0.01346529 0.01346529]
 [0.06401205 0.06401205]
 [0.02089292 0.02089292]
 [0.04338678 0.04338678]
 [0.02004476 0.02004476]
 [0.00457825 0.00457825]
 [0.06903979 0.06903979]
 [0.03781615 0.03781615]
 [0.02009293 0.02009293]
 [0.05864527 0.05864527]
 [0.05253559 0.05253559]]"
