E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d,Y
-11.86,7.92317e-5,0.029573,-19.85,8,-5.71,-9.68,4,0,0.06394042,0.5202023,0.2833192,0.1013273,0.31
-15.87,0.00224126,0.184994,-20.67,10,-5.26,-11.4,4,0,0.11631,0.2430595,0.3969425,0.3230342,0.41
-14.05,4.14034e-5,0.0835363,-21.8,6,-5.4,-12.54,4,0,0.3969425,0.11631,0.6282661,0.06175367,0.45
-15.44,1.20642e-5,0.0149603,-25.01,5,-5.09,-10.52,4,0,0.6282661,0.3230342,0.0511703,0.03158275,0.21
-12.51,4.34074e-6,0.00480485,-23.41,6,-5.47,-8.72,4,0,0.06175367,0.6282661,0.03158275,0.1031307,0
-12.11,4.20214e-6,0.0235637,-22.05,7,-1.47,-9.3,4,0,0.0511703,0.2426116,0.03158275,0.2781218,0
-10.13,0.00643455,0.133729,-14.48,9,-3.99,-10.96,4,0,0.7650114,0.2468108,0.5976879,0.2025474,0
-11.89,0.00172881,0.00285884,-19.42,9,-2.97,-6.86,4,0,0.2327869,0.2268003,0.1716485,0.1214178,0.45
-10.36,0.0396035,0.96807,-12.37,5,-5.42,-7.26,1,0,0.3604918,0.1214178,0.05250477,0.0849492,0
-9.19,7.18819e-5,3.34825e-6,-22.84,3,-1.74,-2.66,1,0,0.2810223,0.5386665,0.02158047,0.08949162,0.29
-18.13,5.55248e-4,0.0310481,-24.89,10,-4.35,-12.52,4,0,0.2581829,0.6422814,0.2465759,0.2029972,0
-12.6,0.00224126,0.00127017,-20.47,9,-4.46,-10.98,4,0,0.228453,0.1078671,0.4267443,0.5821985,0
-10.98,1.67125e-4,1.22788e-4,-21.89,8,-1.57,-9.12,4,0,0.3625231,0.6545198,0.04932789,0.06524819,0.23
-11.12,2.63236e-4,2.94897e-4,-21.21,7,-3.66,-8.26,6,0,0.772703,0.4118592,0.4615045,0.07502638,0
-17.01,0.00175709,0.123309,-22.21,10,-5.68,-11.12,4,0,0.297163,0.1619176,0.4327871,0.04897952,0.42
-14.27,0.029573,0.0795675,-18,5,-6.41,-8.86,4,0,0.2640742,0.2507012,0.1758854,0.3177062,0.22
-11.45,0.0415789,0.864134,-13.5,5,-3.6,-7.78,4,0,0.05096008,0.001557639,0.3836708,0.1379317,0
-9.35,3.04195e-5,5.92479e-4,-20.34,7,-2.68,-6.84,1,0,0.06415707,0.1307266,0.1583656,0.09259139,0.3
-10.34,1.1322e-4,3.14671e-4,-20.91,8,-5,-7.27,4,0,0.2568509,0.09259139,0.1965476,0.1817643,0.33
-12.53,3.88016e-5,0.00133353,-22.87,8,-3.37,-6.52,4,0,0.3771703,0.1817643,0.06886465,0.06394042,0.58
-6.24,3.45869e-6,3.30367e-4,-18.93,1,-0.4,-2.92,1,0,0.03158275,0.0511703,0.2131208,0.1649392,0
-9.32,0.00281283,0.093584,-14.4,7,-3.34,-11.24,4,0,0.260425,0.7093379,0.09914869,0.07542186,0.22
-17.04,0.0320722,9.92975e-6,-26.26,6,-5.52,-6.9,2,0,0.3523241,0.4630339,0.2493274,0.432853,0.46
-13.39,8.7087e-7,0.0184733,-24.45,8,-5.32,-10.48,4,0,0.0156439,0.7529275,0.006818673,0.3369364,0.74
-16.92,7.64858e-7,0.00164667,-29.55,10,-3.85,-11.6,4,0,0.006818673,0.0156439,0.3369364,0.2581829,0.55
-17.64,4.14618e-4,0.0060302,-25.59,10,-4.91,-8.7,4,0,0.6422814,0.3231624,0.3598217,0.2465759,0.33
-16.43,3.46357e-5,0.210635,-23.72,9,-5.79,-12.04,4,0,0.3598217,0.2581829,0.2029972,0.2347721,0.29
-15.03,0.0757872,0.0117285,-19.36,9,-3.88,-10.9,4,0,0.6470544,0.5821985,0.5586043,0.7394952,0.77
-14.59,0.011354,2.20208e-4,-22.54,8,-8.72,-4.6,2,0,0.6592312,0.5924465,0.4884206,0.1970317,0.62
-7.69,2.53397e-8,0.00164667,-22.42,5,-0.68,-11.88,4,-0.5200000000000005,0.06868232,0.380394,0.001022471,0.008342142,0
-5.34,0.018176,0.277537,-8.6,3,-3.72,-6.44,1,0,0.001022471,0.06868232,0.7366452,0.1194615,0
-14.95,0.0159634,3.70103e-4,-22.37,9,-4.45,-9.84,4,0,0.5721714,0.1194615,0.6218209,0.402609,0.46
-15.45,5.55248e-4,2.46694e-4,-25.19,7,-6.87,-7.38,2,0,0.4480049,0.5303846,0.629175,0.07009083,0
