Feature,Group,Correlation,Absolute_Correlation,Normalized_Weight,Weight_Percentage
pumin5_8d,EXTRA,0.3218531513434333,0.3218531513434333,0.09400254426597196,9.4
E_diff_12,EXTRA,0.17573824297779972,0.17573824297779972,0.051327264921253675,5.13
pumin5_8u,EXTRA,0.11493975355918538,0.11493975355918538,0.03357005897493344,3.36
pumin1_4u,EXTRA,0.1044350966182273,0.1044350966182273,0.030501999908338844,3.05
pumin1_4d,EXTRA,0.08240667452243991,0.08240667452243991,0.024068234340018528,2.41
seedNumber_1,GROUP_1,0.42985360524590577,0.42985360524590577,0.1255458658284171,12.55
E_1,GROUP_1,-0.4278997426844509,0.4278997426844509,0.12497520790210459,12.5
E_hybrid_1,GROUP_1,-0.4143170889975468,0.4143170889975468,0.12100816889961816,12.1
Pu2_1,GROUP_1,-0.32477840453213264,0.32477840453213264,0.09485691291581148,9.49
Etotal_1,GROUP_1,-0.29388211023809974,0.29388211023809974,0.08583313837793144,8.58
seedEbest_1,GROUP_1,-0.2926135707557973,0.2926135707557973,0.08546264040908905,8.55
Pu1_1,GROUP_1,0.15509305647033395,0.15509305647033395,0.04529749621945067,4.53
ED2_3,GROUP_3,-0.15767504154787798,0.15767504154787798,0.046051607731277776,4.61
seedNumber_3,GROUP_3,0.12839148273691298,0.12839148273691298,0.037498859305783463,3.75
