Feature,Group,Correlation,Weight_Percentage,Abs_Correlation_Rank,Statistical_Significance
pumin5_8d,EXTRA,0.3168911890268737,4.33,8.0,0.04088004833868107
pu5_8d,EXTRA,0.27476017676297265,3.75,12.0,0.07824179261264604
solIdx,EXTRA,-0.17490825345150326,2.39,19.0,0.2679077508719679
pumin1_4u,EXTRA,0.1342694471693886,1.83,24.0,0.39657529358604554
pumin5_8u,EXTRA,0.10438650777309633,1.43,28.0,0.5106107503601994
pu1_4u,EXTRA,0.07834968494020363,1.07,30.0,0.6218714839794379
pumin1_4d,EXTRA,0.06931083803558885,0.95,31.0,0.6627242975607602
pu5_8u,EXTRA,0.04565472965122173,0.62,33.0,0.7740380293700297
pu1_4d,EXTRA,-0.033046079305020466,0.45,35.0,0.8354190510663084
seedNumber_1,GROUP_1,0.4263655047706085,5.82,2.0,0.0048693766602273935
E_1,GROUP_1,-0.4032544069890457,5.51,4.0,0.008096749587499253
E_hybrid_1,GROUP_1,-0.3713509219705877,5.07,6.0,0.015465725163417475
seedEbest_1,GROUP_1,-0.3332573298238604,4.55,7.0,0.0310331450176508
Pu2_1,GROUP_1,-0.2845063834914765,3.89,11.0,0.06783345723691281
Etotal_1,GROUP_1,-0.18852364815283476,2.58,15.0,0.23182971239637667
Pu1_1,GROUP_1,0.1765295749667169,2.41,16.0,0.2634272829951466
ED1_1,GROUP_1,-0.17490839660765534,2.39,18.0,0.2679073530547695
ED2_1,GROUP_1,-0.17490694706110202,2.39,20.0,0.2679113812234724
P_E_1,GROUP_1,-0.08383708320169857,1.15,29.0,0.5975962303229394
seedNumber_2,GROUP_2,0.4534080689059235,6.19,1.0,0.0025651601915868305
E_hybrid_2,GROUP_2,-0.40508064398330856,5.53,3.0,0.007787614388963208
E_2,GROUP_2,-0.39721958465317836,5.43,5.0,0.009194588462956888
seedEbest_2,GROUP_2,-0.31498386536744744,4.3,9.0,0.04217716319127128
Pu2_2,GROUP_2,-0.3142226601588196,4.29,10.0,0.04270409824308826
Pu1_2,GROUP_2,0.16687604798831243,2.28,21.0,0.29084414287857635
Etotal_2,GROUP_2,-0.14133292502087363,1.93,23.0,0.371967864298824
ED1_2,GROUP_2,-0.12054656718517673,1.65,25.0,0.446995225128175
ED2_2,GROUP_2,-0.12054501811376069,1.65,26.0,0.44700110735007026
P_E_2,GROUP_2,0.028162873455784262,0.38,36.0,0.8594744645813074
ED2_3,GROUP_3,-0.2042352941925171,2.79,13.0,0.19450164341688464
ED1_3,GROUP_3,-0.2042352806282432,2.79,14.0,0.19450167369138965
P_E_3,GROUP_3,-0.17544464407505728,2.4,17.0,0.2664199126282627
seedNumber_3,GROUP_3,0.1610477966685128,2.2,22.0,0.30825924113501696
E_3,GROUP_3,-0.11590282974482422,1.58,27.0,0.46481776071739633
Etotal_3,GROUP_3,-0.0664085758131494,0.91,32.0,0.6760565012492017
seedEbest_3,GROUP_3,-0.040161494203584364,0.55,34.0,0.800636627107489
Pu2_3,GROUP_3,0.017528788566970824,0.24,37.0,0.9122669237635721
Pu1_3,GROUP_3,0.017406835470422356,0.24,38.0,0.9128749616958554
E_hybrid_3,GROUP_3,-0.006114666859553956,0.08,39.0,0.9693432601566917
