Model,Feature Set,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
RandomForest,"E_1, E_hybrid_1, seedNumber_1, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.6320158102766797,0.1324340726873377,0.6607142857142858,0.1682745569912821,0.5893939393939394,0.1220049826618024,0.6140756238422143,0.12089776499000243
RandomForest,"E_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin5_8u, pumin5_8d",0.6138339920948617,0.02037011656399228,0.6177489177489177,0.05325467156834461,0.6075757575757577,0.08943245189923457,0.604328502415459,0.027234067181973298
RandomForest,"E_1, Pu1_1, seedNumber_1, E_3, seedNumber_3, E_diff_12, pumin5_8u, pumin5_8d",0.5794466403162055,0.05548258385886668,0.5723626373626374,0.05641710628693199,0.6257575757575757,0.10181998555400876,0.5909554655870445,0.05500827090155385
SVM,"Pu1_1, Pu2_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4d, pumin5_8d",0.5533596837944663,0.11221398866860388,0.5614607614607614,0.10309702380108751,0.6439393939393939,0.07391703586454831,0.5901427064245655,0.05972376132680203
SVM,"Pu1_1, Pu2_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",0.5533596837944664,0.11221398866860388,0.5608547008547009,0.10690445771737084,0.6439393939393939,0.07391703586454831,0.5899620175482244,0.06305503988298501
SVM,"Pu1_1, Pu2_1, E_hybrid_1, seedEbest_1, E_3, E_diff_12, pumin1_4d, pumin5_8d",0.5873517786561264,0.07755903611959547,0.5878943278943279,0.10770771654474535,0.6060606060606061,0.09582659576267817,0.5897306397306397,0.07613002348558127
SVM,"Pu1_1, Pu2_1, E_hybrid_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",0.5699604743083003,0.08941546670151916,0.5743196672608437,0.11696197899306195,0.6242424242424243,0.10773568990685564,0.5873496873496873,0.07647822942951352
SVM,"E_1, Pu1_1, E_hybrid_1, E_3, seedNumber_3, E_diff_12, pumin1_4d, pumin5_8d",0.5612648221343874,0.06199362506465662,0.5598752228163992,0.07993797659869889,0.6257575757575757,0.061284086109565726,0.5843884810841333,0.03337922690595642
LogisticRegression,"E_1, Pu1_1, Pu2_1, E_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.5881422924901185,0.062365479599418246,0.5757478632478632,0.08406999621313826,0.6060606060606061,0.149685927699739,0.5833333333333333,0.09775252199076784
SVM,"Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_diff_12, pumin1_4d, pumin5_8d",0.5877470355731225,0.019508241390123464,0.5876923076923076,0.04882309840168986,0.5909090909090909,0.08131156281817419,0.5826007326007325,0.017028042929186048
SVM,"E_1, Pu1_1, E_hybrid_1, seedNumber_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",0.5442687747035573,0.06206414680281589,0.5391317016317017,0.06821814325327874,0.6439393939393939,0.04645366580835118,0.5823671497584542,0.033372206945149856
SVM,"Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_diff_12, pumin5_8u, pumin1_4d, pumin5_8d",0.5699604743083004,0.07567492770766368,0.5678787878787879,0.09142479986973615,0.606060606060606,0.05070666827479246,0.5821993658515398,0.05786802378612505
RandomForest,"E_1, Pu1_1, seedNumber_1, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.6063241106719367,0.1295960577474983,0.5813852813852813,0.16963732497176223,0.5878787878787879,0.20606060606060608,0.5801598594642072,0.18806643366445608
LogisticRegression,"Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, E_diff_12, pumin5_8d",0.5699604743083004,0.0649184669332737,0.5521825396825397,0.05250856269179991,0.6227272727272728,0.14910199515324296,0.5798095238095239,0.0906942735081192
SVM,"Pu1_1, Pu2_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4d, pumin5_8d",0.5537549407114624,0.09691776979360874,0.5540701128936423,0.09233289818861944,0.6257575757575757,0.10181998555400876,0.5793880837359098,0.0736960880442521
SVM,"Pu1_1, Pu2_1, seedNumber_1, seedEbest_1, E_3, E_diff_12, pumin1_4d, pumin5_8d",0.5695652173913043,0.06791521457310135,0.5691176470588235,0.07392702949611314,0.6060606060606061,0.09582659576267817,0.5789691620355236,0.05418308075467185
LogisticRegression,"Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, E_diff_12, pumin1_4d",0.5873517786561264,0.07252075852129465,0.5682539682539682,0.06420237592430696,0.6045454545454546,0.17224813928633106,0.5786720647773279,0.1133741298706888
SVM,"Pu2_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4d, pumin5_8d",0.5442687747035573,0.10683349189897963,0.555050505050505,0.10050885734630906,0.6257575757575757,0.06128408610956572,0.5785485035260148,0.04827174315411412
RandomForest,"E_1, Pu1_1, E_hybrid_1, seedNumber_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin5_8d",0.5798418972332016,0.10934838150259449,0.5858041958041958,0.13971173945073176,0.5893939393939394,0.13487401869253265,0.578167641325536,0.10982109748497067
SVM,"Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_diff_12, pumin1_4u, pumin5_8d",0.5956521739130435,0.12111641980160105,0.5883547008547009,0.17032126206265136,0.5878787878787879,0.19787669960381224,0.5774436090225563,0.16041353334511968
SVM,"Pu1_1, Pu2_1, seedNumber_1, seedEbest_1, seedNumber_3, E_diff_12, pumin1_4d, pumin5_8d",0.5624505928853755,0.09947290352411776,0.5740196078431372,0.10155935304768743,0.6090909090909091,0.11354541815269817,0.5771978254815783,0.06760207342448353
