Model,Feature Set,Kernel,C,Gamma,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
"SVM (kernel=rbf, C=1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",rbf,1.0,auto,0.6929824561403509,0.11012178825596645,0.6861111111111111,0.12690523342874768,0.7488888888888888,0.16444444444444445,0.7062848297213622,0.11172257209459918
"SVM (kernel=rbf, C=1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",rbf,1.0,scale,0.6929824561403509,0.11012178825596645,0.6861111111111111,0.12690523342874768,0.7488888888888888,0.16444444444444445,0.7062848297213622,0.11172257209459918
"SVM (kernel=linear, C=10, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",linear,10.0,scale,0.6596491228070176,0.09711124563577578,0.6458041958041958,0.0891820898849223,0.7266666666666667,0.13362930114109253,0.679011968423733,0.09209572837897587
"SVM (kernel=linear, C=10, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",linear,10.0,auto,0.6596491228070176,0.09711124563577578,0.6458041958041958,0.0891820898849223,0.7266666666666667,0.13362930114109253,0.679011968423733,0.09209572837897587
"SVM (kernel=poly, C=1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",poly,1.0,auto,0.5444444444444445,0.11830222902965945,0.531577964519141,0.07664697737764498,0.9177777777777777,0.07555555555555554,0.6708921095008051,0.07371792671238202
"SVM (kernel=linear, C=1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",linear,1.0,scale,0.6491228070175439,0.09673016668133488,0.6393939393939394,0.09223776518317832,0.7044444444444444,0.11234866364235147,0.6668907563025209,0.08887834679225945
"SVM (kernel=linear, C=1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",linear,1.0,auto,0.6491228070175439,0.09673016668133488,0.6393939393939394,0.09223776518317832,0.7044444444444444,0.11234866364235147,0.6668907563025209,0.08887834679225945
"SVM (kernel=poly, C=1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",poly,1.0,scale,0.5333333333333333,0.10265781640931786,0.5230065359477124,0.06527628692662242,0.9177777777777777,0.07555555555555554,0.6643703703703704,0.06439947345335954
"SVM (kernel=poly, C=0.1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",poly,0.1,scale,0.5,0.07061267297367756,0.5012383900928793,0.04478368571763093,0.96,0.07999999999999999,0.6571428571428571,0.04827879246357837
"SVM (kernel=poly, C=0.1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",poly,0.1,auto,0.5,0.07061267297367756,0.5012383900928793,0.04478368571763093,0.96,0.07999999999999999,0.6571428571428571,0.04827879246357837
"SVM (kernel=linear, C=0.1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",linear,0.1,scale,0.6187134502923977,0.09823168935015703,0.6007659007659008,0.08395614011029734,0.731111111111111,0.15656813292274252,0.6527189515290202,0.0975422401723269
"SVM (kernel=linear, C=0.1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",linear,0.1,auto,0.6187134502923977,0.09823168935015703,0.6007659007659008,0.08395614011029734,0.731111111111111,0.15656813292274252,0.6527189515290202,0.0975422401723269
"SVM (kernel=rbf, C=10, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",rbf,10.0,auto,0.607017543859649,0.11616102005085507,0.6234765234765235,0.11724901530285631,0.6799999999999999,0.1381357357148449,0.634728778467909,0.07636422639322177
"SVM (kernel=rbf, C=10, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",rbf,10.0,scale,0.607017543859649,0.11616102005085507,0.6234765234765235,0.11724901530285631,0.6799999999999999,0.1381357357148449,0.634728778467909,0.07636422639322177
"SVM (kernel=poly, C=10, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",poly,10.0,scale,0.5222222222222221,0.10674076630065839,0.5319808949220713,0.09722275231795342,0.7666666666666666,0.07825251938515115,0.6194612794612794,0.05592080727897843
"SVM (kernel=poly, C=10, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",poly,10.0,auto,0.5005847953216375,0.08192145500742672,0.5102792632204396,0.0706778276383705,0.7666666666666666,0.07825251938515115,0.6067340067340067,0.04153304766359401
"SVM (kernel=rbf, C=0.1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",rbf,0.1,auto,0.5345029239766081,0.12163742690058482,0.34502923976608185,0.302808801966196,0.5555555555555556,0.46080980785172715,0.41269841269841273,0.34054925770903965
"SVM (kernel=rbf, C=0.1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",rbf,0.1,scale,0.5345029239766081,0.12163742690058482,0.34502923976608185,0.302808801966196,0.5555555555555556,0.46080980785172715,0.41269841269841273,0.34054925770903965
