Model,Feature Set,Kernel,C,Gamma,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
"SVM (kernel=rbf, C=1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",rbf,1.0,auto,0.6824561403508771,0.1268021824532818,0.6716666666666666,0.141578403877302,0.7711111111111111,0.15925753659705705,0.7080392156862745,0.11708755846612667
"SVM (kernel=rbf, C=1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",rbf,1.0,scale,0.6824561403508771,0.1268021824532818,0.6716666666666666,0.141578403877302,0.7711111111111111,0.15925753659705705,0.7080392156862745,0.11708755846612667
"SVM (kernel=linear, C=1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",linear,1.0,scale,0.6385964912280702,0.10084286219789412,0.6204195804195805,0.0885695738761195,0.7266666666666667,0.11365966091150598,0.6670221007063113,0.09359638650550882
"SVM (kernel=linear, C=1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",linear,1.0,auto,0.6385964912280702,0.10084286219789412,0.6204195804195805,0.0885695738761195,0.7266666666666667,0.11365966091150598,0.6670221007063113,0.09359638650550882
"SVM (kernel=poly, C=1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",poly,1.0,auto,0.5333333333333333,0.10265781640931786,0.5230065359477124,0.06527628692662242,0.9177777777777777,0.07555555555555554,0.6643703703703704,0.06439947345335954
"SVM (kernel=poly, C=1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",poly,1.0,scale,0.5228070175438596,0.10549681669033618,0.5177433780529755,0.0679262174836341,0.9177777777777777,0.07555555555555554,0.6596084656084656,0.06493169981126022
"SVM (kernel=poly, C=0.1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",poly,0.1,scale,0.5,0.07061267297367756,0.5012383900928793,0.04478368571763093,0.96,0.07999999999999999,0.6571428571428571,0.04827879246357837
"SVM (kernel=poly, C=0.1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",poly,0.1,auto,0.5,0.07061267297367756,0.5012383900928793,0.04478368571763093,0.96,0.07999999999999999,0.6571428571428571,0.04827879246357837
"SVM (kernel=linear, C=10, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",linear,10.0,scale,0.6175438596491227,0.11062373873989084,0.6026418026418026,0.09991468671641453,0.6844444444444444,0.14966629547095767,0.6371975393028023,0.1158307268693166
"SVM (kernel=linear, C=10, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",linear,10.0,auto,0.6175438596491227,0.11062373873989084,0.6026418026418026,0.09991468671641453,0.6844444444444444,0.14966629547095767,0.6371975393028023,0.1158307268693166
"SVM (kernel=linear, C=0.1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",linear,0.1,scale,0.5859649122807017,0.06526693065873078,0.5739393939393939,0.0652071643942437,0.731111111111111,0.15656813292274252,0.6329824561403509,0.06992411135014237
"SVM (kernel=linear, C=0.1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",linear,0.1,auto,0.5859649122807017,0.06526693065873078,0.5739393939393939,0.0652071643942437,0.731111111111111,0.15656813292274252,0.6329824561403509,0.06992411135014237
"SVM (kernel=rbf, C=10, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",rbf,10.0,auto,0.6064327485380117,0.09707602339181287,0.6133116883116883,0.09899350116921439,0.6799999999999999,0.1381357357148449,0.632118920295391,0.0726548575647875
"SVM (kernel=rbf, C=10, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",rbf,10.0,scale,0.5959064327485379,0.09071681604521785,0.6037878787878788,0.09077009576212218,0.6577777777777778,0.16305721180305902,0.6137855869620575,0.082971078393026
"SVM (kernel=poly, C=10, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",poly,10.0,scale,0.49064327485380116,0.08583552342413464,0.4996732026143791,0.06496070158279062,0.7888888888888889,0.09269623828717427,0.6077880251793295,0.0572763281242978
"SVM (kernel=poly, C=10, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",poly,10.0,auto,0.49064327485380116,0.08583552342413464,0.4996732026143791,0.06496070158279062,0.7888888888888889,0.09269623828717427,0.6077880251793295,0.0572763281242978
"SVM (kernel=rbf, C=0.1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",rbf,0.1,auto,0.5345029239766081,0.12163742690058482,0.34502923976608185,0.302808801966196,0.5555555555555556,0.46080980785172715,0.41269841269841273,0.34054925770903965
"SVM (kernel=rbf, C=0.1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",rbf,0.1,scale,0.5345029239766081,0.12163742690058482,0.34502923976608185,0.302808801966196,0.5555555555555556,0.46080980785172715,0.41269841269841273,0.34054925770903965
