Model,Feature Set,Kernel,C,Gamma,Degree,Coef0,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
"SVM (kernel=poly, C=1, gamma=0.1, degree=4, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,0.1,4,1.0,0.7555555555555555,0.09026709338484402,0.7300466200466201,0.0777480799664547,0.8222222222222222,0.13333333333333336,0.768385402007693,0.08797795703303621
"SVM (kernel=poly, C=1, gamma=auto, degree=4, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,auto,4,1.0,0.7555555555555555,0.0753592220347252,0.7257575757575757,0.056772709076349105,0.8222222222222222,0.13333333333333336,0.7668907563025209,0.08075400465624559
"SVM (kernel=rbf, C=10, gamma=auto, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",rbf,10.0,auto,3,0.0,0.7666666666666666,0.0955813918560292,0.7776190476190477,0.08761904761904762,0.7555555555555555,0.1632993161855452,0.758031107179714,0.10615544296376381
"SVM (kernel=rbf, C=10, gamma=0.1, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",rbf,10.0,0.1,3,0.0,0.7555555555555555,0.09686442096757052,0.7728571428571429,0.08372831563457055,0.7333333333333333,0.180534186769688,0.7413644405130473,0.11246240596128627
"SVM (kernel=poly, C=1, gamma=scale, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,scale,3,0.0,0.6666666666666667,0.12171612389003691,0.617032967032967,0.09077747880467421,0.9333333333333332,0.054433105395181765,0.7413258046301525,0.08216996560970184
"SVM (kernel=poly, C=100, gamma=scale, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,100.0,scale,3,0.0,0.7444444444444444,0.08314794192830981,0.7353823953823954,0.05490345725652099,0.7555555555555555,0.14740554623801777,0.7412573099415205,0.09553220025659274
"SVM (kernel=poly, C=1, gamma=scale, degree=3, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,scale,3,1.0,0.7333333333333333,0.1077262190536962,0.7192673992673992,0.0965596113131435,0.7777777777777778,0.15713484026367722,0.7406299840510366,0.11115251791872266
"SVM (kernel=poly, C=0.1, gamma=auto, degree=5, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,0.1,auto,5,1.0,0.6888888888888889,0.12472191289246469,0.6629148629148629,0.1292065780493506,0.8222222222222222,0.13333333333333333,0.7271497584541062,0.11215656034251983
"SVM (kernel=poly, C=1, gamma=scale, degree=4, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,scale,4,1.0,0.7222222222222222,0.03513641844631534,0.7116450216450217,0.027860228825663393,0.7555555555555555,0.12957670877434,0.7259258440218193,0.05914117922668253
"SVM (kernel=poly, C=0.1, gamma=scale, degree=4, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,0.1,scale,4,1.0,0.7,0.10304020550550778,0.6817171717171717,0.1110571034950513,0.7777777777777777,0.07027283689263066,0.7247953216374269,0.08916822836045109
"SVM (kernel=poly, C=1, gamma=0.1, degree=2, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,0.1,2,1.0,0.7111111111111111,0.10183501544346307,0.7216666666666667,0.1462114146630754,0.7333333333333333,0.08888888888888889,0.720717234262126,0.09465318067044991
"SVM (kernel=poly, C=100, gamma=0.01, degree=2, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,100.0,0.01,2,0.1,0.7111111111111111,0.10183501544346307,0.7216666666666667,0.1462114146630754,0.7333333333333333,0.08888888888888889,0.720717234262126,0.09465318067044991
"SVM (kernel=poly, C=10, gamma=0.1, degree=3, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,10.0,0.1,3,0.1,0.6777777777777778,0.09558139185602918,0.6407692307692308,0.07511726532759203,0.8222222222222223,0.11331154474650633,0.7178400546821598,0.0823828979690507
"SVM (kernel=poly, C=0.01, gamma=1, degree=3, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,0.01,1,3,1.0,0.6777777777777778,0.09558139185602918,0.6407692307692308,0.07511726532759203,0.8222222222222223,0.11331154474650633,0.7178400546821598,0.0823828979690507
"SVM (kernel=poly, C=1, gamma=scale, degree=4, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,scale,4,0.1,0.6222222222222221,0.1333333333333333,0.5897600438776909,0.11425922010501428,0.9333333333333332,0.08888888888888889,0.7175291375291375,0.0935336172407117
"SVM (kernel=poly, C=100, gamma=0.1, degree=5, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,100.0,0.1,5,0.1,0.6888888888888889,0.08314794192830981,0.6639393939393938,0.07894157502948561,0.7777777777777777,0.07027283689263066,0.715438596491228,0.0723215690975047
"SVM (kernel=poly, C=0.1, gamma=scale, degree=5, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,0.1,scale,5,1.0,0.6777777777777778,0.11863420280034788,0.6637301587301586,0.1257258091560021,0.8,0.12957670877434,0.7152570257698807,0.09949254552271637
"SVM (kernel=poly, C=0.1, gamma=auto, degree=4, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,0.1,auto,4,1.0,0.6888888888888889,0.11439589045541107,0.671076146076146,0.11694138545512485,0.7777777777777778,0.12171612389003689,0.7150785162549868,0.10480013348057636
"SVM (kernel=rbf, C=100, gamma=auto, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",rbf,100.0,auto,3,0.0,0.7222222222222221,0.09296222517045283,0.7332323232323233,0.09629521319821302,0.7111111111111111,0.15071844406945037,0.7140419676642586,0.10121060444029958
"SVM (kernel=rbf, C=100, gamma=0.1, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",rbf,100.0,0.1,3,0.0,0.7222222222222221,0.09296222517045283,0.7332323232323233,0.09629521319821302,0.7111111111111111,0.15071844406945037,0.7140419676642586,0.10121060444029958
"SVM (kernel=poly, C=1, gamma=auto, degree=5, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,auto,5,1.0,0.711111111111111,0.041573970964154924,0.7055844155844156,0.03831851138890396,0.7333333333333333,0.11331154474650632,0.7135448916408669,0.05674437830927757
"SVM (kernel=rbf, C=10, gamma=0.01, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",rbf,10.0,0.01,3,0.0,0.7111111111111111,0.0955813918560292,0.733838383838384,0.14995492980002176,0.711111111111111,0.11331154474650632,0.7122875816993464,0.08960343329013483
"SVM (kernel=poly, C=0.1, gamma=0.1, degree=5, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,0.1,0.1,5,1.0,0.6777777777777778,0.11863420280034788,0.662136752136752,0.12507331475517422,0.7777777777777777,0.07027283689263066,0.7120680489101541,0.0960732037298592
"SVM (kernel=poly, C=100, gamma=auto, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,100.0,auto,3,0.0,0.7222222222222222,0.07856742013183862,0.7222222222222222,0.05621826951410455,0.711111111111111,0.15071844406945042,0.7113450292397661,0.1056844072700213
"SVM (kernel=poly, C=1, gamma=auto, degree=3, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,auto,3,0.1,0.6111111111111113,0.12668615834434868,0.5775700280112045,0.09316534506162319,0.9333333333333332,0.054433105395181765,0.7109692626214364,0.08097163942410103
"SVM (kernel=poly, C=1, gamma=scale, degree=3, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,scale,3,0.1,0.6444444444444445,0.1515353521887317,0.6146620046620047,0.12067760034911323,0.8444444444444444,0.08888888888888888,0.7096536796536796,0.1114791827125474
"SVM (kernel=rbf, C=100, gamma=scale, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",rbf,100.0,scale,3,0.0,0.7222222222222222,0.07027283689263066,0.7416666666666668,0.07378647873726221,0.6888888888888889,0.12957670877434,0.7079463364293086,0.08351357721036964
"SVM (kernel=poly, C=1, gamma=scale, degree=5, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,scale,5,0.1,0.6,0.09558139185602918,0.5652962723550959,0.06744247390763121,0.9555555555555555,0.054433105395181765,0.7078950035471774,0.05648997106610766
"SVM (kernel=poly, C=0.1, gamma=1, degree=3, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,0.1,1,3,0.1,0.711111111111111,0.09558139185602917,0.6975757575757575,0.06357572868821024,0.7333333333333334,0.18053418676968802,0.7073684210526314,0.11830026328378665
