Model,Feature Set,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
GradientBoosting,"Pu1_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4u, pumin5_8u, pumin1_4d",0.6571428571428573,0.06998542122237651,0.6572505925447102,0.1154382613806523,0.7545454545454546,0.14815671845427902,0.6854037267080745,0.06487173839359382
GradientBoosting,"E_1, Pu1_1, seedNumber_1, E_3, seedNumber_3, pumin1_4u, pumin5_8u, pumin1_4d, pumin5_8d",0.638095238095238,0.08302664654363187,0.6312878787878787,0.08620253448322442,0.7563636363636365,0.06764027359177556,0.6812549769071508,0.04790868234514933
GradientBoosting,"E_1, Pu1_1, seedNumber_1, E_3, seedNumber_3, pumin1_4u, pumin1_4d, pumin5_8d",0.6666666666666667,0.12777531299998798,0.6787012987012987,0.13057626212057463,0.7018181818181819,0.15378422148211277,0.6790505050505049,0.12387936771362715
GradientBoosting,"Pu1_1, seedNumber_1, seedEbest_1, E_3, pumin1_4u, pumin5_8u, pumin1_4d, pumin5_8d",0.6571428571428571,0.08192690730516786,0.6539860139860141,0.08724784475838712,0.6981818181818181,0.07144320983414003,0.6735930735930735,0.07375078593609301
GradientBoosting,"E_1, Pu1_1, E_hybrid_1, E_3, seedNumber_3, pumin1_4u, pumin5_8u, pumin1_4d, pumin5_8d",0.6285714285714286,0.04665694748158436,0.6072252747252748,0.026288151325888916,0.7545454545454546,0.10057684862501334,0.6699999999999999,0.047609522856952344
GradientBoosting,"E_1, Pu1_1, seedNumber_1, seedEbest_1, E_3, pumin1_4u, pumin1_4d, pumin5_8d",0.6380952380952382,0.04856209060564558,0.6248917748917748,0.04051494776141692,0.72,0.07327069701676324,0.6669301712779974,0.04193284919005555
GradientBoosting,"Pu1_1, E_hybrid_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.6666666666666666,0.05216405309573012,0.6710317460317461,0.054991467305777794,0.6818181818181819,0.15912986536029866,0.665578947368421,0.0797791966718558
GradientBoosting,"Pu1_1, seedNumber_1, E_3, seedNumber_3, pumin1_4u, pumin5_8u, pumin1_4d, pumin5_8d",0.6285714285714286,0.08192690730516787,0.6225108225108225,0.08105255741198765,0.7181818181818181,0.07799131123464445,0.662060606060606,0.06116782075310605
SVM,"E_1, Pu1_1, seedNumber_1, E_3, seedNumber_3, pumin1_4u, pumin1_4d, pumin5_8d",0.6190476190476191,0.085183541999992,0.5938852813852813,0.07809512111124747,0.750909090909091,0.12565201849578905,0.6620259740259741,0.09543110862655792
GradientBoosting,"Pu1_1, seedNumber_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.6571428571428571,0.0761904761904762,0.6676923076923077,0.09041652464563148,0.6618181818181817,0.065404020904018,0.6617391304347826,0.06706852635179708
GradientBoosting,"E_1, Pu1_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4u, pumin1_4d, pumin5_8d",0.6380952380952382,0.05714285714285716,0.6272727272727272,0.03754397482837532,0.7,0.061388883695033224,0.6613965744400527,0.04710766794221141
GradientBoosting,"E_1, Pu1_1, Pu2_1, E_hybrid_1, E_3, seedNumber_3, pumin1_4u, pumin5_8u, pumin1_4d, pumin5_8d",0.6476190476190476,0.023328473740792145,0.6448551448551448,0.03642451348870756,0.6963636363636364,0.117212810627536,0.6613835542121986,0.04607559339652807
GradientBoosting,"E_1, Pu1_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, pumin1_4u, pumin5_8u",0.6285714285714286,0.04665694748158436,0.617016317016317,0.0319725670415133,0.7,0.061388883695033224,0.6550724637681159,0.040492351599613174
GradientBoosting,"E_1, Pu1_1, Pu2_1, E_hybrid_1, E_3, seedNumber_3, pumin1_4u, pumin1_4d",0.638095238095238,0.023328473740792145,0.6286829836829837,0.022427113589457835,0.6981818181818181,0.13078276733348687,0.6548476064997804,0.05700895686911639
GradientBoosting,"E_1, Pu1_1, seedNumber_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin5_8u, pumin1_4d",0.6285714285714286,0.09712418121129111,0.6275524475524475,0.10742460597096924,0.6981818181818181,0.10823909866281615,0.6545487845487845,0.08607809878336284
GradientBoosting,"E_1, Pu1_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4u, pumin5_8u",0.6285714285714286,0.05553287518900288,0.64,0.11398173860182109,0.7,0.10188309618997748,0.6543451910408431,0.037617479751924275
GradientBoosting,"E_1, Pu1_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4u, pumin1_4d, pumin5_8d",0.6476190476190476,0.05714285714285716,0.6551981351981352,0.06925119584381237,0.6581818181818181,0.05795409982003357,0.6538603425559948,0.04616961741624269
SVM,"E_1, Pu2_1, seedEbest_1, E_3, seedNumber_3, pumin1_4u, pumin1_4d, pumin5_8d",0.6190476190476191,0.06023386019368341,0.6024175824175824,0.034836378111779476,0.7181818181818181,0.1038116539899651,0.6533333333333333,0.059066817155564486
GradientBoosting,"Pu1_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d",0.638095238095238,0.11106575037800571,0.6504870129870131,0.13000808870125152,0.6963636363636364,0.1794021292151856,0.6530737899024344,0.10563471012325282
GradientBoosting,"E_1, Pu1_1, seedNumber_1, E_3, pumin1_4u, pumin5_8u, pumin1_4d, pumin5_8d",0.6190476190476191,0.06734350297014738,0.6248917748917748,0.08483523175936929,0.7018181818181818,0.09865207248182212,0.65011998527788,0.03948294022278559
