Model,Feature Set,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
SVM,"Pu1_1, Pu2_1, E_hybrid_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin5_8u, pumin1_4d",0.650952380952381,0.07397983423214648,0.6332789432789433,0.08018698312726633,0.6836363636363638,0.12052227941219311,0.6552010460934946,0.09327935040993533
SVM,"Pu2_1, E_hybrid_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin5_8u, pumin1_4d",0.6414285714285715,0.061011875725893214,0.6287334887334888,0.07383424933935266,0.6654545454545454,0.1046679124699946,0.6441338524176053,0.07981778028376008
SVM,"Pu1_1, Pu2_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin5_8u, pumin1_4d",0.6319047619047619,0.07486344333112316,0.6187878787878788,0.08365283105341198,0.6672727272727272,0.09868557632808664,0.6402597402597402,0.083902313486753
SVM,"Pu2_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin5_8u, pumin1_4d",0.6314285714285715,0.08864564223142225,0.6166666666666668,0.09408590725006076,0.6654545454545454,0.1046679124699946,0.6393939393939394,0.09673750804130508
LogisticRegression,"E_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d",0.6323809523809525,0.10477921934838148,0.6371212121212121,0.13624574028100817,0.6472727272727272,0.07765147819659135,0.6386724386724386,0.09648318137042988
LogisticRegression,"E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d",0.6323809523809525,0.09573205236669763,0.6356060606060606,0.12740793683733365,0.6472727272727272,0.07765147819659135,0.6379007465963987,0.08973848468694318
LogisticRegression,"Pu1_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d",0.6323809523809525,0.09573205236669763,0.6356060606060606,0.12740793683733365,0.6472727272727272,0.07765147819659135,0.6379007465963987,0.08973848468694318
SVM,"Pu1_1, E_hybrid_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d",0.621904761904762,0.07386940735110596,0.6018381618381617,0.08036833830139542,0.6836363636363638,0.12052227941219311,0.6376190476190476,0.0902051076782638
LogisticRegression,"E_1, E_hybrid_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.6328571428571429,0.12095987978254114,0.6272727272727272,0.14547383429904762,0.6472727272727272,0.13427491227372185,0.6344497607655502,0.1331691639819936
SVM,"Pu1_1, E_hybrid_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin5_8u, pumin1_4d",0.621904761904762,0.06675844023345384,0.6008547008547008,0.06495726495726493,0.6818181818181819,0.14971046436537383,0.6336464450880926,0.09113701191365997
LogisticRegression,"E_1, E_hybrid_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d",0.6223809523809523,0.10966450590266336,0.628146853146853,0.14089173746585007,0.6472727272727272,0.07765147819659135,0.633138841834494,0.09724730857730597
LogisticRegression,"E_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d",0.6223809523809523,0.11764507134509031,0.6269347319347319,0.14239807060797857,0.649090909090909,0.11038624899389485,0.6322730409686932,0.10845854378101452
SVM,"Pu1_1, Pu2_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d",0.6314285714285715,0.04622728037909179,0.6241880341880343,0.05293186614001533,0.649090909090909,0.11038624899389485,0.6316663199500727,0.06463317446770261
