Model,Feature Set,Kernel,C,Gamma,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
"SVM (kernel=rbf, C=1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",rbf,1.0,auto,0.7606666666666666,0.09457272334029514,0.72993672993673,0.09220610253731686,0.7681818181818183,0.1468681311036683,0.7444704570791527,0.10982760450250044
"SVM (kernel=rbf, C=1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",rbf,1.0,scale,0.7606666666666666,0.09457272334029514,0.72993672993673,0.09220610253731686,0.7681818181818183,0.1468681311036683,0.7444704570791527,0.10982760450250044
"SVM (kernel=linear, C=0.1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",linear,0.1,auto,0.7113333333333334,0.0946478854609136,0.676023976023976,0.10643632504333872,0.7333333333333333,0.11769519082386942,0.7015100841187797,0.10419238102238577
"SVM (kernel=linear, C=0.1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",linear,0.1,scale,0.7113333333333334,0.0946478854609136,0.676023976023976,0.10643632504333872,0.7333333333333333,0.11769519082386942,0.7015100841187797,0.10419238102238577
"SVM (kernel=linear, C=1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",linear,1.0,auto,0.7036666666666667,0.0745385806143369,0.6687512487512488,0.0741995212687926,0.7166666666666667,0.12003213527477793,0.6893135849657588,0.0889513209266107
"SVM (kernel=linear, C=1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",linear,1.0,scale,0.7036666666666667,0.0745385806143369,0.6687512487512488,0.0741995212687926,0.7166666666666667,0.12003213527477793,0.6893135849657588,0.0889513209266107
"SVM (kernel=linear, C=10, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",linear,10.0,scale,0.6953333333333334,0.08031465896363156,0.6623409923409924,0.07971274749225163,0.6984848484848485,0.1238723238543618,0.6777193820672082,0.09473745610672207
"SVM (kernel=linear, C=10, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",linear,10.0,auto,0.6953333333333334,0.08031465896363156,0.6623409923409924,0.07971274749225163,0.6984848484848485,0.1238723238543618,0.6777193820672082,0.09473745610672207
"SVM (kernel=rbf, C=10, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",rbf,10.0,auto,0.6886666666666666,0.0846850373770689,0.6648018648018648,0.07936917462016008,0.6696969696969697,0.14482185630725478,0.662507058159232,0.10226837126575783
"SVM (kernel=rbf, C=10, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",rbf,10.0,scale,0.6723333333333332,0.07706851208863158,0.6526223776223776,0.07574914781881083,0.6348484848484849,0.14054204394309372,0.6380764163372858,0.10263124061672688
"SVM (kernel=poly, C=10, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",poly,10.0,auto,0.6876666666666666,0.04708856903042748,0.7005844155844155,0.06421956454933123,0.5909090909090909,0.16542235229037797,0.6255124737962265,0.10127747722291115
"SVM (kernel=poly, C=10, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",poly,10.0,scale,0.671,0.0577408001330082,0.6666450216450216,0.04923661542257219,0.5727272727272728,0.1644201208030368,0.6066431078680372,0.11005528744570744
"SVM (kernel=poly, C=1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",poly,1.0,scale,0.646,0.11255418448216149,0.7190476190476189,0.16307698889907807,0.38030303030303025,0.19500182476601413,0.48156353450471096,0.1866019025355977
"SVM (kernel=poly, C=1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",poly,1.0,auto,0.638,0.09909815560566426,0.7168253968253968,0.1606537412903197,0.36363636363636365,0.16374855861947024,0.47030812324929966,0.16658166982674108
"SVM (kernel=poly, C=0.1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",poly,0.1,scale,0.566,0.05190375708944391,0.45999999999999996,0.4079215610874228,0.10757575757575757,0.13384886560822895,0.16153846153846155,0.1826821859544295
"SVM (kernel=rbf, C=0.1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",rbf,0.1,scale,0.5746666666666667,0.054020572213021034,0.6,0.48989794855663565,0.09090909090909091,0.09958591954639383,0.15238095238095237,0.15692625765032459
"SVM (kernel=rbf, C=0.1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",rbf,0.1,auto,0.5746666666666667,0.054020572213021034,0.6,0.48989794855663565,0.09090909090909091,0.09958591954639383,0.15238095238095237,0.15692625765032459
"SVM (kernel=poly, C=0.1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d",poly,0.1,auto,0.5409999999999999,0.012675435561221039,0.4,0.37416573867739417,0.053030303030303025,0.04338733655538289,0.09230769230769231,0.07536891516255934
