Model,Feature Set,Kernel,C,Gamma,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
"SVM (kernel=rbf, C=1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",rbf,1.0,auto,0.7116666666666667,0.10378396365099528,0.6765234765234764,0.10938289993315059,0.7348484848484849,0.12694763676153584,0.7022213438735178,0.11169469930961048
"SVM (kernel=rbf, C=1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",rbf,1.0,scale,0.7116666666666667,0.10378396365099528,0.6765234765234764,0.10938289993315059,0.7348484848484849,0.12694763676153584,0.7022213438735178,0.11169469930961048
"SVM (kernel=rbf, C=10, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",rbf,10.0,auto,0.6883333333333332,0.07557189365836425,0.6618706293706293,0.08912093581229209,0.7045454545454546,0.12196734422726127,0.6762187088274044,0.08431066712677161
"SVM (kernel=rbf, C=10, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",rbf,10.0,scale,0.6799999999999999,0.07968688725254616,0.6512645687645688,0.09451747306079164,0.7030303030303031,0.11651899351351748,0.670807453416149,0.08522441807864944
"SVM (kernel=linear, C=0.1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",linear,0.1,auto,0.6946666666666668,0.11019881023757823,0.6683216783216783,0.1120068425985191,0.6606060606060605,0.15055758014896564,0.6636623376623375,0.13057058894684306
"SVM (kernel=linear, C=0.1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",linear,0.1,scale,0.6946666666666668,0.11019881023757823,0.6683216783216783,0.1120068425985191,0.6606060606060605,0.15055758014896564,0.6636623376623375,0.13057058894684306
"SVM (kernel=linear, C=1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",linear,1.0,auto,0.6616666666666667,0.1246951839041464,0.6328671328671328,0.1321659821530344,0.6621212121212121,0.13616146629491496,0.6453122529644268,0.13025647796088344
"SVM (kernel=linear, C=1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",linear,1.0,scale,0.6616666666666667,0.1246951839041464,0.6328671328671328,0.1321659821530344,0.6621212121212121,0.13616146629491496,0.6453122529644268,0.13025647796088344
"SVM (kernel=linear, C=10, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",linear,10.0,auto,0.6533333333333333,0.13609228894801906,0.626993006993007,0.14305142333041138,0.6439393939393939,0.1442182307186763,0.6337639751552795,0.14056343658190468
"SVM (kernel=linear, C=10, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",linear,10.0,scale,0.6533333333333333,0.13609228894801906,0.626993006993007,0.14305142333041138,0.6439393939393939,0.1442182307186763,0.6337639751552795,0.14056343658190468
"SVM (kernel=poly, C=10, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",poly,10.0,auto,0.6543333333333333,0.08168775237995528,0.6019444444444444,0.06936439831128371,0.6772727272727274,0.2233808181088741,0.6279630700683333,0.1420781167586189
"SVM (kernel=poly, C=10, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",poly,10.0,scale,0.6459999999999999,0.09018869108707589,0.5908333333333333,0.07959969290839701,0.6772727272727274,0.2233808181088741,0.6232011653064286,0.14661374463171672
"SVM (kernel=poly, C=1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",poly,1.0,auto,0.679,0.09854835248636974,0.8,0.19436506316151,0.4545454545454546,0.11657808522225056,0.5670028011204482,0.12391169086510483
"SVM (kernel=poly, C=1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",poly,1.0,scale,0.671,0.09975859751308545,0.78,0.17713773674115232,0.4545454545454546,0.16576893208009516,0.5506391647568118,0.14672113470139747
"SVM (kernel=poly, C=0.1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",poly,0.1,scale,0.5493333333333333,0.02120272519171902,0.4333333333333333,0.38873012632302,0.07121212121212121,0.06769184213238993,0.11868131868131868,0.10820688901179051
"SVM (kernel=rbf, C=0.1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",rbf,0.1,auto,0.5496666666666667,0.02860458393723326,0.5,0.4472135954999579,0.05454545454545454,0.04453617714151233,0.09743589743589742,0.0796936936816413
"SVM (kernel=poly, C=0.1, gamma=auto)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",poly,0.1,auto,0.5409999999999999,0.012675435561221039,0.4,0.37416573867739417,0.053030303030303025,0.04338733655538289,0.09230769230769231,0.07536891516255934
"SVM (kernel=rbf, C=0.1, gamma=scale)","Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, seedNumber_3, pumin1_4d, pumin5_8d, E_diff_12",rbf,0.1,scale,0.5413333333333333,0.02312766501160221,0.3,0.39999999999999997,0.03636363636363636,0.04453617714151233,0.0641025641025641,0.07861389598336355
