Model,Feature Set,Kernel,C,Gamma,Degree,Coef0,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
"SVM (kernel=sigmoid, C=100, gamma=0.001, degree=3, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",sigmoid,100.0,0.001,3,0.1,0.780952380952381,0.07737179432986631,0.7722727272727272,0.09377747531274798,0.8290909090909091,0.07051170701696476,0.7947282347282346,0.0602926579939878
"SVM (kernel=sigmoid, C=10, gamma=0.01, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",sigmoid,10.0,0.01,3,0.0,0.780952380952381,0.07737179432986631,0.7722727272727272,0.09377747531274798,0.8290909090909091,0.07051170701696476,0.7947282347282346,0.0602926579939878
"SVM (kernel=sigmoid, C=100, gamma=0.001, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",sigmoid,100.0,0.001,3,0.0,0.780952380952381,0.07737179432986631,0.7722727272727272,0.09377747531274798,0.8290909090909091,0.07051170701696476,0.7947282347282346,0.0602926579939878
"SVM (kernel=rbf, C=100, gamma=0.001, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",rbf,100.0,0.001,3,0.0,0.780952380952381,0.07737179432986631,0.7722727272727272,0.09377747531274798,0.8290909090909091,0.07051170701696476,0.7947282347282346,0.0602926579939878
"SVM (kernel=linear, C=0.1, gamma=scale, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",linear,0.1,scale,3,0.0,0.780952380952381,0.07737179432986631,0.7722727272727272,0.09377747531274798,0.8290909090909091,0.07051170701696476,0.7947282347282346,0.0602926579939878
"SVM (kernel=poly, C=1, gamma=0.01, degree=5, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,0.01,5,1.0,0.780952380952381,0.07737179432986631,0.7722727272727272,0.09377747531274798,0.8290909090909091,0.07051170701696476,0.7947282347282346,0.0602926579939878
"SVM (kernel=poly, C=10, gamma=0.01, degree=2, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,10.0,0.01,2,1.0,0.780952380952381,0.07737179432986631,0.7722727272727272,0.09377747531274798,0.8290909090909091,0.07051170701696476,0.7947282347282346,0.0602926579939878
"SVM (kernel=poly, C=100, gamma=0.001, degree=2, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,100.0,0.001,2,1.0,0.780952380952381,0.07737179432986631,0.7722727272727272,0.09377747531274798,0.8290909090909091,0.07051170701696476,0.7947282347282346,0.0602926579939878
"SVM (kernel=poly, C=100, gamma=0.001, degree=4, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,100.0,0.001,4,1.0,0.780952380952381,0.07737179432986631,0.7722727272727272,0.09377747531274798,0.8290909090909091,0.07051170701696476,0.7947282347282346,0.0602926579939878
"SVM (kernel=poly, C=100, gamma=0.001, degree=3, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,100.0,0.001,3,1.0,0.780952380952381,0.07737179432986631,0.7722727272727272,0.09377747531274798,0.8290909090909091,0.07051170701696476,0.7947282347282346,0.0602926579939878
