Model,Feature Set,E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
LogisticRegression,All Features,0.07981250545688716,0.028850831905668443,0.013499850404092512,0.09837196715884075,0.21239392141132524,0.019133286280886272,0.10500247714693389,0.02534094421402988,0.0598088523804033,0.030023590761707686,0.0771042255253811,0.09464069459897231,0.06492166161959227
RandomForest,All Features,[0.05630303 0.05630303],[0.01434881 0.01434881],[0.04512319 0.04512319],[0.01269775 0.01269775],[0.06466756 0.06466756],[0.03160901 0.03160901],[0.05584092 0.05584092],[0.01648826 0.01648826],[0.02270195 0.02270195],[0.01754405 0.01754405],[0.02637717 0.02637717],[0.03127571 0.03127571],[0.04498124 0.04498124]
GradientBoosting,All Features,0.8600394310860391,0.17103880964622842,0.578425061510732,0.20450138731308004,0.74214035015194,0.6664895831897788,0.8700087543536219,0.029867263183735514,0.4744518999633468,0.227010449484446,0.3350379092509,0.5748621319558571,0.6619902907227435
SVM,All Features,0.08876159825083238,0.025259394402968243,0.0067588467267027915,0.025679561190817896,0.1404643166936088,0.06525047459161636,0.1142525787750964,0.036136676849722535,0.018873057535750543,0.02155580108505984,0.045690948756822766,0.06795813790128258,0.05723542379096641
LogisticRegression,Without E_1,0.025178166301328225,0.016003367265481953,0.065045603524552,0.25197473716261837,0.023859643838558472,0.1161925358949655,0.02557799625608074,0.058982843617867695,0.03989121414214367,0.0668940905726411,0.09511892127531249,0.06538199634133349,
RandomForest,Without E_1,[0.01461292 0.01461292],[0.04309159 0.04309159],[0.01440288 0.01440288],[0.08427205 0.08427205],[0.03671212 0.03671212],[0.06007575 0.06007575],[0.01932921 0.01932921],[0.02681172 0.02681172],[0.02353822 0.02353822],[0.02984837 0.02984837],[0.03836287 0.03836287],[0.04362726 0.04362726],
GradientBoosting,Without E_1,0.1864076874313308,0.5666192451237089,0.23639487017757493,0.904635538435546,0.6973445597963239,0.9285491272415793,0.028797644645227282,0.5218749682142106,0.26662477868630197,0.20436984855687293,0.4429877889374564,0.6933232428944491,
SVM,Without E_1,0.02933504467677147,0.00772720205430758,0.022301712209956776,0.16133398880548772,0.07545831940555969,0.12698609060052654,0.031227413133015986,0.019555716574221026,0.03713417280092625,0.0549963465767893,0.0676409757400732,0.06794161829920642,
LogisticRegression,Without Pu1_1,0.07225308782111632,0.01534546214887112,0.08868718827397516,0.20936467998999891,0.016118045275026083,0.11219948660857315,0.026644233652119688,0.0652607605530963,0.0344447951664444,0.08620718443268235,0.0930815695366943,0.05617054242877893,
RandomForest,Without Pu1_1,[0.05506656 0.05506656],[0.05244749 0.05244749],[0.01552177 0.01552177],[0.06448533 0.06448533],[0.03748434 0.03748434],[0.05769984 0.05769984],[0.01706781 0.01706781],[0.02305157 0.02305157],[0.01828541 0.01828541],[0.02864372 0.02864372],[0.03210979 0.03210979],[0.040391 0.040391],
GradientBoosting,Without Pu1_1,0.9017852495275605,0.5994722396546013,0.24238012401813328,0.7248738725428453,0.7327591269674752,0.8784358094646914,0.013179445002266999,0.530240352731535,0.24907180690503247,0.3510623943291789,0.5463054728125131,0.6952102693494348,
SVM,Without Pu1_1,0.09018760452662127,0.005678984181485025,0.02792575746418476,0.13810565685310958,0.0663874886298204,0.1190238285389209,0.031068220400314477,0.022084704433076252,0.022850009812292415,0.05469251274058503,0.07412661590900073,0.058951342427822705,
LogisticRegression,Without Pu2_1,0.07817560389955813,0.03231682778427174,0.0814849904457332,0.218893248139661,0.0173407071755245,0.10767246359594485,0.023845039095634457,0.05982423746970633,0.023116633219927036,0.07083091347908146,0.0987124727332036,0.06719205627337807,
RandomForest,Without Pu2_1,[0.056921 0.056921],[0.01570157 0.01570157],[0.02016301 0.02016301],[0.07111903 0.07111903],[0.03961039 0.03961039],[0.0653447 0.0653447],[0.01961659 0.01961659],[0.02412186 0.02412186],[0.02104154 0.02104154],[0.02774859 0.02774859],[0.03509159 0.03509159],[0.03964778 0.03964778],
GradientBoosting,Without Pu2_1,0.9301026283343576,0.185202589438953,0.3701344617895986,0.7722992342425382,0.6625372756481782,0.9895658389633086,0.020901011483676613,0.5061025492035117,0.21752208331953052,0.3803496624790884,0.40608072517602983,0.6124508181780591,
SVM,Without Pu2_1,0.09153215796500039,0.026175302735271168,0.026279604406794478,0.14257652607978855,0.06706171309612727,0.11384733822673272,0.03363195721521151,0.018601378918611015,0.02132545213624324,0.04245817408282471,0.06726875249840167,0.05854529288031499,
LogisticRegression,Without E_hybrid_1,0.04584413445745778,0.028378088914114342,0.01681457619204176,0.21493104988231818,0.024432256762485248,0.12047134153530661,0.029451917384717842,0.05947124880026533,0.033308200323516016,0.07237671489439813,0.10948318035526947,0.06298264742020265,
RandomForest,Without E_hybrid_1,[0.05212464 0.05212464],[0.01777367 0.01777367],[0.04721893 0.04721893],[0.06404678 0.06404678],[0.03734851 0.03734851],[0.06032017 0.06032017],[0.01714182 0.01714182],[0.0216278 0.0216278],[0.01665807 0.01665807],[0.02749161 0.02749161],[0.03946531 0.03946531],[0.04326079 0.04326079],
GradientBoosting,Without E_hybrid_1,0.7577662558392968,0.17847071177487672,0.603190711466377,0.779695044724607,0.6704613094338664,0.8624837287802652,0.02443069801867285,0.4845905783644727,0.22291848873766681,0.3290777469714519,0.558151787637061,0.7195433913386465,
SVM,Without E_hybrid_1,0.08872029057872828,0.02712869598366897,0.006713560410304603,0.13575722441708607,0.06158566522481064,0.11878799072887833,0.04295043867744057,0.01843415125072169,0.022486789362076896,0.04501774767884503,0.06547740361419618,0.06646387599349993,
LogisticRegression,Without seedNumber_1,0.15122542970606653,0.031190751813396884,0.01740747176534209,0.09422256664370172,0.07293618692220741,0.1663976153342989,0.028934590833838612,0.03603606528686892,0.05102260740963127,0.08802958797739588,0.11606099644064367,0.08563427284829146,
RandomForest,Without seedNumber_1,[0.06544822 0.06544822],[0.01624828 0.01624828],[0.05347221 0.05347221],[0.01514083 0.01514083],[0.04694431 0.04694431],[0.06604599 0.06604599],[0.01620861 0.01620861],[0.02363892 0.02363892],[0.02149804 0.02149804],[0.02985493 0.02985493],[0.0393992 0.0393992],[0.04229764 0.04229764],
GradientBoosting,Without seedNumber_1,0.9545767976957918,0.19010979320296265,0.5558363677907812,0.19136546699710463,0.861397903496105,0.95602881294575,0.03630798969146636,0.4947877804515602,0.27751157126789,0.3750518190335327,0.6058028455350108,0.6602138378909423,
SVM,Without seedNumber_1,0.11068050479562322,0.02381982491895073,0.007529367669306677,0.02962073487468756,0.09686837496184021,0.15425387789226175,0.04439725754459221,0.022377981193186014,0.036367741383657705,0.06686670893962111,0.09333983605381899,0.06969124985458011,
LogisticRegression,Without seedEbest_1,0.08160164158430114,0.030894886175275388,0.013317439469233337,0.09712675922874406,0.2190113661100268,0.10361954834590481,0.02837704117244829,0.05910359392391105,0.029336107856331173,0.07654849788401563,0.09471244734536118,0.06486849197743183,
RandomForest,Without seedEbest_1,[0.06158472 0.06158472],[0.01963227 0.01963227],[0.04812524 0.04812524],[0.0134138 0.0134138],[0.07274146 0.07274146],[0.0648989 0.0648989],[0.01673868 0.01673868],[0.02544898 0.02544898],[0.02241643 0.02241643],[0.03086159 0.03086159],[0.03051426 0.03051426],[0.04135277 0.04135277],
GradientBoosting,Without seedEbest_1,0.8981542097637508,0.30467244219903045,0.571009257537684,0.24485684318545076,1.0380643470284645,0.7885234105983141,0.02923299532823485,0.4650573778995776,0.18431581973727013,0.4271149204079885,0.43435313678663956,0.6667373016860327,
