Model,Feature Set,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
LogisticRegression,All Features,0.716190476190476,0.0547805351331881,0.721965811965812,0.0698681224367493,0.725454545454545,0.0741675565613496,0.718962623951182,0.0462781881216795
RandomForest,All Features,0.727142857142857,0.106283324772593,0.741904761904762,0.145324720458762,0.743636363636364,0.175753395979557,0.725777777777778,0.128962431126182
GradientBoosting,All Features,0.688571428571429,0.134572473288163,0.690793650793651,0.17847200053808,0.703636363636364,0.157417169613915,0.691442849548113,0.151174286324309
SVM,All Features,0.755714285714286,0.0581771475655709,0.760683760683761,0.0781478936797433,0.765454545454545,0.0765797806860098,0.758810068649886,0.0499170643640677
LogisticRegression,Without E_1,0.696666666666667,0.0619706608952284,0.693076923076923,0.0767073899219564,0.745454545454546,0.100412372883521,0.710666666666667,0.0490985403720586
RandomForest,Without E_1,0.668571428571429,0.081390968761395,0.686507936507937,0.11246342592964,0.647272727272727,0.161337385828938,0.654401669134473,0.10436680087571
GradientBoosting,Without E_1,0.63952380952381,0.165599303294732,0.651298701298701,0.204581984415282,0.663636363636364,0.153202723148661,0.651556770714665,0.164236226495709
SVM,Without E_1,0.755238095238095,0.0676022782693815,0.772698412698413,0.13126667430586,0.783636363636364,0.0761468785140798,0.766074303405573,0.0392117034531719
LogisticRegression,Without Pu1_1,0.706190476190476,0.0415297068769812,0.707521367521368,0.0633826238173554,0.725454545454545,0.0387405013684773,0.712997711670481,0.0195334896035671
RandomForest,Without Pu1_1,0.717619047619048,0.121699976802551,0.726648351648352,0.144913350805361,0.725454545454545,0.159689781909429,0.717251461988304,0.130605888675426
GradientBoosting,Without Pu1_1,0.67952380952381,0.148748368386029,0.688333333333333,0.207872824368918,0.683636363636364,0.196279443230081,0.675288632935692,0.177456290367498
SVM,Without Pu1_1,0.735238095238095,0.0661784846965741,0.743888888888889,0.0981369665188958,0.765454545454545,0.0765797806860098,0.746054411390796,0.0380015341405846
LogisticRegression,Without Pu2_1,0.697142857142857,0.0796164273891016,0.708632478632479,0.0840672916097073,0.689090909090909,0.103236869575116,0.694117903454288,0.0759538970284576
RandomForest,Without Pu2_1,0.697142857142857,0.0593693233352713,0.704505494505495,0.0678640606875485,0.705454545454545,0.141841489926124,0.694313725490196,0.0735552895639557
GradientBoosting,Without Pu2_1,0.677619047619048,0.092344126189614,0.65972915972916,0.0874741302856981,0.723636363636364,0.149113080391365,0.686137953579601,0.108627478031352
SVM,Without Pu2_1,0.765238095238095,0.0621715861342541,0.780128205128205,0.0910176153116901,0.765454545454545,0.0765797806860098,0.76699720315281,0.0489910263027572
LogisticRegression,Without E_hybrid_1,0.707142857142857,0.0692525693916618,0.714444444444444,0.0702376916856849,0.709090909090909,0.15714393044605,0.702355889724311,0.077882801329288
RandomForest,Without E_hybrid_1,0.678095238095238,0.105531803032295,0.727380952380952,0.171296245224809,0.647272727272727,0.100148649846694,0.672065927820404,0.0913283617265816
GradientBoosting,Without E_hybrid_1,0.639047619047619,0.123457374652181,0.627142857142857,0.158896064091196,0.663636363636364,0.208497180748722,0.636222222222222,0.163129275403979
SVM,Without E_hybrid_1,0.745714285714286,0.0624409017644038,0.750793650793651,0.0886049888060499,0.765454545454545,0.0765797806860098,0.752288329519451,0.0484915329302483
LogisticRegression,Without seedNumber_1,0.716190476190476,0.031637114746425,0.715811965811966,0.0413007159943575,0.723636363636364,0.119309307029258,0.713539282990084,0.0557808711880186
RandomForest,Without seedNumber_1,0.63952380952381,0.144526751362543,0.640769230769231,0.179979453133673,0.645454545454546,0.176560340164512,0.637294685990338,0.167500232942107
GradientBoosting,Without seedNumber_1,0.658571428571429,0.104995410762467,0.645299145299145,0.117148281144035,0.685454545454546,0.148112086213937,0.662471395881007,0.127127857605479
SVM,Without seedNumber_1,0.735714285714286,0.0722021601299964,0.742124542124542,0.0899154451633671,0.741818181818182,0.137822499332707,0.732566967290349,0.088043696898295
LogisticRegression,Without seedEbest_1,0.687619047619048,0.0953737129649284,0.697723387723388,0.0995665895097647,0.689090909090909,0.103236869575116,0.688923098259483,0.0845673272402894
RandomForest,Without seedEbest_1,0.688571428571429,0.106717674878716,0.696263736263736,0.122914752853453,0.707272727272727,0.136956287892847,0.693333333333333,0.10276426337575
GradientBoosting,Without seedEbest_1,0.668571428571429,0.0873183245139207,0.672857142857143,0.087877465709884,0.649090909090909,0.179402129215186,0.651736694677871,0.119268393079131
SVM,Without seedEbest_1,0.715714285714286,0.0473468410351638,0.72,0.0738366565592718,0.745454545454545,0.0779913112346445,0.725235697940504,0.0161661590962454
LogisticRegression,Without E_3,0.687142857142857,0.0766000894003729,0.69044733044733,0.0863532574614363,0.707272727272727,0.0822011240396896,0.694290271132376,0.0648636632217094
RandomForest,Without E_3,0.678095238095238,0.138336406817754,0.690695970695971,0.157714084255762,0.665454545454546,0.207256777695752,0.662456140350877,0.173808567920424
GradientBoosting,Without E_3,0.61952380952381,0.157966097571154,0.615952380952381,0.186578574937881,0.661818181818182,0.208052758725337,0.629050832208727,0.174049367495137
SVM,Without E_3,0.755238095238095,0.0506958383618506,0.777350427350427,0.0878114142561489,0.745454545454545,0.0779913112346445,0.754131706076786,0.0336095174837082
LogisticRegression,Without seedNumber_3,0.716190476190476,0.0547805351331881,0.721965811965812,0.0698681224367493,0.725454545454545,0.0741675565613496,0.718962623951182,0.0462781881216795
RandomForest,Without seedNumber_3,0.718571428571429,0.132945012758033,0.716538461538462,0.152627868596103,0.685454545454545,0.256782378839835,0.682553485162181,0.211705190812983
GradientBoosting,Without seedNumber_3,0.689047619047619,0.140388188738992,0.687350427350427,0.181420922239888,0.723636363636364,0.173881312232803,0.69697158168554,0.155131014502104
SVM,Without seedNumber_3,0.765238095238095,0.0621715861342541,0.765128205128205,0.0796118863667541,0.785454545454546,0.0696152353420969,0.771441647597254,0.0507440669820244
LogisticRegression,Without E_diff_12,0.706666666666667,0.0656279626261402,0.727828282828283,0.0993497889953012,0.707272727272727,0.103716077796012,0.707530037214248,0.0503664849319502
RandomForest,Without E_diff_12,0.717619047619048,0.108677892663326,0.731965811965812,0.130015255599418,0.725454545454546,0.171758046234466,0.714175438596491,0.127196074977529
GradientBoosting,Without E_diff_12,0.747619047619048,0.115155420953843,0.745714285714286,0.148020958251299,0.763636363636364,0.196834452403263,0.742562091503268,0.146580278170879
SVM,Without E_diff_12,0.745714285714286,0.0435759820675556,0.757905982905983,0.0736593970370422,0.745454545454545,0.0779913112346445,0.745944571573862,0.0317888221235068
LogisticRegression,Without pumin1_4u,0.687619047619048,0.079843952115,0.698156288156288,0.0860317876213319,0.687272727272727,0.112463033412306,0.685885045093552,0.0790036935399412
RandomForest,Without pumin1_4u,0.707142857142857,0.0773424812792481,0.712759462759463,0.0988950690816261,0.725454545454545,0.116193056790331,0.71140350877193,0.0760885910252682
GradientBoosting,Without pumin1_4u,0.708095238095238,0.135990529215388,0.700683760683761,0.17690482584751,0.741818181818182,0.187069616245702,0.712356197070156,0.157698677654674
SVM,Without pumin1_4u,0.745714285714286,0.0624409017644038,0.750793650793651,0.0886049888060499,0.765454545454545,0.0765797806860098,0.752288329519451,0.0484915329302483
LogisticRegression,Without pumin5_8u,0.686666666666667,0.083034839558458,0.698412698412699,0.0851362046570755,0.689090909090909,0.150525251169594,0.683301194161875,0.0887525231911651
RandomForest,Without pumin5_8u,0.736666666666667,0.0748331477354789,0.742539682539683,0.0907869905427064,0.745454545454546,0.134471724269823,0.735198546237717,0.0883283313592895
GradientBoosting,Without pumin5_8u,0.678571428571429,0.123617066533396,0.660594960594961,0.150171613276159,0.703636363636364,0.201940994573307,0.674520675089258,0.168314500834257
SVM,Without pumin5_8u,0.794761904761905,0.0772016237066802,0.785669330669331,0.101212893232223,0.843636363636364,0.0784983023451742,0.806984126984127,0.0608526797015394
LogisticRegression,Without pumin1_4d,0.726666666666667,0.0981853492726455,0.744505494505495,0.122024543153201,0.745454545454545,0.134471724269823,0.731843137254902,0.0867028227304904
RandomForest,Without pumin1_4d,0.707142857142857,0.0999092558796774,0.721688034188034,0.135003172285464,0.745454545454545,0.100412372883521,0.722087269455691,0.0770139913588954
GradientBoosting,Without pumin1_4d,0.688095238095238,0.0947367758019155,0.730244755244755,0.175644583206431,0.685454545454545,0.0770531640015167,0.692305037957212,0.0719915932030138
SVM,Without pumin1_4d,0.775238095238095,0.0629328548350309,0.779444444444444,0.0969217579313016,0.805454545454545,0.105014756932317,0.783107042969743,0.0484319918422371
LogisticRegression,Without pumin5_8d,0.707142857142857,0.0773424812792481,0.713333333333333,0.106275323779532,0.725454545454545,0.132290689189682,0.709797101449275,0.0858516952128018
RandomForest,Without pumin5_8d,0.716666666666667,0.0683130051063974,0.706190476190476,0.0687365736219663,0.765454545454545,0.147866368082527,0.724413857242502,0.0823371278271538
GradientBoosting,Without pumin5_8d,0.62952380952381,0.10990203842462,0.594067599067599,0.113786204479356,0.707272727272727,0.225293197397055,0.639915678524374,0.160256919373622
SVM,Without pumin5_8d,0.726190476190476,0.0712537543268348,0.736666666666667,0.0986075899214835,0.745454545454546,0.100412372883521,0.732253241800153,0.0597995036887333
