Feature,Group,Correlation,Absolute_Correlation,Normalized_Weight,Weight_Percentage
pumin1_4d,EXTRA,0.24414541824859148,0.24414541824859148,0.15600412893527504,15.6
pumin5_8d,EXTRA,0.19767541461945057,0.19767541461945057,0.12631070896537142,12.63
E_diff_12,EXTRA,-0.10981704589890479,0.10981704589890479,0.0701709362829814,7.02
pumin1_4u,EXTRA,-0.07269938212328188,0.07269938212328188,0.04645347786427577,4.65
pumin5_8u,EXTRA,-0.03761758986942453,0.03761758986942453,0.024036901377557828,2.4
seedNumber_1,GROUP_1,0.2812102971473875,0.2812102971473875,0.17968785885401778,17.97
E_1,GROUP_1,-0.15963444349869002,0.15963444349869002,0.1020032752804862,10.2
seedEbest_1,GROUP_1,-0.12895688906762265,0.12895688906762265,0.08240092029379473,8.24
Pu2_1,GROUP_1,0.027493280839916603,0.027493280839916603,0.017567666679031854,1.76
E_hybrid_1,GROUP_1,0.0251324758250097,0.0251324758250097,0.01605915862437085,1.61
Pu1_1,GROUP_1,0.016364764345554818,0.016364764345554818,0.010456763126145841,1.05
seedNumber_3,GROUP_3,0.1438890391065893,0.1438890391065893,0.09194227100465642,9.19
E_3,GROUP_3,-0.12035727025896815,0.12035727025896815,0.07690593271203497,7.69
