Feature,Group,Correlation,Absolute_Correlation,Normalized_Weight,Weight_Percentage
pumin1_4d,EXTRA,0.24637488000194027,0.24637488000194027,0.15328905444996155,15.33
pumin5_8d,EXTRA,0.1962841941569972,0.1962841941569972,0.12212372675965104,12.21
E_diff_12,EXTRA,-0.086839640841094,0.086839640841094,0.054029722645428505,5.4
pumin1_4u,EXTRA,-0.07219111207850316,0.07219111207850316,0.04491572886861599,4.49
pumin5_8u,EXTRA,-0.04327894765824849,0.04327894765824849,0.026927213375284212,2.69
seedNumber_1,GROUP_1,0.290218953646689,0.290218953646689,0.18056787683715086,18.06
E_1,GROUP_1,-0.1775077114655577,0.1775077114655577,0.11044141045514726,11.04
seedEbest_1,GROUP_1,-0.14662891694969424,0.14662891694969424,0.09122930078774086,9.12
Pu2_1,GROUP_1,0.029066689759298315,0.029066689759298315,0.018084657775005838,1.81
Etotal_1,GROUP_1,-0.02755809963975654,0.02755809963975654,0.017146046042448963,1.71
E_hybrid_1,GROUP_1,-0.023833205936789864,0.023833205936789864,0.01482849875982875,1.48
Pu1_1,GROUP_1,0.02026606660898149,0.02026606660898149,0.012609102794433613,1.26
seedNumber_3,GROUP_3,0.13031371528748684,0.13031371528748684,0.0810783396347998,8.11
ED2_3,GROUP_3,-0.11689469774989683,0.11689469774989683,0.07272932081450276,7.27
