Feature,Group,Correlation,Weight_Percentage,Abs_Correlation_Rank,Statistical_Significance
pumin1_4d,EXTRA,0.21379205530050222,7.87,1.0,0.00023300479773828467
pumin5_8d,EXTRA,0.19886446268141905,7.32,2.0,0.0006312463622745773
pu5_8d,EXTRA,0.19446180073553865,7.15,3.0,0.0008357998781128115
pu1_4d,EXTRA,0.14050634498961817,5.17,6.0,0.01627873615171179
pu1_4u,EXTRA,-0.12357974976614192,4.55,7.0,0.034791974024598535
pu5_8u,EXTRA,-0.0783742038205719,2.88,15.0,0.18168994609485256
pumin1_4u,EXTRA,-0.060107712865913356,2.21,19.0,0.3060047461419805
pumin5_8u,EXTRA,-0.04779775477847596,1.76,22.0,0.4157994988591331
solIdx,EXTRA,-0.0009566440181478929,0.04,39.0,0.9870133854019417
seedNumber_1,GROUP_1,0.15152312171696877,5.57,4.0,0.009511192621039376
seedEbest_1,GROUP_1,-0.08262017553526628,3.04,12.0,0.1590816032524608
E_1,GROUP_1,-0.07608426884954499,2.8,17.0,0.1948267420850043
Pu2_1,GROUP_1,0.02587989408401759,0.95,27.0,0.6596382070902472
ED2_1,GROUP_1,-0.01790203237975572,0.66,31.0,0.7606537996347826
ED1_1,GROUP_1,-0.01790165749702253,0.66,32.0,0.7606586593949093
Pu1_1,GROUP_1,0.017883577585421504,0.66,33.0,0.7608930479271829
Etotal_1,GROUP_1,-0.016799902737270708,0.62,34.0,0.7749809943795614
E_hybrid_1,GROUP_1,-0.009446640271981431,0.35,36.0,0.8723017652348428
P_E_1,GROUP_1,-0.0022790949336431113,0.08,38.0,0.9690672298019332
seedNumber_2,GROUP_2,0.14133473683776243,5.2,5.0,0.01565270535138845
ED1_2,GROUP_2,0.0794748660136558,2.92,13.0,0.17561351562659167
ED2_2,GROUP_2,0.07947402272563199,2.92,14.0,0.17561811272267716
Pu1_2,GROUP_2,-0.07714875043075763,2.84,16.0,0.1886363356477999
E_2,GROUP_2,-0.0685903261749325,2.52,18.0,0.2426369095062562
Etotal_2,GROUP_2,0.05137392523256987,1.89,21.0,0.38174243801253704
P_E_2,GROUP_2,-0.047232020555862106,1.74,23.0,0.42134609019243896
seedEbest_2,GROUP_2,-0.04299721487666127,1.58,25.0,0.46421507549090935
Pu2_2,GROUP_2,0.019711441674693794,0.73,29.0,0.7373104693944423
E_hybrid_2,GROUP_2,0.006859702923984494,0.25,37.0,0.9070841244666629
ED2_3,GROUP_3,-0.11988942365597109,4.41,8.0,0.040631203330306356
ED1_3,GROUP_3,-0.11988931303375829,4.41,9.0,0.04063139005038487
seedNumber_3,GROUP_3,0.0942753639436694,3.47,10.0,0.10791171065104416
E_3,GROUP_3,-0.09390163617269118,3.45,11.0,0.10932173210640965
P_E_3,GROUP_3,-0.05567070200964285,2.05,20.0,0.3431516847418248
seedEbest_3,GROUP_3,-0.046833973710008574,1.72,24.0,0.42527438372390136
Etotal_3,GROUP_3,-0.040510723590206556,1.49,26.0,0.49047002740457774
Pu2_3,GROUP_3,0.022018530093879416,0.81,28.0,0.7078952061360001
E_hybrid_3,GROUP_3,-0.019634235421566164,0.72,30.0,0.7383017777882195
Pu1_3,GROUP_3,0.014382983296692369,0.53,35.0,0.806661638972714
