Model,Feature Set,E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
LogisticRegression,All Features,0.0780081528166623,0.02556370426738957,0.009432323469884738,0.09788151591182528,0.21102410155379295,0.016464429671666607,0.10369846071789939,0.022496381649986838,0.058282195262285195,0.027537023536407718,0.07601159664574744,0.09384260022137833,0.06398134872743189
RandomForest,All Features,[0.05139437 0.05139437],[0.01443515 0.01443515],[0.0479792 0.0479792],[0.01347358 0.01347358],[0.06467127 0.06467127],[0.03245693 0.03245693],[0.05580916 0.05580916],[0.01706477 0.01706477],[0.02250292 0.02250292],[0.01697345 0.01697345],[0.02885091 0.02885091],[0.03358941 0.03358941],[0.04157771 0.04157771]
GradientBoosting,All Features,0.858035480478,0.16923362584470225,0.5632365885497906,0.1955868277557858,0.7341111055600176,0.6557066106912369,0.8803116240776712,0.03076141798156659,0.5154754456784453,0.227778151221864,0.33124763603383595,0.5352484711129697,0.6680093902564576
SVM,All Features,0.08735088167816615,0.022771201230095732,0.00436628673802676,0.02385992179613832,0.13909721872021877,0.06343692792896385,0.11359778104805959,0.03447909711458382,0.015932925552329676,0.019413457492821064,0.04447568462597955,0.06627049841307713,0.055046947981684566
LogisticRegression,Without E_1,0.023308373619587115,0.014048381919131344,0.06414051113973718,0.25172352744204957,0.021707140616054506,0.11578645495595027,0.023288119566882943,0.05850666367929418,0.03874838064087793,0.06613770236290337,0.09444423557825776,0.06440222714811603,
RandomForest,Without E_1,[0.01592616 0.01592616],[0.05336185 0.05336185],[0.01447242 0.01447242],[0.07667059 0.07667059],[0.03663409 0.03663409],[0.06123265 0.06123265],[0.01472109 0.01472109],[0.02404322 0.02404322],[0.02574329 0.02574329],[0.03103693 0.03103693],[0.03661933 0.03661933],[0.04400202 0.04400202],
GradientBoosting,Without E_1,0.1840659638847636,0.5504510316847552,0.22691694846623042,0.9347845151737719,0.672723395680557,0.9091196499312517,0.01525942998739355,0.5105506199288211,0.2922931327731432,0.21067960025530424,0.4181230535644235,0.6954374659227452,
SVM,Without E_1,0.027484905880724782,0.005811195406311994,0.021287476115920842,0.160770670327758,0.075198330148406,0.12603909418972553,0.030777983777823897,0.018068152105388736,0.03519856316119215,0.053554473824834456,0.06583415806650915,0.06641885613203474,
LogisticRegression,Without Pu1_1,0.071321311818811,0.012107777189190237,0.08806564559879773,0.20900108743030094,0.013503009795188935,0.11178030283659349,0.024659852140360806,0.06416505334761138,0.03316519449914689,0.08535543966532998,0.0927037440704626,0.05531928099484591,
RandomForest,Without Pu1_1,[0.05846738 0.05846738],[0.04997409 0.04997409],[0.01574103 0.01574103],[0.07502524 0.07502524],[0.03394866 0.03394866],[0.05941007 0.05941007],[0.01484716 0.01484716],[0.02157815 0.02157815],[0.02057197 0.02057197],[0.02898649 0.02898649],[0.03125284 0.03125284],[0.04188235 0.04188235],
GradientBoosting,Without Pu1_1,0.8898404522761176,0.5883691253298998,0.23354694261634418,0.7131891779240963,0.7037598522193067,0.8819204932528117,0.033261506572384865,0.5047188155751458,0.25059111019695873,0.3408267051271521,0.5403814227330529,0.7056562728158043,
SVM,Without Pu1_1,0.08945759846120804,0.0039003131923353264,0.026805552196979603,0.13703355978896983,0.06563429517911416,0.11864964656006612,0.028824161586521117,0.019593547232066424,0.020963179787846727,0.0533499380601508,0.07365366563496317,0.0569756599650106,
LogisticRegression,Without Pu2_1,0.07763063460839666,0.030730640997668097,0.0807183362224385,0.2185823884854146,0.01489846861753561,0.10735440538750007,0.022671400979674926,0.05928884373769836,0.021331014771876787,0.06975893574327101,0.09787893661201566,0.06660940872571423,
RandomForest,Without Pu2_1,[0.05829038 0.05829038],[0.01716729 0.01716729],[0.01767567 0.01767567],[0.06776468 0.06776468],[0.04093454 0.04093454],[0.06439971 0.06439971],[0.02111611 0.02111611],[0.02436346 0.02436346],[0.01921919 0.01921919],[0.03050368 0.03050368],[0.03275647 0.03275647],[0.04249843 0.04249843],
GradientBoosting,Without Pu2_1,0.8995593213576141,0.18003290882794915,0.3575489169800181,0.7873357442639632,0.650423084425731,1.0003239063587832,0.030981278508747684,0.4989729505673831,0.21580151464602207,0.3757933035087687,0.4010196567163596,0.6221901673840784,
SVM,Without Pu2_1,0.09052059340513881,0.024019016694092704,0.02392391629768023,0.14092216238843358,0.06592752099528645,0.11360840985682845,0.03244694483375,0.016476704610178444,0.019478166330500438,0.041223414786188,0.06621311383229248,0.05690704839706416,
LogisticRegression,Without E_hybrid_1,0.044964469127742226,0.02556709900844207,0.013591912607143295,0.21436511688433,0.022877397896452645,0.11978621394401459,0.027440844485301624,0.05797012845128844,0.03208562392372966,0.07154804832892274,0.10886002533502104,0.06238251672431452,
RandomForest,Without E_hybrid_1,[0.04988016 0.04988016],[0.01456699 0.01456699],[0.05143148 0.05143148],[0.06480785 0.06480785],[0.03295605 0.03295605],[0.06071035 0.06071035],[0.01683871 0.01683871],[0.02556731 0.02556731],[0.02003423 0.02003423],[0.03089081 0.03089081],[0.0348748 0.0348748],[0.04461772 0.04461772],
GradientBoosting,Without E_hybrid_1,0.7543137833347247,0.19271312091002837,0.5956160866616815,0.7933640632889138,0.6706121859243052,0.8315333855951493,0.030251752217001486,0.49210501394440315,0.22198728685567576,0.3345039831921642,0.5637895633969882,0.7090683255087994,
SVM,Without E_hybrid_1,0.08726406886605119,0.026004257251293107,0.00472658798384643,0.13513809675437416,0.0611405967060473,0.11795317688760573,0.04223093044713194,0.016101109910203713,0.021483692337847686,0.04366088375332999,0.06380051374425538,0.06517525136218079,
