Model,Feature Set,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,SHAP Values
LogisticRegression,All Features,0.7161904761904763,0.05478053513318813,0.721965811965812,0.06986812243674927,0.7254545454545454,0.07416755656134963,0.7189626239511823,0.04627818812167953,"[0.07800815 0.0255637  0.00943232 0.09788152 0.2110241  0.01646443
 0.10369846 0.02249638 0.0582822  0.02753702 0.0760116  0.0938426
 0.06398135]"
RandomForest,All Features,0.7266666666666667,0.09818534927264548,0.7185314685314685,0.10833880960841133,0.7854545454545454,0.11334143545824511,0.743047619047619,0.08624260459930792,"[[0.05139437 0.05139437]
 [0.01443515 0.01443515]
 [0.0479792  0.0479792 ]
 [0.01347358 0.01347358]
 [0.06467127 0.06467127]
 [0.03245693 0.03245693]
 [0.05580916 0.05580916]
 [0.01706477 0.01706477]
 [0.02250292 0.02250292]
 [0.01697345 0.01697345]
 [0.02885091 0.02885091]
 [0.03358941 0.03358941]
 [0.04157771 0.04157771]]"
GradientBoosting,All Features,0.689047619047619,0.14038818873899248,0.6873504273504273,0.18142092223988815,0.7236363636363636,0.17388131223280337,0.6969715816855404,0.1551310145021036,"[0.85803548 0.16923363 0.56323659 0.19558683 0.73411111 0.65570661
 0.88031162 0.03076142 0.51547545 0.22777815 0.33124764 0.53524847
 0.66800939]"
SVM,All Features,0.7557142857142857,0.058177147565570915,0.7606837606837608,0.07814789367974333,0.7654545454545454,0.0765797806860098,0.7588100686498855,0.04991706436406766,"[0.08735088 0.0227712  0.00436629 0.02385992 0.13909722 0.06343693
 0.11359778 0.0344791  0.01593293 0.01941346 0.04447568 0.0662705
 0.05504695]"
LogisticRegression,Without E_1,0.6966666666666667,0.06197066089522835,0.6930769230769231,0.07670738992195637,0.7454545454545455,0.10041237288352056,0.7106666666666667,0.04909854037205861,"[0.02330837 0.01404838 0.06414051 0.25172353 0.02170714 0.11578645
 0.02328812 0.05850666 0.03874838 0.0661377  0.09444424 0.06440223]"
RandomForest,Without E_1,0.6485714285714286,0.07664448067038851,0.6596464646464646,0.08934947247641188,0.649090909090909,0.14207436069517312,0.6449037745879852,0.08054685171948099,"[[0.01592616 0.01592616]
 [0.05336185 0.05336185]
 [0.01447242 0.01447242]
 [0.07667059 0.07667059]
 [0.03663409 0.03663409]
 [0.06123265 0.06123265]
 [0.01472109 0.01472109]
 [0.02404322 0.02404322]
 [0.02574329 0.02574329]
 [0.03103693 0.03103693]
 [0.03661933 0.03661933]
 [0.04400202 0.04400202]]"
GradientBoosting,Without E_1,0.6395238095238095,0.14974354494167913,0.6577089577089577,0.20284674763210994,0.6636363636363637,0.15320272314866107,0.6503425827997102,0.1482038780941757,"[0.18406596 0.55045103 0.22691695 0.93478452 0.6727234  0.90911965
 0.01525943 0.51055062 0.29229313 0.2106796  0.41812305 0.69543747]"
SVM,Without E_1,0.7552380952380953,0.06760227826938146,0.7726984126984127,0.13126667430586003,0.7836363636363636,0.07614687851407977,0.7660743034055727,0.03921170345317186,"[0.02748491 0.0058112  0.02128748 0.16077067 0.07519833 0.12603909
 0.03077798 0.01806815 0.03519856 0.05355447 0.06583416 0.06641886]"
LogisticRegression,Without Pu1_1,0.7061904761904761,0.04152970687698123,0.7075213675213675,0.06338262381735539,0.7254545454545454,0.03874050136847734,0.7129977116704805,0.0195334896035671,"[0.07132131 0.01210778 0.08806565 0.20900109 0.01350301 0.1117803
 0.02465985 0.06416505 0.03316519 0.08535544 0.09270374 0.05531928]"
RandomForest,Without Pu1_1,0.7280952380952381,0.12777886226494334,0.7494261294261294,0.1636394637191744,0.7054545454545454,0.2100452528967575,0.70953216374269,0.1726439796493798,"[[0.05846738 0.05846738]
 [0.04997409 0.04997409]
 [0.01574103 0.01574103]
 [0.07502524 0.07502524]
 [0.03394866 0.03394866]
 [0.05941007 0.05941007]
 [0.01484716 0.01484716]
 [0.02157815 0.02157815]
 [0.02057197 0.02057197]
 [0.02898649 0.02898649]
 [0.03125284 0.03125284]
 [0.04188235 0.04188235]]"
GradientBoosting,Without Pu1_1,0.6795238095238095,0.1487483683860286,0.6883333333333332,0.2078728243689182,0.6836363636363636,0.1962794432300814,0.6752886329356917,0.1774562903674984,"[0.88984045 0.58836913 0.23354694 0.71318918 0.70375985 0.88192049
 0.03326151 0.50471882 0.25059111 0.34082671 0.54038142 0.70565627]"
