Model,HPBC,SARS,mean_F1,min_F1,max_F1,std_F1,jointF1
"SVM (kernel=poly, C=1, gamma=0.1, degree=4, coef0=1.0)",0.768385402007693,0.7327434883956623,0.7505644452016776,0.7327434883956623,0.768385402007693,0.02520263880953204,1.5011288904033553
"SVM (kernel=poly, C=0.1, gamma=scale, degree=4, coef0=1.0)",0.7247953216374269,0.7666666666666667,0.7457309941520468,0.7247953216374269,0.7666666666666667,0.02960751200757713,1.4914619883040936
"SVM (kernel=poly, C=1, gamma=scale, degree=3, coef0=1.0)",0.7406299840510366,0.7478291273943448,0.7442295557226908,0.7406299840510366,0.7478291273943448,0.005090563076787206,1.4884591114453816
"SVM (kernel=poly, C=0.1, gamma=auto, degree=5, coef0=1.0)",0.7271497584541062,0.7600131752305666,0.7435814668423364,0.7271497584541062,0.7600131752305666,0.02323794485559484,1.4871629336846728
"SVM (kernel=poly, C=0.1, gamma=scale, degree=5, coef0=1.0)",0.7152570257698807,0.7717948717948719,0.7435259487823763,0.7152570257698807,0.7717948717948719,0.03997829431795219,1.4870518975647526
"SVM (kernel=poly, C=0.1, gamma=auto, degree=4, coef0=1.0)",0.7150785162549868,0.7665217391304349,0.7408001276927108,0.7150785162549868,0.7665217391304349,0.036375851741320284,1.4816002553854215
"SVM (kernel=rbf, C=10, gamma=0.01, degree=3, coef0=0.0)",0.7122875816993464,0.7686630718209665,0.7404753267601565,0.7122875816993464,0.7686630718209665,0.03986349135771282,1.480950653520313
"SVM (kernel=poly, C=1, gamma=auto, degree=4, coef0=1.0)",0.7668907563025209,0.7104961704961704,0.7386934633993456,0.7104961704961704,0.7668907563025209,0.03987699404587705,1.4773869267986912
"SVM (kernel=poly, C=0.1, gamma=0.1, degree=5, coef0=1.0)",0.7120680489101541,0.7600131752305666,0.7360406120703603,0.7120680489101541,0.7600131752305666,0.03390232394600928,1.4720812241407206
"SVM (kernel=poly, C=1, gamma=scale, degree=3, coef0=0.0)",0.7413258046301525,0.7248677248677249,0.7330967647489387,0.7248677248677249,0.7413258046301525,0.011637619805321664,1.4661935294978774
"SVM (kernel=poly, C=1, gamma=0.1, degree=2, coef0=1.0)",0.720717234262126,0.735554300771692,0.728135767516909,0.720717234262126,0.735554300771692,0.010491390341829984,1.456271535033818
"SVM (kernel=poly, C=100, gamma=0.01, degree=2, coef0=0.1)",0.720717234262126,0.735554300771692,0.728135767516909,0.720717234262126,0.735554300771692,0.010491390341829984,1.456271535033818
"SVM (kernel=poly, C=100, gamma=scale, degree=3, coef0=0.0)",0.7412573099415205,0.7134952766531713,0.7273762932973459,0.7134952766531713,0.7412573099415205,0.019630721997718422,1.4547525865946918
"SVM (kernel=poly, C=0.1, gamma=scale, degree=3, coef0=1.0)",0.7044366943088172,0.7449783549783551,0.7247075246435861,0.7044366943088172,0.7449783549783551,0.0286672831799942,1.4494150492871722
"SVM (kernel=poly, C=1, gamma=auto, degree=3, coef0=0.1)",0.7109692626214364,0.7378917378917379,0.7244305002565872,0.7109692626214364,0.7378917378917379,0.019037064829957283,1.4488610005131743
"SVM (kernel=poly, C=100, gamma=0.1, degree=5, coef0=0.1)",0.715438596491228,0.7247132867132867,0.7200759416022573,0.715438596491228,0.7247132867132867,0.006558196349422298,1.4401518832045146
"SVM (kernel=poly, C=100, gamma=auto, degree=3, coef0=0.0)",0.7113450292397661,0.7271316402895349,0.7192383347646505,0.7113450292397661,0.7271316402895349,0.011162819725246045,1.438476669529301
"SVM (kernel=poly, C=1, gamma=scale, degree=3, coef0=0.1)",0.7096536796536796,0.7248677248677249,0.7172607022607023,0.7096536796536796,0.7248677248677249,0.010757954540130125,1.4345214045214045
"SVM (kernel=poly, C=1, gamma=scale, degree=4, coef0=0.1)",0.7175291375291375,0.7139937967524175,0.7157614671407775,0.7139937967524175,0.7175291375291375,0.0024998634370240417,1.431522934281555
"SVM (kernel=poly, C=0.1, gamma=1, degree=3, coef0=0.0)",0.7039766081871346,0.7254952766531714,0.7147359424201529,0.7039766081871346,0.7254952766531714,0.015215996394439732,1.4294718848403059
"SVM (kernel=poly, C=100, gamma=0.1, degree=3, coef0=0.0)",0.7039766081871346,0.7254952766531714,0.7147359424201529,0.7039766081871346,0.7254952766531714,0.015215996394439732,1.4294718848403059
"SVM (kernel=poly, C=0.1, gamma=1, degree=3, coef0=0.1)",0.7073684210526314,0.7083157894736842,0.7078421052631578,0.7073684210526314,0.7083157894736842,0.0006698906348084327,1.4156842105263157
"SVM (kernel=poly, C=1, gamma=scale, degree=5, coef0=0.1)",0.7078950035471774,0.7041744207261449,0.7060347121366611,0.7041744207261449,0.7078950035471774,0.0026308493427182503,1.4120694242733223
"SVM (kernel=poly, C=100, gamma=scale, degree=5, coef0=0.0)",0.7042264752791068,0.7049084249084249,0.7045674500937658,0.7042264752791068,0.7049084249084249,0.00048221120731848987,1.4091349001875315
"SVM (kernel=poly, C=10, gamma=0.1, degree=5, coef0=0.1)",0.7065774804905238,0.701098901098901,0.7038381907947124,0.701098901098901,0.7065774804905238,0.003873940639085333,1.4076763815894249
