E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,ED2_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d,Y
-17.9,1.58294e-4,8.73754e-9,-33.97,9,-4.28,0,999999,0,-6.740000000000002,0.3303994,0.05688992,0.1700909,0.16576,0
-24.21,2.59105e-4,1.97424e-4,-34.09,12,-6.58,-12.23,2.1,4,-8.979999999999997,0.1346798,0.1396673,0.201514,0.365004,0.21
-19.89,0.00473588,0.0730347,-24.58,8,-7.03,-6.99,4.72,2,-11.61,0.4357253,0.1163663,0.3209332,0.1335191,0.04
-14.05,2.13191e-7,5.1609e-11,-37.03,4,-7.06,-5.82,0.42,2,-11.09,0.0112091,0.9554258,0.01547363,0.05248404,0.01
-18.44,4.98478e-5,1.86048e-5,-30.68,11,-5.31,-3.09,6.51,1,-6.779999999999998,0.1467743,0.1002735,0.0845975,0.01479218,0
-19.41,4.50161e-5,5.90949e-7,-33.74,11,-5.33,-13.47,8.44,4,-6.280000000000001,0.5537121,0.16576,0.08933259,0.3950933,0.01
-17.12,7.18394e-6,0.00289328,-27.53,5,-3.36,0,999999,0,-8.149999999999999,0.3096491,0.2330864,0.5980952,0.09926691,0.03
-24.94,2.078e-6,2.00808e-4,-37.65,12,-6.9,-11.21,2.15,4,-7.609999999999996,0.06713705,0.08235215,0.0751754,0.06876389,0.01
-10.09,0.00220453,5.76147e-8,-23.5,5,-3.17,-15.97,9.81,4,-10.350000000000001,0.4792669,0.8030332,0.0793222,0.02576278,0.02
-18.3,1.81388e-6,1.68056e-7,-35.26,8,-2.5,-1.2,2.73,2,-7.390000000000001,0.877831,0.5776791,0.03166403,0.03322885,0.09
-13.91,2.87126e-10,1.90921e-8,-37.3,11,-7.31,-9.13,0.85,2,-7.879999999999999,0.08137146,0.136092,0.1536928,0.0127729,0.01
-15.18,7.12229e-5,1.75327e-6,-28.6,4,-4.95,-14.63,7.8,4,-11.240000000000002,0.8266736,0.8209182,0.04966439,0.08874889,0.04
-10.83,3.63973e-4,1.2805e-7,-24.83,4,-4.01,-5.51,9.34,1,-12.47,0.02042221,0.1766228,0.3496356,0.1608366,0.02
-22.37,2.00808e-4,0.00337138,-30.73,10,-6.95,-11.95,2.84,2,-7.919999999999998,0.424214,0.1853952,0.3253707,0.1001625,0.14
-21.47,4.81822e-5,9.58762e-4,-31.41,11,-6.07,-10.45,2.85,4,-4.52,0.2302802,0.2311176,0.1823994,0.1415271,0
-24.18,4.24117e-4,7.0629e-6,-35.73,8,-5.43,-7.57,7.01,2,-6.190000000000001,0.697014,0.0286424,0.203493,0.1395206,0.02
-20.15,0.00162361,8.23001e-6,-30.82,10,-6.04,-12.47,1.88,4,-4.800000000000001,0.2978247,0.696541,0.0601579,0.6039383,0.06
-20.55,0.00524419,0.00983393,-26.36,11,-5.49,-12.45,1.99,4,-8.099999999999998,0.4662202,0.1772293,0.3388479,0.3620947,0.1
