Feature,Group,Correlation,Absolute_Correlation,Normalized_Weight,Weight_Percentage
pumin1_4d,EXTRA,0.24637488000194027,0.24637488000194027,0.14352146921715064,14.35
pumin5_8d,EXTRA,0.1962841941569972,0.1962841941569972,0.11434199756604585,11.43
E_diff_12,EXTRA,-0.086839640841094,0.086839640841094,0.05058694636281644,5.06
pumin1_4u,EXTRA,-0.07219111207850316,0.07219111207850316,0.04205369666682402,4.21
pumin5_8u,EXTRA,-0.04327894765824849,0.04327894765824849,0.02521141016500979,2.52
seedNumber_1,GROUP_1,0.290218953646689,0.290218953646689,0.16906208385249713,16.91
E_1,GROUP_1,-0.1775077114655577,0.1775077114655577,0.1034040789658031,10.34
seedEbest_1,GROUP_1,-0.14662891694969424,0.14662891694969424,0.08541616576403385,8.54
Pu2_1,GROUP_1,0.029066689759298315,0.029066689759298315,0.016932302593108305,1.69
Etotal_1,GROUP_1,-0.02755809963975654,0.02755809963975654,0.016053499241072546,1.61
E_hybrid_1,GROUP_1,-0.023833205936789864,0.023833205936789864,0.01388362617234379,1.39
Pu1_1,GROUP_1,0.02026606660898149,0.02026606660898149,0.011805650214627218,1.18
seedNumber_3,GROUP_3,0.13031371528748684,0.13031371528748684,0.07591202429833059,7.59
ED2_3,GROUP_3,-0.11689469774989683,0.11689469774989683,0.0680950053212723,6.81
E_3,GROUP_3,-0.10938445781714361,0.10938445781714361,0.06372004359906439,6.37
