E_1,Pu1_1,Pu2_1,E_hybrid_1,seedEbest_1,seedNumber_3,pumin1_4u,pumin1_4d,pumin5_8d
-15.7,0.000120612,0.0556486,-22.71,-2.57,4.0,0.1446099,0.113557,0.03909206
-16.33,3.31539e-05,0.0282012,-24.5,-3.4,4.0,0.9314081,0.1147573,0.01370492
-16.84,1.37022e-05,2.18668e-06,-31.1,-3.29,2.0,0.1147573,0.01370492,0.1589336
-19.93,6.16518e-06,3.67123e-05,-33.0,-7.24,0.0,0.03142378,0.2272357,0.04591558
-17.38,4.31492e-06,0.000605981,-29.01,-5.44,4.0,0.0422734,0.1968275,0.01679513
-17.65,9.83634e-05,0.000453947,-27.61,-8.88,4.0,0.2176362,0.2356658,0.2276047
-21.36,0.00031771,0.0101739,-28.8,-7.57,4.0,0.4672354,0.2276047,0.1010594
-19.38,0.00489959,0.199035,-23.46,-4.28,4.0,0.2276047,0.1010594,0.1677646
-23.94,0.000648602,0.000556623,-32.67,-7.68,4.0,0.1010594,0.2774619,0.377893
-20.99,0.000268062,0.000520047,-30.28,-6.27,4.0,0.1010594,0.377893,0.4021631
-15.84,3.92944e-05,1.08948e-06,-29.89,-4.92,4.0,0.377893,0.4529929,0.07675288
-22.35,1.01789e-06,0.000272656,-35.3,-7.22,4.0,0.4529929,0.04287036,0.02144716
-20.27,1.92527e-07,0.000376555,-34.01,-5.4,4.0,0.07675288,0.02144716,0.2459003
-16.76,1.11774e-07,6.88431e-05,-31.82,-2.1,4.0,0.04287036,0.02144716,0.09136439
-16.34,7.75577e-07,0.0087311,-27.41,-4.39,4.0,0.116592,0.1332658,0.1349864
-13.19,1.3937e-05,0.0958526,-21.15,-2.99,4.0,0.09136439,0.1349864,0.5176745
-17.12,0.00265761,0.209445,-21.53,-4.26,4.0,0.1969596,0.5176745,0.7465122
-18.95,0.000547244,6.06428e-10,-35.86,-5.91,0.0,0.1550608,0.1020263,0.2478596
-5.52,0.699885,0.195682,-6.69,-2.6,4.0,0.9221502,,
-22.63,0.000163766,1.43021e-08,-38.39,-7.36,2.0,0.1289625,0.2253928,0.5274446
-12.15,0.00676665,5.1141e-06,-22.26,-3.9,4.0,0.1977068,0.05745341,0.1174319
-12.06,0.0100025,3.92944e-05,-20.74,-2.74,4.0,0.06715869,0.1174319,0.9314081
-14.21,0.00983393,0.00154291,-20.74,-2.62,4.0,0.05745341,0.9398422,0.113557
-14.3,0.00481704,0.00209496,-21.07,-2.49,4.0,0.1174319,0.9289844,0.113557
-12.28,5.56759e-06,4.46408e-06,-26.65,-2.86,2.0,0.03909206,0.04572121,0.142404
-14.22,4.06628e-07,8.09333e-08,-32.49,-2.0,2.0,0.01370492,0.1589336,0.142404
-12.09,4.81941e-07,2.42198e-08,-30.97,-1.89,4.0,0.01370492,0.142404,0.0829695
-13.77,1.00915e-05,3.73598e-09,-31.96,-5.81,4.0,0.1794354,0.1383157,0.417668
-19.71,7.0629e-06,6.48761e-06,-33.72,-5.49,0.0,0.5400521,0.03142378,0.3735154
-13.8,8.23001e-06,1.57013e-07,-29.91,-5.65,0.0,0.03142378,0.4427015,0.1968275
-18.45,0.000958762,0.00144153,-26.39,-4.05,4.0,0.1468567,0.10166,0.377893
-10.07,3.12434e-06,0.00299329,-20.95,-1.91,2.0,0.02144716,0.09136439,0.2282061
-15.17,2.59168e-06,0.0101739,-25.44,-2.36,4.0,0.09136439,0.2282061,0.1349864
-12.09,0.00676665,0.0485755,-16.81,-3.09,4.0,0.1349864,0.7465122,0.9129659
-10.47,0.0910888,0.10796,-13.19,-3.87,4.0,0.7465122,0.9221502,0.8955241
-20.91,0.000605981,2.57007e-07,-34.2,-6.34,6.0,0.1054402,0.1253804,0.8462607
-20.67,0.0103482,4.31492e-06,-30.63,-9.89,4.0,0.5510385,0.5722214,0.1289625
-15.28,0.0012371,5.3842e-10,-31.78,-6.45,4.0,0.1970317,0.2083737,0.4819116
