id2,E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
AU-204-205,-17.9,0.000158294,0.00000000873754,-33.97,9,-4.28,0,0,-6.74,0.3303994,0.05688992,0.1700909,0.16576
AU-243-244,-24.21,0.000259105,0.000197424,-34.09,12,-6.58,-12.23,4,-8.98,0.1346798,0.1396673,0.201514,0.365004
AU-384-385,-19.89,0.00473588,0.0730347,-24.58,8,-7.03,-6.99,2,-11.61,0.4357253,0.1163663,0.3209332,0.1335191
GU-113-114,-14.05,0.000000213191,5.1609E-11,-37.03,4,-7.06,-5.82,2,-11.09,0.0112091,0.9554258,0.01547363,0.05248404
GU-161-162,-18.44,0.0000498478,0.0000186048,-30.68,11,-5.31,-3.09,1,-6.78,0.1467743,0.1002735,0.0845975,0.01479218
GU-219-220,-19.41,0.0000450161,0.000000590949,-33.74,11,-5.33,-13.47,4,-6.28,0.5537121,0.16576,0.08933259,0.3950933
GU-294-295,-17.12,0.00000718394,0.00289328,-27.53,5,-3.36,0,0,-8.15,0.3096491,0.2330864,0.5980952,0.09926691
GU-315-316,-24.94,0.000002078,0.000200808,-37.65,12,-6.9,-11.21,4,-7.61,0.06713705,0.08235215,0.0751754,0.06876389
GU-424-425,-10.09,0.00220453,0.0000000576147,-23.5,5,-3.17,-15.97,4,-10.35,0.4792669,0.8030332,0.0793222,0.02576278
GU-501-502,-18.3,0.00000181388,0.000000168056,-35.26,8,-2.5,-1.2,2,-7.39,0.877831,0.5776791,0.03166403,0.03322885
GU-77-78,-13.91,2.87126E-10,0.0000000190921,-37.3,11,-7.31,-9.13,2,-7.88,0.08137146,0.136092,0.1536928,0.0127729
AU-1042-1043,-15.18,0.0000712229,0.00000175327,-28.6,4,-4.95,-14.63,4,-11.24,0.8266736,0.8209182,0.04966439,0.08874889
AU-1323-1324,-10.83,0.000363973,0.00000012805,-24.83,4,-4.01,-5.51,1,-12.47,0.02042221,0.1766228,0.3496356,0.1608366
AU-1472-1473,-22.37,0.000200808,0.00337138,-30.73,10,-6.95,-11.95,2,-7.92,0.424214,0.1853952,0.3253707,0.1001625
AU-1572-1573,-21.47,0.0000481822,0.000958762,-31.41,11,-6.07,-10.45,4,-4.52,0.2302802,0.2311176,0.1823994,0.1415271
AU-211-212,-24.18,0.000424117,0.0000070629,-35.73,8,-5.43,-7.57,2,-6.19,0.697014,0.0286424,0.203493,0.1395206
AU-247-248,-20.15,0.00162361,0.00000823001,-30.82,10,-6.04,-12.47,4,-4.8,0.2978247,0.696541,0.0601579,0.6039383
AU-276-277,-20.55,0.00524419,0.00983393,-26.36,11,-5.49,-12.45,4,-8.1,0.4662202,0.1772293,0.3388479,0.3620947
AU-364-365,-22.23,0.00465609,0.000155627,-30.55,12,-4.95,-14.71,4,-5.96,0.8223003,0.04954818,0.1742488,0.1130099
AU-42-43,-22.51,0.00000000762696,0.0000000364152,-43.59,9,-8.7,-9.67,2,-4.26,0.1139545,0.04234508,0.05463199,0.00438398
AU-504-505,-17.8,0.0301846,0.000112686,-25.21,10,-7.42,-7.47,4,-9.06,0.7060408,0.0306562,0.395822,0.6009841
AU-563-564,-12.33,0.00205966,0.000000386418,-24.66,4,-1.57,0,0,-8.28,0.5679471,0.7027952,0.6260772,0.6252013
AU-62-63,-12.84,0.000575865,0.0000700229,-22.86,5,-4.72,-5.37,1,-8.97,0.0008735421,0.08241462,0.179737,0.1826446
AU-627-628,-18.19,0.00788481,0.000000179876,-30.18,11,-5.61,-9.49,4,-7.12,0.6138378,0.627174,0.4456874,0.08050097
AU-671-672,-19.2,0.0000220507,0.00000000206118,-37.28,12,-5.01,-7.13,4,-7.26,0.2676057,0.3116083,0.03821439,0.2847166
AU-955-956,-11.54,0.00209496,0.000556623,-19.58,5,-1.65,-6.76,2,-9.54,0.6393409,0.7826716,0.05048142,0.1838168
GU-106-107,-17.6,0.00000755965,0.000000373507,-33.25,11,-5.65,-10.51,4,-9.56,0.2902456,0.0770423,0.04210991,0.9642057
GU-1136-1137,-13.74,0.0000125861,0.000172331,-25.48,8,-3.74,-8.93,3,-6.7,0.1982033,0.2477718,0.0283407,0.1551031
GU-1216-1217,-20.76,0.00037021,0.000312357,-30.16,10,-3.94,-11.75,4,-8,0.02717174,0.09235515,0.1334552,0.1371982
GU-1363-1364,-19.74,0.000282081,0.000851242,-28.71,10,-4.97,-8.61,4,-9.21,0.3894547,0.7502605,0.04573199,0.03954283
GU-1439-1440,-20.3,0.0000102645,0.00367033,-30.36,10,-5.94,-12.03,4,-6.49,0.1208723,0.1562359,0.08522924,0.01840195
GU-1622-1623,-19.78,0.000431386,0.00192432,-28.02,8,-4.15,-11.79,4,-7.64,0.08891416,0.6464432,0.3530015,0.05414203
GU-406-407,-14.92,0.000135846,0.000000481941,-28.72,9,-4.38,-5.17,2,-9.8,0.5072974,0.08550011,0.2679765,0.3273439
GU-438-439,-17.9,0.00000296906,0.000166573,-30.51,5,-3.04,-15.57,4,-7.73,0.07707229,0.1323423,0.01508714,0.1345453
GU-534-535,-18.53,0.000140542,0.00000370301,-31.11,8,-6.21,-6.75,4,-3.17,0.00962176,0.8430271,0.3294341,0.3887837
GU-795-796,-14.53,0.000108921,0.00000389668,-27.23,10,-5.79,-12.75,4,-7,0.6609031,0.1171768,0.2357635,0.2021876
GU-915-916,-9.25,0.0000348878,0.0000202546,-21.65,4,-1.91,-10.99,4,-7.31,0.07266604,0.1009511,0.2305867,0.04792167
GU-992-993,-9.59,0.0339972,0.0000399678,-17.54,5,-1.27,-2.99,1,-8.26,0.4055138,0.04414122,0.0790618,0.1306597
AU-1048-1049,-19.85,0.000851242,0.000105282,-29.4,12,-4.14,-13.09,4,-10.25,0.2182085,0.06667799,0.07905414,0.1079844
AU-1121-1122,-22.13,0.00000911336,0.0000611227,-34.67,12,-6.41,-8.23,4,-9.31,0.1206355,0.4085739,0.9460805,0.05960158
AU-1243-1244,-10.33,0.000416972,0.000000224341,-23.92,7,-5.02,-6.41,2,-12.44,0.861764,0.3035084,0.07760359,0.05016753
AU-127-128,-18.89,0.00000328774,0.000184451,-31.38,9,-4.22,-11.17,4,-4.68,0.2296416,0.04747801,0.3097605,0.009329905
AU-1273-1274,-19.93,0.00000163806,0.00611077,-30.77,10,-5.21,-11.11,4,-9.78,0.6511048,0.0346846,0.08411561,0.3717475
AU-1347-1348,-9.36,0.00086583,3.86608E-11,-27.62,3,-4.45,-5.74,2,-8.84,0.7332417,0.6717344,0.06848977,0.05693037
AU-1390-1391,-15.93,0.00000114646,0.00075578,-28.21,12,-6.34,-11.93,4,-9.24,0.4042189,0.09249722,0.01161707,0.05486905
AU-1532-1533,-11.7,0.00775196,0.386134,-15.12,6,-2.43,-13.47,6,-9.34,0.03537821,0.04812869,0.2609214,0.2661049
AU-1735-1736,-21.66,0.0112659,0.0100025,-27.01,11,-5.11,-11.18,4,-7.82,0.1024385,0.7054641,0.7648239,0.7880369
AU-211-212,-19.48,0.00154291,0.00000166614,-31.12,7,-2.5,-8.05,2,-6.6,0.329789,0.2270374,0.1299172,0.04640056
AU-516-517,-17.67,0.00000446408,0.0000373415,-30.92,12,-5.13,-10.41,4,-10.2,0.1489531,0.2130526,0.2136532,0.1995129
AU-535-536,-13.46,0.000880668,8.51869E-10,-29.89,4,-4.9,0,0,-5.59,0.4190063,0.07066703,0.1546051,0.05164015
AU-651-652,-9.87,0.0000256944,8.96421E-10,-28.35,5,-4.77,-10.53,4,-7.12,0.122415,0.03828542,0.4565377,0.1969576
AU-685-686,-14.26,0.000659717,0.00000880884,-25.42,10,-2.07,-12.39,4,-7.75,0.641321,0.6694548,0.03458029,0.04821137
AU-710-711,-19.89,0.0114589,0.000000427894,-31.15,12,-7.79,-4.56,2,-8.3,0.2224705,0.2311249,0.5071413,0.386287
AU-817-818,-18.71,0.00788481,0.000438779,-26.11,8,-5.84,-12.99,4,-7.25,0.5451849,0.5599846,0.2927647,0.187819
AU-912-913,-15.4,0.0114589,0.000175284,-23.12,5,-3.55,-9.83,4,-9.2,0.4292165,0.3127823,0.07124596,0.1372519
AU-963-964,-16.9,0.0010089,0.0000967061,-26.4,8,-3.58,-10.31,4,-8.04,0.9873714,0.1172563,0.08653774,0.1367726
GU-1080-1081,-17.31,0.000000749662,0.0000775386,-31.18,11,-5.69,-11.67,4,-7.38,0.08299017,0.01955963,0.2805681,0.2141669
GU-1152-1153,-18.14,0.000116582,0.00000718394,-30.44,8,-8.23,0,0,-9.16,0.06652945,0.2685747,0.7527458,0.2934664
