id2,E_MERS_1,ED1_MERS_1,ED2_MERS_1,Pu1_MERS_1,Pu2_MERS_1,E_hybrid_MERS_1,P_E_MERS_1,E_MERS_2,ED1_MERS_2,ED2_MERS_2,Pu1_MERS_2,Pu2_MERS_2,E_hybrid_MERS_2,P_E_MERS_2,E_MERS_3,ED1_MERS_3,ED2_MERS_3,Pu1_MERS_3,Pu2_MERS_3,E_hybrid_MERS_3,P_E_MERS_3
AU-30-31,-11.8,8.04,3.5,2.16053e-06,0.00341745,-23.34,0.526885,,,,,,,,,,,,,,
AU-32-33,-15.8,7.46,2.67,5.53684e-06,0.0131391,-25.93,0.746842,,,,,,,,,,,,,,
AU-60-61,-20.02,4.17,3.09,0.00115234,0.00664678,-27.28,0.688646,,,,,,,,,,,,,,
AU-71-72,-18.64,4.02,2.13,0.00146988,0.031556,-24.79,0.548908,,,,,,,,,,,,,,
AU-77-78,-14.94,3.54,1.73,0.0032027,0.0603871,-20.21,0.71256,,,,,,,,,,,,,,
AU-90-91,-10.42,2.29,0.93,0.0243409,0.221141,-13.64,0.498511,,,,,,,,,,,,,,
AU-93-94,-10.84,5.62,4.24,0.000109605,0.00102862,-20.7,0.778021,,,,,,,,,,,,,,
AU-123-124,-20.68,6.95,2.73,1.26659e-05,0.0119203,-30.36,0.646023,,,,,,,,,,,,,,
AU-132-133,-17.08,10.22,4.5,6.28651e-08,0.000674599,-31.8,0.618503,,,,,,,,,,,,,,
AU-173-174,-17.04,8.87,5.74,5.61948e-07,9.02135e-05,-31.65,0.747794,,,,,,,,,,,,,,
AU-204-205,-21.61,3.81,7.51,0.00206661,5.10539e-06,-32.93,0.779428,,,,,,,,,,,,,,
AU-214-215,-20.44,5.74,6.4,9.02135e-05,3.0917e-05,-32.58,0.762105,,,,,,,,,,,,,,
AU-374-375,-18.14,6.17,5.92,4.49023e-05,6.73648e-05,-30.23,0.480008,,,,,,,,,,,,,,
AU-470-471,-19.08,8.94,0.05,5.01615e-07,0.922077,-28.07,0.594398,,,,,,,,,,,,,,
AU-500-501,-25.05,4.18,1.38,0.0011338,0.106555,-30.61,0.967851,,,,,,,,,,,,,,
AU-527-528,-16.18,9.89,5.75,1.07386e-07,8.87615e-05,-31.82,0.567356,,,,,,,,,,,,,,
AU-548-549,-12.85,7.67,6.92,3.93808e-06,1.32977e-05,-27.44,20.1137,,,,,,,,,,,,,,
AU-560-561,-19.97,6.79,2.25,1.64203e-05,0.025973,-29.01,0.878964,,,,,,,,,,,,,,
AU-596-597,-13.41,6.02,7.15,5.72753e-05,9.15599e-06,-26.58,0.7613,,,,,,,,,,,,,,
AU-603-604,-14.55,8.65,4.0,8.0301e-07,0.00151836,-27.2,0.724264,,,,,,,,,,,,,,
AU-618-619,-8.91,12.7,6.62,1.12425e-09,2.16358e-05,-28.23,15.983,,,,,,,,,,,,,,
AU-647-648,-13.42,9.75,13.79,1.34772e-07,1.91772e-10,-36.96,0.977076,,,,,,,,,,,,,,
AU-663-664,-13.1,6.6,0.55,2.23494e-05,0.409674,-20.25,0.510901,,,,,,,,,,,,,,
AU-719-720,-14.06,5.27,6.72,0.000193402,1.83953e-05,-26.05,1.63424,,,,,,,,,,,,,,
AU-735-736,-12.15,12.07,7.67,3.12461e-09,3.93808e-06,-31.89,0.449582,,,,,,,,,,,,,,
AU-759-760,-19.53,4.34,4.26,0.000874562,0.000995779,-28.13,8.85168,,,,,,,,,,,,,,
GU-11-12,-11.64,5.85,5.92,7.54673e-05,6.73648e-05,-23.41,0.231809,,,,,,,,,,,,,,
GU-55-56,-12.52,3.63,4.58,0.00276756,0.000592479,-20.73,0.802654,,,,,,,,,,,,,,
GU-74-75,-17.83,4.1,0.67,0.00129095,0.337194,-22.6,0.809605,,,,,,,,,,,,,,
GU-82-83,-7.04,5.4,6.15,0.000156623,4.63834e-05,-18.59,0.261237,,,,,,,,,,,,,,
