E_1,Etotal_1,ED1_1,ED2_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_2,Etotal_2,ED1_2,ED2_2,Pu1_2,Pu2_2,E_hybrid_2,seedNumber_2,seedEbest_2,E_3,Etotal_3,ED1_3,ED2_3,Pu1_3,Pu2_3,E_hybrid_3,seedNumber_3,seedEbest_3,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d,Y
-17.9,-275.82,5.15,10.92,1.58294e-4,8.73754e-9,-33.97,9,-4.28,-24.64,-282.56,6.97,10.92,7.18394e-6,8.73754e-9,-42.53,13,-4.28,0,0,999999,999999,0,0,0,0,0,0.3303994,0.05688992,0.1700909,0.16576,0
-24.21,-276.23,4.86,5.02,2.59105e-4,1.97424e-4,-34.09,12,-6.58,-33.19,-285.21,5.7,5.02,6.21702e-5,1.97424e-4,-43.91,16,-6.58,-12.23,-22.27,2.1,2.1,0.0282012,0.0282012,-16.43,4,-4.13,0.1346798,0.1396673,0.201514,0.365004,0.21
-19.89,-275.59,3.15,1.54,0.00473588,0.0730347,-24.58,8,-7.03,-31.5,-287.2,7.33,8.7,3.89668e-6,3.79908e-7,-47.53,16,-7.52,-6.99,-24.39,4.72,4.72,3.28693e-4,3.28693e-4,-16.43,2,-0.9,0.4357253,0.1163663,0.3209332,0.1335191,0.04
-14.05,-274.99,9.04,13.94,2.13191e-7,5.1609e-11,-37.03,4,-7.06,-25.14,-286.08,9.07,13.94,2.02596e-7,5.1609e-11,-48.15,6,-7.06,-5.82,-33.7,0.42,0.42,0.489839,0.489839,-6.66,2,-5.27,0.0112091,0.9554258,0.01547363,0.05248404,0.01
-18.44,-271.95,5.83,6.41,4.98478e-5,1.86048e-5,-30.68,11,-5.31,-25.22,-278.73,6.82,6.43,9.26954e-6,1.79831e-5,-38.47,13,-5.31,0,0,999999,999999,0,0,0,0,0,0.1467743,0.1002735,0.0845975,0.01479218,0
-19.41,-274.85,5.89,8.44,4.50161e-5,5.90949e-7,-33.74,11,-5.33,-25.69,-281.13,7.51,8.44,2.86986e-6,5.90949e-7,-41.64,15,-5.33,-13.47,-30.35,8.44,8.44,5.90949e-7,5.90949e-7,-30.35,4,-6.68,0.5537121,0.16576,0.08933259,0.3950933,0.01
-17.12,-275.75,6.97,3.44,7.18394e-6,0.00289328,-27.53,5,-3.36,-25.27,-283.9,8.43,11.63,6.01076e-7,2.61476e-9,-45.33,8,-6.62,0,0,999999,999999,0,0,0,0,0,0.3096491,0.2330864,0.5980952,0.09926691,0.03
-24.94,-276.95,7.7,5.01,2.078e-6,2.00808e-4,-37.65,12,-6.9,-32.55,-284.56,8.35,5.01,6.886e-7,2.00808e-4,-45.91,16,-7.2,-11.21,-21.23,2.15,2.15,0.0259041,0.0259041,-15.51,4,-5.37,0.06713705,0.08235215,0.0751754,0.06876389,0.01
-10.09,-266.9,3.6,9.81,0.00220453,5.76147e-8,-23.5,5,-3.17,-20.44,-277.25,7.87,9.81,1.55665e-6,5.76147e-8,-38.12,6,-3.17,-15.97,-35.59,9.81,9.81,5.76147e-8,5.76147e-8,-35.59,4,-3.61,0.4792669,0.8030332,0.0793222,0.02576278,0.02
-18.3,-274.48,7.78,9.18,1.81388e-6,1.68056e-7,-35.26,8,-2.5,-25.69,-281.87,8.27,9.18,7.88868e-7,1.68056e-7,-43.14,12,-3.43,0,0,999999,999999,0,0,0,0,0,0.877831,0.5776791,0.03166403,0.03322885,0.09
-13.91,-271.37,12.93,10.46,2.87126e-10,1.90921e-8,-37.3,11,-7.31,-21.79,-279.25,14.14,10.46,3.67394e-11,1.90921e-8,-46.39,15,-7.31,-9.13,-30.05,0.85,0.85,0.2359,0.2359,-10.83,2,-6.24,0.08137146,0.136092,0.1536928,0.0127729,0.01
-15.18,-824.66,5.62,7.8,7.12229e-5,1.75327e-6,-28.6,4,-4.95,-26.42,-835.9,7.75,7.8,1.90874e-6,1.75327e-6,-41.97,8,-4.95,-14.63,-30.23,7.8,7.8,1.75327e-6,1.75327e-6,-30.23,4,-5.14,0.8266736,0.8209182,0.04966439,0.08874889,0.04
-10.83,-821.85,4.66,9.34,3.63973e-4,1.2805e-7,-24.83,4,-4.01,-23.3,-834.32,5.41,9.34,1.01764e-4,1.2805e-7,-38.05,5,-4.01,-5.51,-24.19,9.34,9.34,1.2805e-7,1.2805e-7,-24.19,1,-1,0.02042221,0.1766228,0.3496356,0.1608366,0.02
-22.37,-827.4,5.01,3.35,2.00808e-4,0.00337138,-30.73,10,-6.95,-30.29,-835.32,5.08,3.35,1.78288e-4,0.00337138,-38.72,14,-6.95,-11.95,-18.65,2.84,2.84,0.00801993,0.00801993,-17.63,2,-1.33,0.424214,0.1853952,0.3253707,0.1001625,0.14
-21.47,-827.24,5.85,4.09,4.81822e-5,9.58762e-4,-31.41,11,-6.07,-25.99,-831.76,6.22,4.09,2.56944e-5,9.58762e-4,-36.3,15,-6.07,-10.45,-18.63,2.85,2.85,0.00788481,0.00788481,-16.15,4,-3.14,0.2302802,0.2311176,0.1823994,0.1415271,0
-24.18,-832.89,4.57,6.98,4.24117e-4,7.0629e-6,-35.73,8,-5.43,-30.37,-839.08,5.66,6.98,6.65428e-5,7.0629e-6,-43.01,12,-5.43,-7.57,-21.63,7.01,7.01,6.71188e-6,6.71188e-6,-21.59,2,-0.37,0.697014,0.0286424,0.203493,0.1395206,0.02
-20.15,-828.72,3.78,6.89,0.00162361,8.23001e-6,-30.82,10,-6.04,-24.95,-833.52,5.37,6.89,1.08921e-4,8.23001e-6,-37.21,14,-6.04,-12.47,-26.25,1.88,1.88,0.0409845,0.0409845,-16.23,4,-6.33,0.2978247,0.696541,0.0601579,0.6039383,0.06
-20.55,-824.95,3.09,2.72,0.00524419,0.00983393,-26.36,11,-5.49,-28.65,-833.05,3.11,2.72,0.00506897,0.00983393,-34.48,15,-7.88,-12.45,-17.89,1.99,1.99,0.0339972,0.0339972,-16.43,4,-5.13,0.4662202,0.1772293,0.3388479,0.3620947,0.1
-22.23,-829.07,3.16,5.16,0.00465609,1.55627e-4,-30.55,12,-4.95,-28.19,-835.03,6.95,5.16,7.43228e-6,1.55627e-4,-40.3,14,-4.95,-14.71,-25.03,0.86,0.86,0.231925,0.231925,-16.43,4,-6.77,0.8223003,0.04954818,0.1742488,0.1130099,0.02
