id2,E_target_1_1,ED1_target_1_1,ED2_target_1_1,Pu1_target_1_1,Pu2_target_1_1,E_hybrid_target_1_1,P_E_target_1_1,E_target_1_2,ED1_target_1_2,ED2_target_1_2,Pu1_target_1_2,Pu2_target_1_2,E_hybrid_target_1_2,P_E_target_1_2,E_target_1_3,ED1_target_1_3,ED2_target_1_3,Pu1_target_1_3,Pu2_target_1_3,E_hybrid_target_1_3,P_E_target_1_3,E_target_2_1,ED1_target_2_1,ED2_target_2_1,Pu1_target_2_1,Pu2_target_2_1,E_hybrid_target_2_1,P_E_target_2_1,E_target_2_2,ED1_target_2_2,ED2_target_2_2,Pu1_target_2_2,Pu2_target_2_2,E_hybrid_target_2_2,P_E_target_2_2,E_target_2_3,ED1_target_2_3,ED2_target_2_3,Pu1_target_2_3,Pu2_target_2_3,E_hybrid_target_2_3,P_E_target_2_3
AC-57-58,-11.11,12.58,4.39,5.2043e-10,0.000575865,-28.08,3.33002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-78-79,-17.35,8.04,2.37,1.1661e-06,0.0178244,-27.76,0.907359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-106-107,-14.3,5.28,7.03,0.00012692,6.48761e-06,-26.61,151.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-137-138,-15.87,4.24,5.24,0.000743046,0.000135846,-25.35,0.405146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-150-151,-17.71,4.35,8.12,0.000616367,1.01789e-06,-30.18,0.903774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-159-160,-16.9,6.3,7.46,2.24286e-05,3.12434e-06,-30.66,129.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-192-193,-16.45,5.86,7.61,4.73704e-05,2.42138e-06,-29.92,0.719918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-194-195,-15.28,5.93,8.45,4.20581e-05,5.80992e-07,-29.66,0.92759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-210-211,-10.6,8.97,6.9,2.40119e-07,8.09134e-06,-26.47,0.652739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-212-213,-13.37,9.04,5.21,2.13191e-07,0.000142951,-27.62,0.805956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-29-30,-19.7,2.73,9.37,0.00966824,1.21686e-07,-31.8,0.780643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-33-34,-17.04,4.2,9.29,0.000795306,1.39405e-07,-30.53,0.698375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-47-48,-8.04,12.65,0.07,4.62066e-10,0.887855,-20.76,0.414466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-98-99,-10.35,5.87,6.14,4.65723e-05,2.94358e-05,-22.36,0.809233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-120-121,-17.73,5.34,6.38,0.000114617,1.95778e-05,-29.45,0.939174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-126-127,-19.35,5.26,3.25,0.000131307,0.0039958,-27.86,0.521697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-177-178,-23.37,6.88,3.17,8.37105e-06,0.00457764,-33.42,0.903088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-240-241,-17.65,4.5,2.53,0.000477687,0.0135813,-24.68,0.790373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-252-253,-13.63,7.62,4.47,2.38058e-06,0.00050267,-25.72,0.694731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-267-268,-10.36,5.47,2.1,9.18999e-05,0.0282012,-17.93,0.354163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-57-58,,,,,,,,-22.51,20.93,4.39,3.58368e-16,0.000575865,-47.83,0.915054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-78-79,,,,,,,,-30.85,10.29,2.37,2.54864e-08,0.0178244,-43.51,0.978301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-106-107,,,,,,,,-25.41,6.47,7.03,1.68015e-05,6.48761e-06,-38.91,0.988886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-137-138,,,,,,,,-30.62,8.1,5.24,1.05307e-06,0.000135846,-43.96,0.854958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-150-151,,,,,,,,-30.46,4.78,8.12,0.000296833,1.01789e-06,-43.36,0.983613,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-159-160,,,,,,,,-32.05,6.75,7.47,1.04404e-05,3.0717e-06,-46.27,0.89707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-192-193,,,,,,,,-33.17,8.16,7.61,9.51001e-07,2.42138e-06,-48.94,0.606315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-194-195,,,,,,,,-32.39,7.34,8.45,3.83102e-06,5.80992e-07,-48.18,0.967047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-210-211,,,,,,,,-22.72,10.86,6.9,9.67536e-09,8.09134e-06,-40.48,0.695816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-212-213,,,,,,,,-23.95,9.95,5.21,4.5417e-08,0.000142951,-39.11,0.57082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-29-30,,,,,,,,-28.47,3.04,9.37,0.00570923,1.21686e-07,-40.88,1.85403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-33-34,,,,,,,,-33.67,4.21,9.29,0.000781906,1.39405e-07,-47.17,0.612608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-47-48,,,,,,,,-20.87,18.29,6.58,3.18101e-14,1.3937e-05,-45.74,0.645212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-98-99,,,,,,,,-24.66,6.96,6.14,7.30706e-06,2.94358e-05,-37.76,0.897489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-120-121,,,,,,,,-32.75,6.46,6.38,1.70894e-05,1.95778e-05,-45.59,0.772798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-126-127,,,,,,,,-31.92,6.68,3.25,1.17591e-05,0.0039958,-41.85,0.430011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-153-154,,,,,,,,-9.04,1.78,0.52,0.0485755,0.413292,-11.34,0.766057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-177-178,,,,,,,,-36.8,7.99,3.17,1.26951e-06,0.00457764,-47.96,0.535488,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-240-241,,,,,,,,-28.55,4.58,2.53,0.000416972,0.0135813,-35.66,0.697461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-252-253,,,,,,,,-26.59,8.3,4.47,7.49662e-07,0.00050267,-39.36,0.630651,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-267-268,,,,,,,,-25.54,11.62,6.46,2.65957e-09,1.70894e-05,-43.62,0.463972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-57-58,,,,,,,,,,,,,,,-8.79,3.19,3.19,0.00442468,0.00442468,-15.17,0.202703,,,,,,,,,,,,,,,,,,,,,
AC-78-79,,,,,,,,,,,,,,,-13.01,2.37,2.37,0.0178244,0.0178244,-17.75,1.24098,,,,,,,,,,,,,,,,,,,,,
AC-137-138,,,,,,,,,,,,,,,-9.65,2.24,2.24,0.0222306,0.0222306,-14.13,0.607321,,,,,,,,,,,,,,,,,,,,,
AC-150-151,,,,,,,,,,,,,,,-11.25,7.91,7.91,1.45436e-06,1.45436e-06,-27.07,2.15366,,,,,,,,,,,,,,,,,,,,,
AC-159-160,,,,,,,,,,,,,,,-6.29,4.17,4.17,0.000836899,0.000836899,-14.63,0.476088,,,,,,,,,,,,,,,,,,,,,
AC-192-193,,,,,,,,,,,,,,,-8.81,0.73,0.73,0.289257,0.289257,-10.27,0.711897,,,,,,,,,,,,,,,,,,,,,
AC-194-195,,,,,,,,,,,,,,,-8.61,3.96,3.96,0.00119577,0.00119577,-16.53,0.793681,,,,,,,,,,,,,,,,,,,,,
AC-210-211,,,,,,,,,,,,,,,-11.01,1.54,1.54,0.0730347,0.0730347,-14.09,0.58579,,,,,,,,,,,,,,,,,,,,,
AC-212-213,,,,,,,,,,,,,,,-10.63,2.91,2.91,0.00712054,0.00712054,-16.45,0.640807,,,,,,,,,,,,,,,,,,,,,
GC-29-30,,,,,,,,,,,,,,,-3.87,1.44,1.44,0.0865617,0.0865617,-6.75,0.936486,,,,,,,,,,,,,,,,,,,,,
GC-33-34,,,,,,,,,,,,,,,-3.56,1.94,1.94,0.037012,0.037012,-7.44,0.712869,,,,,,,,,,,,,,,,,,,,,
GC-47-48,,,,,,,,,,,,,,,-3.92,6.52,6.52,1.54329e-05,1.54329e-05,-16.96,0.538409,,,,,,,,,,,,,,,,,,,,,
GC-98-99,,,,,,,,,,,,,,,-10.69,1.84,1.84,0.0438671,0.0438671,-14.37,0.61259,,,,,,,,,,,,,,,,,,,,,
GC-120-121,,,,,,,,,,,,,,,-11.31,1.4,1.4,0.0926499,0.0926499,-14.11,0.57448,,,,,,,,,,,,,,,,,,,,,
GC-126-127,,,,,,,,,,,,,,,-12.55,1.91,1.91,0.0389476,0.0389476,-16.37,0.786709,,,,,,,,,,,,,,,,,,,,,
GC-153-154,,,,,,,,,,,,,,,-5.62,0.52,0.52,0.413292,0.413292,-6.66,0.534733,,,,,,,,,,,,,,,,,,,,,
GC-177-178,,,,,,,,,,,,,,,-10.77,2.72,2.72,0.00983393,0.00983393,-16.21,0.476202,,,,,,,,,,,,,,,,,,,,,
GC-240-241,,,,,,,,,,,,,,,-12.12,2.37,2.5,0.0178244,0.0142916,-16.99,0.268656,,,,,,,,,,,,,,,,,,,,,
GC-252-253,,,,,,,,,,,,,,,-13.01,0.56,0.56,0.386134,0.386134,-14.13,0.445721,,,,,,,,,,,,,,,,,,,,,
GC-267-268,,,,,,,,,,,,,,,-10.09,3.28,3.28,0.00379721,0.00379721,-16.65,0.664646,,,,,,,,,,,,,,,,,,,,,
AC-9-10,,,,,,,,,,,,,,,,,,,,,,-12.26,4.54,7.64,0.000446298,2.30104e-06,-24.44,5649.03,,,,,,,,,,,,,,
AC-11-12,,,,,,,,,,,,,,,,,,,,,,-11.38,6.64,7.34,1.25861e-05,3.83102e-06,-25.36,238.235,,,,,,,,,,,,,,
AC-13-14,,,,,,,,,,,,,,,,,,,,,,-13.42,7.03,5.65,6.48761e-06,6.76832e-05,-26.1,7.98287,,,,,,,,,,,,,,
AC-16-17,,,,,,,,,,,,,,,,,,,,,,-15.29,4.08,0.86,0.000975193,0.231925,-20.23,43.6304,,,,,,,,,,,,,,
AC-26-27,,,,,,,,,,,,,,,,,,,,,,-14.87,3.62,7.87,0.00213086,1.55665e-06,-26.36,0.656743,,,,,,,,,,,,,,
AC-30-31,,,,,,,,,,,,,,,,,,,,,,-12.09,3.73,8.22,0.00176758,8.58821e-07,-24.04,15.83,,,,,,,,,,,,,,
AC-39-40,,,,,,,,,,,,,,,,,,,,,,-12.44,2.62,6.5,0.0116553,1.59664e-05,-21.56,2.08051,,,,,,,,,,,,,,
AC-44-45,,,,,,,,,,,,,,,,,,,,,,-14.02,2.41,5.02,0.0166532,0.000197424,-21.45,0.555542,,,,,,,,,,,,,,
AC-66-67,,,,,,,,,,,,,,,,,,,,,,-21.73,6.49,7.68,1.62401e-05,2.14984e-06,-35.9,0.998955,,,,,,,,,,,,,,
AC-110-111,,,,,,,,,,,,,,,,,,,,,,-14.45,4.04,7.79,0.00104378,1.78332e-06,-26.28,0.62416,,,,,,,,,,,,,,
AC-164-165,,,,,,,,,,,,,,,,,,,,,,-13.28,6.05,6.88,3.42999e-05,8.37105e-06,-26.21,0.965144,,,,,,,,,,,,,,
AC-197-198,,,,,,,,,,,,,,,,,,,,,,-22.4,2.56,1.46,0.0129063,0.0836694,-26.42,0.979247,,,,,,,,,,,,,,
GC-102-103,,,,,,,,,,,,,,,,,,,,,,-16.29,4.3,2.72,0.000671023,0.00983393,-23.31,0.875304,,,,,,,,,,,,,,
GC-117-118,,,,,,,,,,,,,,,,,,,,,,-13.3,5.85,6.75,4.81822e-05,1.04404e-05,-25.9,0.669262,,,,,,,,,,,,,,
GC-132-133,,,,,,,,,,,,,,,,,,,,,,-16.24,8.23,5.2,8.44351e-07,0.000145401,-29.67,0.615358,,,,,,,,,,,,,,
GC-141-142,,,,,,,,,,,,,,,,,,,,,,-16.63,5.56,6.12,7.88674e-05,3.04534e-05,-28.31,0.905503,,,,,,,,,,,,,,
GC-147-148,,,,,,,,,,,,,,,,,,,,,,-13.89,5.11,6.36,0.000169427,2.02546e-05,-25.36,0.601814,,,,,,,,,,,,,,
GC-170-171,,,,,,,,,,,,,,,,,,,,,,-13.27,6.96,5.3,7.30706e-06,0.000122679,-25.53,0.99426,,,,,,,,,,,,,,
GC-174-175,,,,,,,,,,,,,,,,,,,,,,-11.44,6.51,9.84,1.56974e-05,5.47513e-08,-27.79,956.739,,,,,,,,,,,,,,
GC-207-208,,,,,,,,,,,,,,,,,,,,,,-12.65,0.67,6.41,0.320303,1.86048e-05,-19.73,0.73365,,,,,,,,,,,,,,
AC-9-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.26,4.54,7.64,0.000446298,2.30104e-06,-24.44,932.208,,,,,,,
AC-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.38,6.64,7.34,1.25861e-05,3.83102e-06,-25.36,206.273,,,,,,,
AC-13-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.42,7.03,5.65,6.48761e-06,6.76832e-05,-26.1,7.98261,,,,,,,
AC-16-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.29,4.08,0.86,0.000975193,0.231925,-20.23,43.2909,,,,,,,
AC-26-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.69,5.11,7.87,0.000169427,1.55665e-06,-44.67,0.656852,,,,,,,
AC-30-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.06,5.44,8.35,9.67061e-05,6.886e-07,-44.85,0.987967,,,,,,,
AC-39-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.98,3.77,6.5,0.00165143,1.59664e-05,-37.25,0.855989,,,,,,,
AC-44-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.83,3.03,5.02,0.00580707,0.000197424,-34.88,0.517138,,,,,,,
AC-66-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.13,7.02,7.68,6.59879e-06,2.14984e-06,-46.83,0.759572,,,,,,,
AC-110-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.01,4.94,7.79,0.000226172,1.78332e-06,-37.74,0.685804,,,,,,,
AC-164-165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.31,8.76,6.88,3.43084e-07,8.37105e-06,-39.95,564.792,,,,,,,
AC-197-198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.15,2.71,1.46,0.0100025,0.0836694,-39.32,0.722789,,,,,,,
GC-102-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.68,4.34,2.72,0.00062693,0.00983393,-33.74,1.98322,,,,,,,
GC-117-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.8,6.8,6.75,9.58997e-06,1.04404e-05,-41.35,0.504354,,,,,,,
GC-132-133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.92,9.07,5.2,2.02596e-07,0.000145401,-46.19,0.623882,,,,,,,
GC-141-142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.59,8.29,6.13,7.62509e-07,2.99403e-05,-37.01,55.5847,,,,,,,
GC-147-148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.85,6.64,6.36,1.25861e-05,2.02546e-05,-41.85,0.444079,,,,,,,
GC-170-171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.9,7.76,5.3,1.87658e-06,0.000122679,-38.96,0.768068,,,,,,,
GC-174-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.6,7.2,9.84,4.85993e-06,5.47513e-08,-41.64,0.618993,,,,,,,
GC-207-208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.26,2.72,6.45,0.00983393,1.73823e-05,-30.43,78621.1,,,,,,,
AC-9-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.45,7.68,7.68,2.14984e-06,2.14984e-06,-21.81,21.1801
AC-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.05,7.33,7.33,3.89668e-06,3.89668e-06,-21.71,2.58535
AC-13-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.83,5.65,5.65,6.76832e-05,6.76832e-05,-20.13,8.45924
AC-16-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.97,0.82,0.82,0.248237,0.248237,-16.61,0.80552
AC-26-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.85,4.61,4.61,0.000396248,0.000396248,-25.07,524.712
AC-30-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.21,2.03,2.03,0.0317632,0.0317632,-10.27,0.918778
AC-39-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.63,5.44,5.44,9.67061e-05,9.67061e-05,-19.51,1.81812
AC-44-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.43,2.89,2.89,0.00736669,0.00736669,-16.21,0.738673
AC-66-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.21,1.94,1.94,0.037012,0.037012,-14.09,0.608073
AC-110-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.45,4.41,4.41,0.000556623,0.000556623,-17.27,0.704871
AC-164-165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.42,3.83,3.83,0.00149136,0.00149136,-18.08,0.837491
AC-197-198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.41,1.43,1.43,0.0880452,0.0880452,-17.27,0.64588
GC-102-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.53,1.68,1.68,0.0575723,0.0575723,-15.89,0.493088
GC-117-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.51,4.07,4.07,0.000991905,0.000991905,-15.65,0.713857
GC-132-133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.39,4.65,4.65,0.00037021,0.00037021,-16.69,0.702942
GC-141-142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.11,2.19,2.19,0.0242019,0.0242019,-16.49,0.813432
GC-147-148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.55,4.49,4.49,0.000485874,0.000485874,-22.53,74.0227
GC-170-171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.05,2.57,2.57,0.0126888,0.0126888,-15.19,0.211767
GC-174-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.98,0.84,0.84,0.239942,0.239942,-6.66,0.555237
