id2,E_target_2_1,ED1_target_2_1,ED2_target_2_1,Pu1_target_2_1,Pu2_target_2_1,E_hybrid_target_2_1,P_E_target_2_1,E_target_2_2,ED1_target_2_2,ED2_target_2_2,Pu1_target_2_2,Pu2_target_2_2,E_hybrid_target_2_2,P_E_target_2_2,E_target_2_3,ED1_target_2_3,ED2_target_2_3,Pu1_target_2_3,Pu2_target_2_3,E_hybrid_target_2_3,P_E_target_2_3,E_target_1_1,ED1_target_1_1,ED2_target_1_1,Pu1_target_1_1,Pu2_target_1_1,E_hybrid_target_1_1,P_E_target_1_1,E_target_1_2,ED1_target_1_2,ED2_target_1_2,Pu1_target_1_2,Pu2_target_1_2,E_hybrid_target_1_2,P_E_target_1_2,E_target_1_3,ED1_target_1_3,ED2_target_1_3,Pu1_target_1_3,Pu2_target_1_3,E_hybrid_target_1_3,P_E_target_1_3
AC-67-68,-20.94,6.39,7.64,1.92479e-05,2.30104e-06,-34.97,52398500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-67-68,,,,,,,,-33.42,6.99,7.64,6.9439e-06,2.30104e-06,-48.05,0.801634,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-67-68,,,,,,,,,,,,,,,-10.03,7.64,7.64,2.30104e-06,2.30104e-06,-25.31,6.3567,,,,,,,,,,,,,,,,,,,,,
AU-11-12,,,,,,,,,,,,,,,,,,,,,,-22.03,3.55,1.26,0.00240001,0.117533,-26.84,0.896216,,,,,,,,,,,,,,
AU-17-18,,,,,,,,,,,,,,,,,,,,,,-15.79,0.99,0.29,0.185957,0.610927,-17.07,0.573786,,,,,,,,,,,,,,
AU-19-20,,,,,,,,,,,,,,,,,,,,,,-17.21,1.54,4.1,0.0730347,0.000942608,-22.85,0.655959,,,,,,,,,,,,,,
AU-26-27,,,,,,,,,,,,,,,,,,,,,,-22.74,2.76,8.86,0.00918773,2.8947e-07,-34.36,0.821015,,,,,,,,,,,,,,
AU-28-29,,,,,,,,,,,,,,,,,,,,,,-23.05,2.67,9.58,0.010706,8.5166e-08,-35.3,0.633575,,,,,,,,,,,,,,
AU-46-47,,,,,,,,,,,,,,,,,,,,,,-10.79,15.69,6.99,2.63804e-12,6.9439e-06,-33.47,0.937151,,,,,,,,,,,,,,
AU-52-53,,,,,,,,,,,,,,,,,,,,,,-10.35,18.19,4.2,3.77017e-14,0.000795306,-32.74,10603700.0,,,,,,,,,,,,,,
AU-55-56,,,,,,,,,,,,,,,,,,,,,,-10.53,15.68,5.51,2.68325e-12,8.5861e-05,-31.72,26779.5,,,,,,,,,,,,,,
AU-60-61,,,,,,,,,,,,,,,,,,,,,,-11.41,4.95,0.97,0.000222361,0.192385,-17.33,0.881271,,,,,,,,,,,,,,
AU-68-69,,,,,,,,,,,,,,,,,,,,,,-14.89,9.69,6.03,7.06463e-08,3.54856e-05,-30.61,3.31811,,,,,,,,,,,,,,
AU-70-71,,,,,,,,,,,,,,,,,,,,,,-16.86,9.06,5.95,2.06068e-07,4.06528e-05,-31.87,0.619709,,,,,,,,,,,,,,
