E_1,Pu1_1,E_hybrid_1,seedNumber_1,seedEbest_1,seedNumber_3,E_diff_12,pumin1_4u,pumin1_4d,pumin5_8d
-19.68,0.000795306,-28.08,8,-4.54,4.0,-4.440000000000001,0.3660337,0.1169967,0.1278706
-16.51,0.000166573,-24.9,4,-5.46,0.0,-7.329999999999998,0.8608943,0.02207435,0.3105178
-16.05,3.86324e-05,-28.76,7,-5.39,0.0,-11.439999999999998,0.02207435,0.09037576,0.1055175
-19.34,4.85993e-06,-32.05,11,-7.37,4.0,-6.760000000000002,0.05907892,0.09037576,0.565196
-17.3,0.000155627,-26.81,6,-5.31,4.0,-7.279999999999998,0.09037576,0.323768,0.3135178
-13.93,0.00037021,-27.39,9,-3.54,2.0,-5.73,0.03524615,0.1718275,0.3978761
-16.1,9.67061e-05,-27.94,9,-2.24,4.0,-3.6099999999999994,0.1718275,0.3978761,0.3446844
-15.1,1.51729e-05,-28.79,8,-4.23,4.0,-9.790000000000001,0.09202562,0.008011728,0.04701994
-19.92,0.000101764,-27.98,8,-7.46,0.0,-6.559999999999999,0.008011728,0.04701994,0.9519376
-17.03,0.0334244,-19.47,8,-7.69,0.0,-4.18,0.04701994,0.9519376,0.1739889
-16.43,0.000438779,-28.29,9,-4.4,0.0,-7.890000000000001,0.4942838,0.6572304,0.2086186
-13.62,0.0363883,-18.73,7,-4.38,4.0,-10.19,0.6572304,0.2086186,0.3447933
-16.44,0.00903293,-22.92,8,-7.37,4.0,-11.369999999999997,0.3649547,0.2479478,0.3798568
-22.25,0.00167973,-35.0,12,-7.66,0.0,-9.620000000000001,0.3447933,0.2611551,0.4185226
-21.69,0.00156936,-34.31,11,-7.32,0.0,-10.559999999999999,0.3798568,0.4185226,0.4439026
-19.67,1.41759e-05,-32.44,8,-5.1,4.0,-8.329999999999998,0.07516629,0.1266541,0.2018245
-21.69,6.43193e-05,-31.14,11,-4.83,4.0,-8.219999999999999,0.1266541,0.1025629,0.04937283
-24.06,6.76832e-05,-33.17,11,-5.07,4.0,-4.970000000000002,0.1486218,0.04937283,0.06643466
-17.86,1.46659e-05,-29.12,9,-5.67,2.0,-9.370000000000001,0.04937283,0.06643466,0.6961292
-18.24,2.6361e-06,-31.12,11,-5.36,0.0,-7.210000000000001,0.2562725,0.05402559,0.1518505
-18.62,3.34408e-06,-31.55,9,-5.68,0.0,-6.73,0.6961292,0.1343243,0.09350138
-16.66,1.76801e-05,-28.54,11,-4.42,1.0,-8.169999999999998,0.1343243,0.06275478,0.8589863
-17.99,5.90804e-05,-31.79,9,-4.34,2.0,-9.89,0.04359102,0.0775376,0.05079077
-20.96,6.21702e-05,-32.79,7,-4.88,4.0,-8.509999999999998,0.3129836,0.05079077,0.2025735
-17.46,0.00367033,-29.01,10,-6.39,0.0,-4.91,0.5400391,0.1114454,0.1141036
-21.92,0.000637674,-29.99,8,-4.14,4.0,-6.199999999999999,0.05079077,0.2025735,0.3415313
-14.48,0.00102619,-29.03,7,-3.09,4.0,-10.059999999999999,0.3666307,0.1717028,0.02934814
