id2,E_4_1,ED1_4_1,ED2_4_1,Pu1_4_1,Pu2_4_1,E_hybrid_4_1,P_E_4_1,E_4_2,ED1_4_2,ED2_4_2,Pu1_4_2,Pu2_4_2,E_hybrid_4_2,P_E_4_2,E_4_3,ED1_4_3,ED2_4_3,Pu1_4_3,Pu2_4_3,E_hybrid_4_3,P_E_4_3,E_15_1,ED1_15_1,ED2_15_1,Pu1_15_1,Pu2_15_1,E_hybrid_15_1,P_E_15_1,E_15_2,ED1_15_2,ED2_15_2,Pu1_15_2,Pu2_15_2,E_hybrid_15_2,P_E_15_2,E_15_3,ED1_15_3,ED2_15_3,Pu1_15_3,Pu2_15_3,E_hybrid_15_3,P_E_15_3,E_1_1,ED1_1_1,ED2_1_1,Pu1_1_1,Pu2_1_1,E_hybrid_1_1,P_E_1_1,E_1_2,ED1_1_2,ED2_1_2,Pu1_1_2,Pu2_1_2,E_hybrid_1_2,P_E_1_2,E_1_3,ED1_1_3,ED2_1_3,Pu1_1_3,Pu2_1_3,E_hybrid_1_3,P_E_1_3,E_9_1,ED1_9_1,ED2_9_1,Pu1_9_1,Pu2_9_1,E_hybrid_9_1,P_E_9_1,E_9_2,ED1_9_2,ED2_9_2,Pu1_9_2,Pu2_9_2,E_hybrid_9_2,P_E_9_2,E_9_3,ED1_9_3,ED2_9_3,Pu1_9_3,Pu2_9_3,E_hybrid_9_3,P_E_9_3,E_2_1,ED1_2_1,ED2_2_1,Pu1_2_1,Pu2_2_1,E_hybrid_2_1,P_E_2_1,E_2_2,ED1_2_2,ED2_2_2,Pu1_2_2,Pu2_2_2,E_hybrid_2_2,P_E_2_2,E_2_3,ED1_2_3,ED2_2_3,Pu1_2_3,Pu2_2_3,E_hybrid_2_3,P_E_2_3,E_14_1,ED1_14_1,ED2_14_1,Pu1_14_1,Pu2_14_1,E_hybrid_14_1,P_E_14_1,E_14_2,ED1_14_2,ED2_14_2,Pu1_14_2,Pu2_14_2,E_hybrid_14_2,P_E_14_2,E_14_3,ED1_14_3,ED2_14_3,Pu1_14_3,Pu2_14_3,E_hybrid_14_3,P_E_14_3,E_13_1,ED1_13_1,ED2_13_1,Pu1_13_1,Pu2_13_1,E_hybrid_13_1,P_E_13_1,E_13_2,ED1_13_2,ED2_13_2,Pu1_13_2,Pu2_13_2,E_hybrid_13_2,P_E_13_2,E_13_3,ED1_13_3,ED2_13_3,Pu1_13_3,Pu2_13_3,E_hybrid_13_3,P_E_13_3,E_10_1,ED1_10_1,ED2_10_1,Pu1_10_1,Pu2_10_1,E_hybrid_10_1,P_E_10_1,E_10_2,ED1_10_2,ED2_10_2,Pu1_10_2,Pu2_10_2,E_hybrid_10_2,P_E_10_2,E_10_3,ED1_10_3,ED2_10_3,Pu1_10_3,Pu2_10_3,E_hybrid_10_3,P_E_10_3,E_19_1,ED1_19_1,ED2_19_1,Pu1_19_1,Pu2_19_1,E_hybrid_19_1,P_E_19_1,E_19_2,ED1_19_2,ED2_19_2,Pu1_19_2,Pu2_19_2,E_hybrid_19_2,P_E_19_2,E_19_3,ED1_19_3,ED2_19_3,Pu1_19_3,Pu2_19_3,E_hybrid_19_3,P_E_19_3,E_18_1,ED1_18_1,ED2_18_1,Pu1_18_1,Pu2_18_1,E_hybrid_18_1,P_E_18_1,E_18_2,ED1_18_2,ED2_18_2,Pu1_18_2,Pu2_18_2,E_hybrid_18_2,P_E_18_2,E_18_3,ED1_18_3,ED2_18_3,Pu1_18_3,Pu2_18_3,E_hybrid_18_3,P_E_18_3,E_3_1,ED1_3_1,ED2_3_1,Pu1_3_1,Pu2_3_1,E_hybrid_3_1,P_E_3_1,E_3_2,ED1_3_2,ED2_3_2,Pu1_3_2,Pu2_3_2,E_hybrid_3_2,P_E_3_2,E_3_3,ED1_3_3,ED2_3_3,Pu1_3_3,Pu2_3_3,E_hybrid_3_3,P_E_3_3,E_5_1,ED1_5_1,ED2_5_1,Pu1_5_1,Pu2_5_1,E_hybrid_5_1,P_E_5_1,E_5_2,ED1_5_2,ED2_5_2,Pu1_5_2,Pu2_5_2,E_hybrid_5_2,P_E_5_2,E_5_3,ED1_5_3,ED2_5_3,Pu1_5_3,Pu2_5_3,E_hybrid_5_3,P_E_5_3,E_7_1,ED1_7_1,ED2_7_1,Pu1_7_1,Pu2_7_1,E_hybrid_7_1,P_E_7_1,E_7_2,ED1_7_2,ED2_7_2,Pu1_7_2,Pu2_7_2,E_hybrid_7_2,P_E_7_2,E_7_3,ED1_7_3,ED2_7_3,Pu1_7_3,Pu2_7_3,E_hybrid_7_3,P_E_7_3,E_8_1,ED1_8_1,ED2_8_1,Pu1_8_1,Pu2_8_1,E_hybrid_8_1,P_E_8_1,E_8_2,ED1_8_2,ED2_8_2,Pu1_8_2,Pu2_8_2,E_hybrid_8_2,P_E_8_2,E_8_3,ED1_8_3,ED2_8_3,Pu1_8_3,Pu2_8_3,E_hybrid_8_3,P_E_8_3,E_17_1,ED1_17_1,ED2_17_1,Pu1_17_1,Pu2_17_1,E_hybrid_17_1,P_E_17_1,E_17_2,ED1_17_2,ED2_17_2,Pu1_17_2,Pu2_17_2,E_hybrid_17_2,P_E_17_2,E_17_3,ED1_17_3,ED2_17_3,Pu1_17_3,Pu2_17_3,E_hybrid_17_3,P_E_17_3,E_6_1,ED1_6_1,ED2_6_1,Pu1_6_1,Pu2_6_1,E_hybrid_6_1,P_E_6_1,E_6_2,ED1_6_2,ED2_6_2,Pu1_6_2,Pu2_6_2,E_hybrid_6_2,P_E_6_2,E_6_3,ED1_6_3,ED2_6_3,Pu1_6_3,Pu2_6_3,E_hybrid_6_3,P_E_6_3,E_12_1,ED1_12_1,ED2_12_1,Pu1_12_1,Pu2_12_1,E_hybrid_12_1,P_E_12_1,E_12_2,ED1_12_2,ED2_12_2,Pu1_12_2,Pu2_12_2,E_hybrid_12_2,P_E_12_2,E_12_3,ED1_12_3,ED2_12_3,Pu1_12_3,Pu2_12_3,E_hybrid_12_3,P_E_12_3,E_20_1,ED1_20_1,ED2_20_1,Pu1_20_1,Pu2_20_1,E_hybrid_20_1,P_E_20_1,E_20_2,ED1_20_2,ED2_20_2,Pu1_20_2,Pu2_20_2,E_hybrid_20_2,P_E_20_2,E_20_3,ED1_20_3,ED2_20_3,Pu1_20_3,Pu2_20_3,E_hybrid_20_3,P_E_20_3,E_16_1,ED1_16_1,ED2_16_1,Pu1_16_1,Pu2_16_1,E_hybrid_16_1,P_E_16_1,E_16_2,ED1_16_2,ED2_16_2,Pu1_16_2,Pu2_16_2,E_hybrid_16_2,P_E_16_2,E_16_3,ED1_16_3,ED2_16_3,Pu1_16_3,Pu2_16_3,E_hybrid_16_3,P_E_16_3,E_11_1,ED1_11_1,ED2_11_1,Pu1_11_1,Pu2_11_1,E_hybrid_11_1,P_E_11_1,E_11_2,ED1_11_2,ED2_11_2,Pu1_11_2,Pu2_11_2,E_hybrid_11_2,P_E_11_2,E_11_3,ED1_11_3,ED2_11_3,Pu1_11_3,Pu2_11_3,E_hybrid_11_3,P_E_11_3
AU-17-18,-14.33,4.9,3.61,0.000352519,0.00285884,-22.84,0.270443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-22-23,-17.6,3.55,5.08,0.00315115,0.000263236,-26.23,1.07677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-28-29,-13.79,7.87,4.23,2.84677e-06,0.00104545,-25.89,0.393503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-50-51,-8.21,3.43,4.84,0.00382849,0.000388564,-16.48,2.59707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-99-100,-11.91,2.79,0.2,0.0108145,0.722884,-14.9,0.358133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-123-124,-13.87,10.16,5.2,6.9293e-08,0.000216664,-29.23,306.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-128-129,-18.09,9.14,3.94,3.62609e-07,0.00167361,-31.17,1.32996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-146-147,-18.18,4.53,4.11,0.000642548,0.00127017,-26.82,0.82381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-159-160,-12.92,3.11,2.78,0.00643455,0.0109914,-18.81,0.529494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-162-163,-14.94,3.64,1.63,0.00272302,0.0710248,-20.21,0.831016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
