id2,E_target_3_1,ED1_target_3_1,ED2_target_3_1,Pu1_target_3_1,Pu2_target_3_1,E_hybrid_target_3_1,P_E_target_3_1,E_target_3_2,ED1_target_3_2,ED2_target_3_2,Pu1_target_3_2,Pu2_target_3_2,E_hybrid_target_3_2,P_E_target_3_2,E_target_3_3,ED1_target_3_3,ED2_target_3_3,Pu1_target_3_3,Pu2_target_3_3,E_hybrid_target_3_3,P_E_target_3_3,E_target_1_1,ED1_target_1_1,ED2_target_1_1,Pu1_target_1_1,Pu2_target_1_1,E_hybrid_target_1_1,P_E_target_1_1,E_target_1_2,ED1_target_1_2,ED2_target_1_2,Pu1_target_1_2,Pu2_target_1_2,E_hybrid_target_1_2,P_E_target_1_2,E_target_1_3,ED1_target_1_3,ED2_target_1_3,Pu1_target_1_3,Pu2_target_1_3,E_hybrid_target_1_3,P_E_target_1_3,E_target_2_1,ED1_target_2_1,ED2_target_2_1,Pu1_target_2_1,Pu2_target_2_1,E_hybrid_target_2_1,P_E_target_2_1,E_target_2_2,ED1_target_2_2,ED2_target_2_2,Pu1_target_2_2,Pu2_target_2_2,E_hybrid_target_2_2,P_E_target_2_2,E_target_2_3,ED1_target_2_3,ED2_target_2_3,Pu1_target_2_3,Pu2_target_2_3,E_hybrid_target_2_3,P_E_target_2_3
AC-9-10,-9.37,4.75,5.56,0.000449657,0.000120812,-19.68,664.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-11-12,-9.31,3.68,5.0,0.0025519,0.000299721,-17.99,56.1563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-13-14,-10.32,3.78,3.53,0.00216969,0.00325508,-17.63,0.965196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-16-17,-11.76,4.28,0.36,0.000963984,0.557601,-16.4,9.91955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-26-27,-11.53,3.79,4.8,0.00213477,0.000414618,-20.12,0.538242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-30-31,-8.56,3.91,5.5,0.00175709,0.000133165,-17.97,6.63926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-39-40,-9.08,1.97,0.68,0.0409097,0.331767,-11.73,0.738583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-44-45,-10.65,2.52,2.79,0.0167597,0.0108145,-15.96,1.55431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-66-67,-16.81,6.79,4.99,1.64203e-05,0.000304624,-28.59,0.994943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-110-111,-11.69,4.26,4.63,0.000995779,0.000546311,-20.58,0.552689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-164-165,-9.63,6.34,3.65,3.40783e-05,0.00267919,-19.62,0.86206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-197-198,-16.06,3.62,0.67,0.00281283,0.337194,-20.35,0.919783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-270-271,-12.91,10.73,5.32,2.74812e-08,0.000178331,-28.96,0.34586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-102-103,-12.15,4.34,1.18,0.000874562,0.147403,-17.67,0.811828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-117-118,-10.34,6.12,3.95,4.8697e-05,0.00164667,-20.41,0.470264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-132-133,-12.52,3.35,0.88,0.00435914,0.239829,-16.75,0.357926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-141-142,-12.16,5.89,3.79,7.0725e-05,0.00213477,-21.84,0.711017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-147-148,-10.16,5.33,3.94,0.000175461,0.00167361,-19.43,0.465741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-170-171,-8.56,7.27,2.84,7.5361e-06,0.00997184,-18.67,8.06339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-174-175,-8.15,7.34,6.0,6.72699e-06,5.91644e-05,-21.49,88.4669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-207-208,-22.07,5.47,4.65,0.000139807,0.000528868,-32.19,0.841331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-211-212,-15.52,6.23,6.49,4.07371e-05,2.67165e-05,-28.24,0.952629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-213-214,-8.95,6.65,13.11,2.06079e-05,5.78033e-10,-28.71,600045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-215-216,-13.64,6.96,9.7,1.24621e-05,1.46161e-07,-30.3,97505.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-272-273,-16.51,9.88,4.96,1.09142e-07,0.000319818,-31.35,0.851609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-274-275,-14.79,10.02,5.84,8.69643e-08,7.67018e-05,-30.65,0.583061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-276-277,-11.92,10.45,8.4,4.32851e-08,1.20472e-06,-30.77,13.1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
