id2,E_BCL-4_1,ED1_BCL-4_1,ED2_BCL-4_1,Pu1_BCL-4_1,Pu2_BCL-4_1,E_hybrid_BCL-4_1,P_E_BCL-4_1,E_BCL-4_2,ED1_BCL-4_2,ED2_BCL-4_2,Pu1_BCL-4_2,Pu2_BCL-4_2,E_hybrid_BCL-4_2,P_E_BCL-4_2,E_BCL-4_3,ED1_BCL-4_3,ED2_BCL-4_3,Pu1_BCL-4_3,Pu2_BCL-4_3,E_hybrid_BCL-4_3,P_E_BCL-4_3,E_BCL-1_1,ED1_BCL-1_1,ED2_BCL-1_1,Pu1_BCL-1_1,Pu2_BCL-1_1,E_hybrid_BCL-1_1,P_E_BCL-1_1,E_BCL-1_2,ED1_BCL-1_2,ED2_BCL-1_2,Pu1_BCL-1_2,Pu2_BCL-1_2,E_hybrid_BCL-1_2,P_E_BCL-1_2,E_BCL-1_3,ED1_BCL-1_3,ED2_BCL-1_3,Pu1_BCL-1_3,Pu2_BCL-1_3,E_hybrid_BCL-1_3,P_E_BCL-1_3,E_BCL-2_1,ED1_BCL-2_1,ED2_BCL-2_1,Pu1_BCL-2_1,Pu2_BCL-2_1,E_hybrid_BCL-2_1,P_E_BCL-2_1,E_BCL-2_2,ED1_BCL-2_2,ED2_BCL-2_2,Pu1_BCL-2_2,Pu2_BCL-2_2,E_hybrid_BCL-2_2,P_E_BCL-2_2,E_BCL-2_3,ED1_BCL-2_3,ED2_BCL-2_3,Pu1_BCL-2_3,Pu2_BCL-2_3,E_hybrid_BCL-2_3,P_E_BCL-2_3,E_BCL-5_1,ED1_BCL-5_1,ED2_BCL-5_1,Pu1_BCL-5_1,Pu2_BCL-5_1,E_hybrid_BCL-5_1,P_E_BCL-5_1,E_BCL-5_2,ED1_BCL-5_2,ED2_BCL-5_2,Pu1_BCL-5_2,Pu2_BCL-5_2,E_hybrid_BCL-5_2,P_E_BCL-5_2,E_BCL-5_3,ED1_BCL-5_3,ED2_BCL-5_3,Pu1_BCL-5_3,Pu2_BCL-5_3,E_hybrid_BCL-5_3,P_E_BCL-5_3,E_HPV_1,ED1_HPV_1,ED2_HPV_1,Pu1_HPV_1,Pu2_HPV_1,E_hybrid_HPV_1,P_E_HPV_1,E_HPV_2,ED1_HPV_2,ED2_HPV_2,Pu1_HPV_2,Pu2_HPV_2,E_hybrid_HPV_2,P_E_HPV_2,E_HPV_3,ED1_HPV_3,ED2_HPV_3,Pu1_HPV_3,Pu2_HPV_3,E_hybrid_HPV_3,P_E_HPV_3,E_BCL-3_1,ED1_BCL-3_1,ED2_BCL-3_1,Pu1_BCL-3_1,Pu2_BCL-3_1,E_hybrid_BCL-3_1,P_E_BCL-3_1,E_BCL-3_2,ED1_BCL-3_2,ED2_BCL-3_2,Pu1_BCL-3_2,Pu2_BCL-3_2,E_hybrid_BCL-3_2,P_E_BCL-3_2,E_BCL-3_3,ED1_BCL-3_3,ED2_BCL-3_3,Pu1_BCL-3_3,Pu2_BCL-3_3,E_hybrid_BCL-3_3,P_E_BCL-3_3
AU-35-36,-12.35,7.6,4.59,4.41174e-06,0.000582943,-24.54,0.258011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-49-50,-8.4,8.48,1.98,1.05806e-06,0.0402513,-18.86,2.6776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-55-56,-8.44,4.61,1.11,0.00056433,0.165132,-14.16,2803.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-57-58,-7.92,4.61,1.36,0.00056433,0.11007,-13.89,5.35468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-59-60,-8.2,4.62,5.96,0.000555248,6.31316e-05,-18.78,0.30858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-81-82,-11.76,8.51,5.9,1.0078e-06,6.95867e-05,-26.17,15.1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-101-102,-11.14,3.51,0.23,0.00336245,0.68854,-14.88,0.808137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-115-116,-13.21,7.21,6.95,8.30665e-06,1.26659e-05,-27.37,289.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-150-151,-8.46,2.7,0.75,0.0125149,0.296147,-11.91,0.483275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-186-187,-16.97,3.39,1.12,0.00408521,0.162474,-21.48,0.651808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
