id2,E_1,ED1_1,ED2_1,Pu1_1,Pu2_1,E_hybrid_1,P_E_1,seedNumber_1,seedEbest_1,E_2,ED1_2,ED2_2,Pu1_2,Pu2_2,E_hybrid_2,P_E_2,seedNumber_2,seedEbest_2,E_3,ED1_3,ED2_3,Pu1_3,Pu2_3,E_hybrid_3,P_E_3,seedNumber_3,seedEbest_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
AC-11-12,-9.31,3.68,5.0,0.0025519,0.000299721,-17.99,56.1563,5,-2.06,-9.31,3.68,5.0,0.0025519,0.000299721,-17.99,53.4377,5,-2.06,-5.76,5.12,5.12,0.000246694,0.000246694,-16.0,0.870879,1,-1.8,0.0,0.1563566,0.04914526,0.1179012,0.3308576
AC-110-111,-11.66,4.23,4.63,0.00104545,0.000546311,-20.52,0.532514,7,-5.06,-20.01,5.17,4.63,0.000227471,0.000546311,-29.81,0.576819,12,-5.06,-7.8,2.84,2.84,0.00997184,0.00997184,-13.48,0.525938,4,-1.45,-8.350000000000001,0.2115929,0.1049013,0.08486059,0.9322927
AC-13-14,-10.32,3.78,3.53,0.00216969,0.00325508,-17.63,0.965196,6,-3.36,-10.32,3.78,3.53,0.00216969,0.00325508,-17.63,0.965171,6,-3.36,-7.52,3.64,3.64,0.00272302,0.00272302,-14.8,0.785062,4,-3.31,0.0,0.2321336,0.04914526,0.1220009,0.2162885
AC-16-17,-11.76,4.28,0.36,0.000963984,0.557601,-16.4,9.91955,5,-3.76,-11.76,4.28,0.36,0.000963984,0.557601,-16.4,9.76693,5,-3.76,-12.78,0.35,0.35,0.566722,0.566722,-13.48,0.768835,4,-5.99,0.0,0.1179012,0.2321336,0.2162885,0.2236171
AC-164-165,-9.97,6.34,3.65,3.40783e-05,0.00267919,-19.96,0.878879,4,-3.56,-18.44,9.17,3.65,3.45382e-07,0.00267919,-31.26,63.7087,8,-3.56,-8.7,2.35,2.35,0.0220829,0.0220829,-13.4,0.321406,2,-1.9,-8.47,0.4367271,0.3765611,0.1407377,0.01166671
AC-197-198,-16.93,2.69,0.67,0.0127196,0.337194,-20.29,0.921822,9,-6.26,-27.54,2.84,0.67,0.00997184,0.337194,-31.05,0.650124,17,-6.26,-12.28,0.59,0.59,0.383931,0.383931,-13.46,0.492326,4,-5.51,-10.61,0.0742731,0.2328861,0.8298344,0.7360197
AC-26-27,-11.53,3.79,4.8,0.00213477,0.000414618,-20.12,0.538242,9,-4.77,-25.64,5.35,4.8,0.000169859,0.000414618,-35.79,0.538982,16,-4.77,-13.82,2.89,2.89,0.0091948,0.0091948,-19.6,73.6596,4,-3.63,-14.110000000000001,0.2236171,0.2162885,0.2676616,0.5400391
AC-30-31,-8.56,3.91,5.5,0.00175709,0.000133165,-17.97,6.63926,4,-2.91,-24.52,5.7,5.55,9.62626e-05,0.000122788,-35.77,0.964992,9,-2.91,-5.08,1.56,1.56,0.0795675,0.0795675,-8.2,0.664722,2,-2.67,-15.959999999999999,0.2549956,0.2236171,0.5400391,0.118251
AC-39-40,-9.08,1.97,0.68,0.0409097,0.331767,-11.73,0.738583,6,-3.99,-20.92,3.95,3.97,0.00164667,0.00159409,-28.84,0.733617,12,-3.99,-8.06,3.47,3.47,0.00358791,0.00358791,-15.0,0.569733,4,-2.45,-11.840000000000002,0.118251,0.5400391,0.1141036,0.7049568
AC-44-45,-10.65,2.52,2.79,0.0167597,0.0108145,-15.96,1.55431,9,-1.86,-20.9,3.18,2.79,0.0057437,0.0108145,-26.87,0.402754,13,-2.97,-9.64,1.77,1.77,0.0565924,0.0565924,-13.18,0.649635,4,-3.58,-10.249999999999998,0.1141036,0.1114454,0.7801394,0.289342
AC-66-67,-16.81,6.79,4.99,1.64203e-05,0.000304624,-28.59,0.994943,3,-2.81,-25.48,7.35,4.99,6.61872e-06,0.000304624,-37.82,0.778177,9,-3.9,-8.46,1.48,1.48,0.0905958,0.0905958,-11.42,0.457446,4,-3.85,-8.670000000000002,0.006930707,0.2931419,0.1979436,0.1123117
AC-9-10,-9.37,4.75,5.56,0.000449657,0.000120812,-19.68,664.317,3,-2.72,-9.37,4.75,5.56,0.000449657,0.000120812,-19.68,157.691,3,-2.72,-5.64,5.58,5.58,0.000116954,0.000116954,-16.8,41.0759,2,-0.66,0.0,0.04914526,0.4396664,0.1179012,0.1220009
GC-102-103,-12.0,4.51,1.18,0.000663741,0.147403,-17.69,0.814007,7,-3.07,-20.35,4.54,1.18,0.000632207,0.147403,-26.07,3.70892,12,-3.55,-11.68,0.81,0.81,0.268676,0.268676,-13.3,0.511514,4,-5.22,-8.350000000000001,0.4806264,0.3373703,0.1162165,0.1113598
GC-117-118,-10.33,6.13,3.95,4.79132e-05,0.00164667,-20.41,0.466977,7,-2.98,-22.18,7.12,3.95,9.6127e-06,0.00164667,-33.25,0.367978,11,-4.78,-7.62,2.72,2.72,0.0121153,0.0121153,-13.06,0.685382,4,-2.45,-11.85,0.1296681,0.08486059,0.8949755,0.003816631
GC-132-133,-12.13,0.86,0.31,0.24774,0.604723,-13.3,0.473796,5,-6.23,-24.45,9.5,3.3,2.02191e-07,0.00472752,-37.25,0.613297,11,-6.23,-7.18,3.15,3.15,0.0060302,0.0060302,-13.48,0.747794,4,-2.55,-12.319999999999999,0.2546017,0.01328978,0.06768062,0.4227092
GC-141-142,-12.34,5.82,3.79,7.92317e-05,0.00213477,-21.95,0.742181,8,-2.72,-16.44,6.2,3.79,4.2769e-05,0.00213477,-26.43,78.8003,9,-2.72,-9.66,1.82,1.82,0.0521825,0.0521825,-13.3,0.748514,4,-3.18,-4.100000000000001,0.4227092,0.06768062,0.3400485,0.04663176
GC-147-148,-10.18,5.35,3.94,0.000169859,0.00167361,-19.47,0.466887,8,-5.12,-22.49,6.96,3.94,1.24621e-05,0.00167361,-33.39,0.379885,14,-5.12,-10.3,3.25,3.25,0.00512703,0.00512703,-16.8,9.29885,4,-2.2,-12.309999999999999,0.7922404,0.3400485,0.1727972,0.216872
GC-170-171,-9.1,7.29,2.84,7.29548e-06,0.00997184,-19.23,10.5468,4,-0.9,-19.39,8.13,2.84,1.86699e-06,0.00997184,-30.36,0.704881,10,-3.43,-9.88,1.39,1.39,0.10484,0.10484,-12.66,0.293749,4,-4.64,-10.290000000000001,0.1232744,0.2978417,0.01166671,0.0276336
GC-174-175,-8.64,6.81,6.0,1.5896e-05,5.91644e-05,-21.45,64.1715,3,-4.16,-19.62,7.54,6.0,4.86283e-06,5.91644e-05,-33.16,0.605324,5,-4.16,-3.92,0.59,0.59,0.383931,0.383931,-5.1,0.523576,2,-3.42,-10.98,0.01166671,0.1232744,0.0276336,0.8370121
GC-207-208,-11.8,0.7,3.07,0.321174,0.00686601,-15.57,0.713179,5,-4.21,-18.54,2.85,3.08,0.00981135,0.0067555,-24.47,17.557,9,-4.21,-8.8,2.93,2.93,0.008617,0.008617,-14.66,1.15251,4,-1.2,-6.739999999999998,0.643234,0.8582047,0.3967412,
