E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d,Y
-19.76,0.0011338,0.00744624,-26.96,9,-6.32,-8.26,4,0.0,0.1689092,0.583754,0.5533965,0.07412727,1
-20.68,1.26659e-05,0.0119203,-30.36,10,-5.6,-11.04,4,0.0,0.04529022,0.4543846,0.03574447,0.3755389,0
-13.78,6.08579e-08,7.912e-06,-31.26,3,-2.67,-11.52,4,0.0,0.2390679,0.365754,0.0206013,0.1436818,0
-17.08,6.28651e-08,0.000674599,-31.8,10,-6.48,-6.46,4,0.0,0.05561546,0.03574447,0.1475453,0.1526598,0
-11.92,5.54465e-05,8.45444e-05,-23.74,5,-3.51,0.0,0,0.0,0.08484142,0.4775747,0.05611193,0.1311973,0
-18.86,0.000213176,8.85116e-07,-32.66,10,-4.45,-5.18,2,0.0,0.09943558,0.2089775,0.05901272,0.2300562,1
-17.04,5.61948e-07,9.02135e-05,-31.65,9,-6.92,-1.32,1,0.0,0.05575178,0.3414455,0.3612059,0.6924177,0
-13.83,6.09437e-07,0.00040138,-27.47,6,-6.34,-13.8,4,0.0,0.06251929,0.02398344,0.2124849,0.2508912,1
-16.07,1.51195e-06,3.94363e-05,-30.58,10,-5.38,-11.5,6,0.0,0.2363648,0.2766214,0.3676373,0.008381994,1
-21.61,0.00206661,5.10539e-06,-32.93,10,-9.09,-6.74,4,0.0,0.08910715,0.07417066,0.5918472,0.1864162,0
-20.44,9.02135e-05,3.0917e-05,-32.58,10,-6.19,-15.04,4,0.0,0.1864162,0.5918472,0.1332834,0.1036355,0
-18.33,3.03766e-06,0.176205,-27.23,10,-10.77,-11.3,4,0.0,0.08036255,0.2136021,0.3461001,0.6420964,1
-11.5,1.51408e-05,1.61561e-05,-25.14,9,-3.76,-9.6,2,0.0,0.08619068,0.07428812,0.02163355,0.03125574,1
-15.8,5.53684e-06,0.0131391,-25.93,10,-5.35,-9.26,4,0.0,0.6272847,0.08246332,0.2366594,0.02394555,0
-18.14,4.49023e-05,6.73648e-05,-30.23,9,-6.88,-12.88,2,0.0,0.2296085,0.3649332,0.1762733,0.07014096,0
-19.08,5.01615e-07,0.922077,-28.07,8,-6.63,-2.2,1,0.0,0.05575747,0.04002592,0.9015774,0.04196638,0
-25.05,0.0011338,0.106555,-30.61,10,-7.3,-10.74,4,0.0,0.1965861,0.4153685,0.380491,0.2050419,0
-16.18,1.07386e-07,8.87615e-05,-31.82,10,-5.44,-13.7,4,0.0,0.06421321,0.0445494,0.2205746,0.2543226,0
-12.85,3.93808e-06,1.32977e-05,-27.44,5,-6.16,-10.16,6,-0.3600000000000012,0.2384211,0.2015969,0.1235724,0.2668023,0
-19.97,1.64203e-05,0.025973,-29.01,10,-6.07,-11.36,4,0.0,0.2065447,0.14248,0.07390489,0.2811746,0
-13.41,5.72753e-05,9.15599e-06,-26.58,3,-0.99,-10.86,4,-0.0600000000000005,0.1293603,0.3193511,0.03497824,0.1065776,0
-20.02,0.00115234,0.00664678,-27.28,10,-7.84,-10.04,4,0.0,0.1559203,0.0960511,0.1169967,0.3470442999999999,0
-14.55,8.0301e-07,0.00151836,-27.2,9,-5.2,-11.6,4,0.0,0.03497824,0.6176311,0.02948893,0.003583325,0
-8.91,1.12425e-09,2.16358e-05,-28.23,3,-2.52,-6.9,4,-1.1500000000000004,0.264799,0.003513222,0.07659396,0.1770678,0
-14.5,5.3525e-07,1.91772e-10,-37.19,6,-1.69,-4.44,2,0.0,0.1878484,0.2763666,0.0327634,0.04604711,0
-18.64,0.00146988,0.031556,-24.79,10,-7.2,-10.72,4,0.0,0.3470442999999999,0.1169967,0.04652902,0.07868727,0
-14.25,0.000254831,1.83953e-05,-26.07,5,-7.68,0.0,0,0.0,0.3254956,0.08015681,0.6389159,0.1113537,0
