id2,E_1,ED1_1,ED2_1,Pu1_1,Pu2_1,E_hybrid_1,P_E_1,seedNumber_1,seedEbest_1,E_2,ED1_2,ED2_2,Pu1_2,Pu2_2,E_hybrid_2,P_E_2,seedNumber_2,seedEbest_2,E_3,ED1_3,ED2_3,Pu1_3,Pu2_3,E_hybrid_3,P_E_3,seedNumber_3,seedEbest_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
AC-67-68,-20.94,6.39,7.64,1.92479e-05,2.30104e-06,-34.97,52398500000.0,4.0,-3.07,-33.42,6.99,7.64,6.9439e-06,2.30104e-06,-48.05,0.801634,10.0,-4.28,-10.03,7.64,7.64,2.30104e-06,2.30104e-06,-25.31,6.3567,4.0,-5.66,-12.48,0.006930707,0.02813188,0.7237012,0.1123117
AU-11-12,-22.03,3.55,1.26,0.00240001,0.117533,-26.84,0.896216,9.0,-7.09,-22.03,3.55,1.26,0.00240001,0.117533,-26.84,0.896216,9.0,-7.09,-13.91,1.26,1.26,0.117533,0.117533,-16.43,0.935978,4.0,-6.27,0.0,0.4483793,0.2410348,0.8382566,0.7215336
AU-17-18,-15.79,0.99,0.29,0.185957,0.610927,-17.07,0.573786,7.0,-8.38,-30.92,3.63,4.88,0.00209496,0.000250447,-39.43,0.861802,17.0,-8.38,-10.84,0.8,0.8,0.256818,0.256818,-12.44,0.52558,2.0,-6.97,-15.130000000000004,0.7906575,0.6123781,0.253596,0.573037
AU-19-20,-17.21,1.54,4.1,0.0730347,0.000942608,-22.85,0.655959,12.0,-8.22,-31.24,3.3,4.1,0.00367033,0.000942608,-38.64,0.973068,18.0,-8.22,-8.31,3.93,3.93,0.0012583,0.0012583,-16.17,0.447886,4.0,-2.24,-14.029999999999998,0.7215336,0.7756512,0.253596,0.8255891
AU-26-27,-22.74,2.76,8.86,0.00918773,2.8947e-07,-34.36,0.821015,12.0,-8.85,-30.95,3.14,8.86,0.00481704,2.8947e-07,-42.95,15.7798,17.0,-8.85,0.0,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.21,0.573037,0.253596,0.4460557,0.468057
AU-28-29,-23.05,2.67,9.58,0.010706,8.5166e-08,-35.3,0.633575,12.0,-6.22,-31.79,3.04,9.58,0.00570923,8.5166e-08,-44.41,1.4845,18.0,-6.22,-3.87,1.73,1.73,0.0528829,0.0528829,-7.33,0.957167,2.0,-0.26,-8.739999999999998,0.8255891,0.253596,0.4460557,0.6042377
AU-46-47,-10.79,15.69,6.99,2.63804e-12,6.9439e-06,-33.47,0.937151,5.0,-5.33,-27.28,17.31,6.99,1.6818e-13,6.9439e-06,-51.58,0.904927,11.0,-5.33,-6.55,6.98,6.98,7.0629e-06,7.0629e-06,-20.51,0.48833,2.0,-0.05,-16.490000000000002,0.002692734,0.09169539,0.0002041422,0.05151043
AU-52-53,-10.35,18.19,4.2,3.77017e-14,0.000795306,-32.74,10603700.0,1.0,-0.83,-27.62,19.36,4.2,5.16344e-15,0.000795306,-51.18,0.763097,7.0,-6.79,-11.03,2.6,2.6,0.0120582,0.0120582,-16.23,0.446065,4.0,-5.16,-17.270000000000003,0.002621171,0.0002041422,0.004539482,0.004171922
AU-55-56,-10.53,15.68,5.51,2.68325e-12,8.5861e-05,-31.72,26779.5,2.0,-3.66,-24.23,20.58,5.51,6.49558e-16,8.5861e-05,-50.32,0.639635,5.0,-4.73,-11.6,5.49,5.49,8.88291e-05,8.88291e-05,-22.58,1.93486,2.0,-6.47,-13.7,0.05151043,0.0002041422,0.004171922,0.01559682
AU-60-61,-11.41,4.95,0.97,0.000222361,0.192385,-17.33,0.881271,6.0,-4.25,-21.27,18.0,6.38,5.20685e-14,1.95778e-05,-45.65,8518.7,6.0,-4.25,-13.55,1.31,1.31,0.10796,0.10796,-16.17,0.885167,4.0,-6.1,-9.86,0.004171922,0.01094367,0.01559682,0.6703311
