id2,Y
AC-11-12,1
AC-110-111,1
AC-13-14,1
AC-16-17,1
AC-164-165,0
AC-197-198,0
AC-210-211,1
AC-26-27,0
AC-267-268,0
AC-288-289,0
AC-30-31,1
AC-316-317,0
AC-347-348,1
AC-360-361,0
AC-369-370,0
AC-39-40,1
AC-402-403,0
AC-404-405,1
AC-420-421,1
AC-422-423,0
AC-44-45,1
AC-66-67,1
AC-9-10,1
GC-102-103,0
GC-117-118,1
GC-132-133,1
GC-141-142,0
GC-147-148,1
GC-170-171,1
GC-174-175,1
GC-207-208,1
GC-216-217,1
GC-239-240,1
GC-243-244,1
GC-257-258,0
GC-308-309,0
GC-330-331,1
GC-336-337,0
GC-387-388,1
GC-450-451,0
GC-462-463,0
GC-477-478,0
