id2,E_1,ED1_1,ED2_1,Pu1_1,Pu2_1,E_hybrid_1,P_E_1,seedNumber_1,seedEbest_1,E_2,ED1_2,ED2_2,Pu1_2,Pu2_2,E_hybrid_2,P_E_2,seedNumber_2,seedEbest_2,E_3,ED1_3,ED2_3,Pu1_3,Pu2_3,E_hybrid_3,P_E_3,seedNumber_3,seedEbest_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
AC-11-12,-11.38,6.64,7.34,1.25861e-05,3.83102e-06,-25.36,238.235,5.0,-3.4,-11.38,6.64,7.34,1.25861e-05,3.83102e-06,-25.36,206.273,5.0,-3.4,-7.05,7.33,7.33,3.89668e-06,3.89668e-06,-21.71,2.58535,1.0,-2.23,0.0,0.1563566,0.04914526,0.1179012,0.3308576
AC-110-111,-14.45,4.04,7.79,0.00104378,1.78332e-06,-26.28,0.62416,8.0,-6.75,-25.01,4.94,7.79,0.000226172,1.78332e-06,-37.74,0.685804,13.0,-6.75,-8.45,4.41,4.41,0.000556623,0.000556623,-17.27,0.704871,4.0,-2.24,-10.560000000000002,0.2115929,0.1049013,0.08486059,0.9322927
AC-13-14,-13.42,7.03,5.65,6.48761e-06,6.76832e-05,-26.1,7.98287,6.0,-5.31,-13.42,7.03,5.65,6.48761e-06,6.76832e-05,-26.1,7.98261,6.0,-5.31,-8.83,5.65,5.65,6.76832e-05,6.76832e-05,-20.13,8.45924,4.0,-3.93,0.0,0.2321336,0.04914526,0.1220009,0.2162885
AC-16-17,-15.29,4.08,0.86,0.000975193,0.231925,-20.23,43.6304,6.0,-5.47,-15.29,4.08,0.86,0.000975193,0.231925,-20.23,43.2909,6.0,-5.47,-14.97,0.82,0.82,0.248237,0.248237,-16.61,0.80552,4.0,-7.11,0.0,0.1179012,0.2321336,0.2162885,0.2236171
AC-164-165,-13.28,6.05,6.88,3.42999e-05,8.37105e-06,-26.21,0.965144,5.0,-5.09,-24.31,8.76,6.88,3.43084e-07,8.37105e-06,-39.95,564.792,8.0,-5.09,-10.42,3.83,3.83,0.00149136,0.00149136,-18.08,0.837491,4.0,-2.97,-11.03,0.4367271,0.3765611,0.1407377,0.01166671
AC-197-198,-22.4,2.56,1.46,0.0129063,0.0836694,-26.42,0.979247,9.0,-7.43,-35.15,2.71,1.46,0.0100025,0.0836694,-39.32,0.722789,16.0,-7.43,-14.41,1.43,1.43,0.0880452,0.0880452,-17.27,0.64588,4.0,-6.42,-12.75,0.0742731,0.2328861,0.8298344,0.7360197
AC-26-27,-14.87,3.62,7.87,0.00213086,1.55665e-06,-26.36,0.656743,9.0,-6.13,-31.69,5.11,7.87,0.000169427,1.55665e-06,-44.67,0.656852,16.0,-6.13,-15.85,4.61,4.61,0.000396248,0.000396248,-25.07,524.712,4.0,-4.63,-16.82,0.2236171,0.2162885,0.2676616,0.5400391
AC-30-31,-12.09,3.73,8.22,0.00176758,8.58821e-07,-24.04,15.83,4.0,-4.4,-31.06,5.44,8.35,9.67061e-05,6.886e-07,-44.85,0.987967,9.0,-4.4,-6.21,2.03,2.03,0.0317632,0.0317632,-10.27,0.918778,2.0,-3.46,-18.97,0.2549956,0.2236171,0.5400391,0.118251
AC-39-40,-12.44,2.62,6.5,0.0116553,1.59664e-05,-21.56,2.08051,7.0,-5.01,-26.98,3.77,6.5,0.00165143,1.59664e-05,-37.25,0.855989,13.0,-5.01,-8.63,5.44,5.44,9.67061e-05,9.67061e-05,-19.51,1.81812,4.0,-1.69,-14.54,0.118251,0.5400391,0.1141036,0.7049568
AC-44-45,-14.02,2.41,5.02,0.0166532,0.000197424,-21.45,0.555542,10.0,-2.77,-26.83,3.03,5.02,0.00580707,0.000197424,-34.88,0.517138,15.0,-3.97,-10.43,2.89,2.89,0.00736669,0.00736669,-16.21,0.738673,4.0,-3.28,-12.81,0.1141036,0.1114454,0.7801394,0.289342
